"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"CL2",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"CL3",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"Extra",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L001",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L002",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L003",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L004",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L005",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L006",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L007",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L008",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L009",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L010",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L011",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L012",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L013",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L014",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L015",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L016",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L017",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L018",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L019",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L020",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L021",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L022",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L023",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L024",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L025",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L026",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L027",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L028",1.73178094563031,0.905305279964831,0.0391134442981101,0.854517823729104,0.0755986673911035,TRUE,"DS","Average stability"
"L029",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L030",1.61473778260191,0.935408575982447,0.019386818139063,0.926748199902097,0.0373223800762287,TRUE,"DS","Average stability"
"L031",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L032",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L033",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L034",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L035",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L036",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L037",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
"L038",NA,NA,NA,NA,NA,FALSE,"DS","Unreliable"
