"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",14.0660142459317,0.99851625092905,0.0986529174067309,0.986155551808763,0.0069463499846732,TRUE,"DTE","Average stability"
"CL2",13.9295976022647,1.0711572746906,0.241295850512966,0.971026237003335,0.0145933646441508,TRUE,"DTE","Average stability"
"CL3",14.0049377968347,0.996268227294603,0.0818236766839415,0.988438698197218,0.00579745615029816,TRUE,"DTE","Average stability"
"Extra",13.8139913356273,0.931179318093823,0.016100033948162,0.997372467525065,0.0013146303639643,TRUE,"DTE","Average stability"
"L001",13.7966312425569,1.00758532190752,0.0026039793955197,0.999636213625927,0.000181909732611959,TRUE,"DTE","Average stability"
"L002",13.7778986149111,0.995862679734448,0.0093997329080001,0.998657038587256,0.000671706301049591,TRUE,"DTE","Average stability"
"L003",13.7860773650976,0.964913336922791,0.00599866431262028,0.999086703720436,0.000456752451182985,TRUE,"DTE","Average stability"
"L004",13.7951151265456,1.01436422139937,0.00204336718556216,0.999718313012034,0.000140853413824923,TRUE,"DTE","Average stability"
"L005",13.8477058631789,0.97841109116259,0.00311811607495421,0.999538066508818,0.000230993424571948,TRUE,"DTE","Average stability"
"L006",13.8649601706136,0.980457903203903,0.0658467030743683,0.990374876409708,0.00482419823947277,TRUE,"DTE","Average stability"
"L007",13.8289818557923,0.980583619116495,0.00889300034194847,0.998689490754455,0.00065546944286768,TRUE,"DTE","Average stability"
"L008",13.8939393761069,0.94977515559354,0.00556568667311881,0.999125363301546,0.000437414014737233,TRUE,"DTE","Average stability"
"L009",13.7572032208231,1.00732967544252,0.000822158445846197,0.999885054251871,5.74745257249178e-05,TRUE,"DTE","Average stability"
"L010",13.9146911728482,0.913342394506176,0.0395578801108614,0.993316805079874,0.00334719933174599,TRUE,"DTE","Average stability"
"L011",13.7344893336009,1.06606072083141,0.00728593803946333,0.999091223053037,0.000454491754859378,TRUE,"DTE","Average stability"
"L012",13.9153587849265,0.948433786782428,0.0719715229947483,0.988775297593014,0.00562818946180198,TRUE,"DTE","Average stability"
"L013",13.8064398238126,0.981245901350096,0.000588686665121197,0.999913259607554,4.33711367509421e-05,TRUE,"DTE","Average stability"
"L014",13.8833108179565,0.930648265050712,0.00401751623783493,0.999342294712599,0.000328906733520062,TRUE,"DTE","Average stability"
"L015",13.8687602578992,0.964324171008095,0.0165054964924861,0.997487993650803,0.00125679293884388,TRUE,"DTE","Average stability"
"L016",13.8149790620535,1.00425923950461,0.00495284979205823,0.999303707764834,0.000348206741550458,TRUE,"DTE","Average stability"
"L017",13.8307617016014,1.00088698584631,0.00708002670155024,0.998998248258782,0.000501001371796005,TRUE,"DTE","Average stability"
"L018",13.8449440287414,0.975825169093613,0.0121353452167015,0.998195096011987,0.000902859571709833,TRUE,"DTE","Average stability"
"L019",13.7075470375268,1.04527974590074,0.000894095492079261,0.99988390888501,5.80472422360557e-05,TRUE,"DTE","Average stability"
"L020",13.8488679400864,0.977387593126902,0.000370568794660149,0.99994496463294,2.75180621516014e-05,TRUE,"DTE","Average stability"
"L021",13.8353546300818,0.967524342624492,0.0441753708897034,0.993348971357699,0.00333106230920459,TRUE,"DTE","Average stability"
"L022",13.8223372813867,1.0019304564205,0.0123577830745395,0.998256435180366,0.000872162743742681,TRUE,"DTE","Average stability"
"L023",13.7374159039309,1.04084311204979,0.017775513657692,0.997677411229491,0.00116196947178093,TRUE,"DTE","Average stability"
