"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",24.5802024185566,1.0692194972321,0.307709258022103,0.74075522864006,0.139328617508365,TRUE,"PRT","Average stability"
"CL2",24.7596870164749,1.40834200941233,0.0479070565450936,0.969550367748424,0.0153425124702378,TRUE,"PRT","Responsive / high-input adapted"
"CL3",25.1420372010074,0.368991734407033,0.599422946686582,0.148712569058408,0.614367313290995,TRUE,"PRT","Stable / low-input adapted"
"Extra",24.6756585614551,0.946767476114344,0.466982628395452,0.596162205874913,0.227884590313785,TRUE,"PRT","Average stability"
"L001",25.4281645606042,1.32767070834128,0.0781793763867362,0.945475678230845,0.0276442635378529,TRUE,"PRT","Responsive / high-input adapted"
"L002",23.7551920050067,1.26320667361306,0.0142801668397413,0.988497598221207,0.00576783484881793,TRUE,"PRT","Responsive / high-input adapted"
"L003",25.1895949065069,0.896779893767124,0.0538346032404931,0.919929457049804,0.0408704690972112,TRUE,"PRT","Average stability"
"L004",23.2169749080314,1.81322730065781,1.81145846446843,0.582616588783698,0.236706747846086,TRUE,"PRT","Responsive / high-input adapted"
"L005",24.3748104885882,0.439310746222805,0.197632385749674,0.428907443807869,0.345089743699284,TRUE,"PRT","Stable / low-input adapted"
"L006",25.0888961983238,0.566474768759313,0.523141052348443,0.32053776625651,0.433839451872078,TRUE,"PRT","Stable / low-input adapted"
"L007",23.8492899968555,0.963019578004353,0.210293896884827,0.772296802465902,0.121195811078542,TRUE,"PRT","Average stability"
"L008",23.7052890948965,0.825026157684837,0.168886311920611,0.756076683217564,0.130473299307282,TRUE,"PRT","Average stability"
"L009",26.9973128670173,0.358222878247478,0.0156057040292705,0.863463390764458,0.0707726915525692,TRUE,"PRT","Stable / low-input adapted"
"L010",26.2467884331764,0.432954480834333,0.343960665719187,0.295342199135664,0.456546046904006,TRUE,"PRT","Stable / low-input adapted"
"L011",25.2719110411793,1.39734625898613,0.112189473126305,0.930484502396195,0.0353837538190664,TRUE,"PRT","Responsive / high-input adapted"
"L012",24.0602587596618,1.56070158038584,0.0656735030677654,0.966130055019432,0.0170808502122709,TRUE,"PRT","Responsive / high-input adapted"
"L013",22.9460429608125,0.815012518403075,0.102912254301173,0.832327694994199,0.08768004790304,TRUE,"PRT","Average stability"
"L014",24.2308565773663,1.02460509173166,0.0580568766232022,0.932917052559407,0.0341236867179074,TRUE,"PRT","Average stability"
"L015",24.942704624661,0.904319781864082,0.0985443633177049,0.864542641915345,0.0701921478523937,TRUE,"PRT","Average stability"
"L016",24.296049369595,0.88565731967667,0.00253185189666932,0.995820576147094,0.00209189994915178,TRUE,"PRT","Average stability"
"L017",24.8688305389433,0.517706034492507,0.065617356361777,0.758534086325226,0.12906137625822,TRUE,"PRT","Stable / low-input adapted"
"L018",24.2141501417334,1.0610879149775,0.331441705024976,0.723188381538184,0.149595166089594,TRUE,"PRT","Average stability"
"L019",25.4591362776645,1.51896147124157,0.0932058760552648,0.950094868363518,0.0252719002903846,TRUE,"PRT","Responsive / high-input adapted"
"L020",24.1792659422722,1.74105146261297,0.0621431688597531,0.974035881021581,0.0130674384632044,TRUE,"PRT","Responsive / high-input adapted"
