"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",2.62150081730297,1.60048356947067,0.0322258217442596,0.873318930795753,0.0654846545958956,TRUE,"lodging","Responsive / high-input adapted"
"CL2",3.45331141844365,2.28345213432289,0.132995643827419,0.77273948720707,0.120943979483065,TRUE,"lodging","Responsive / high-input adapted"
"CL3",2.37328316493136,2.56320368782127,0.247471060660005,0.697201470823799,0.165014089445936,TRUE,"lodging","Responsive / high-input adapted"
"Extra",2.60678694508257,0.771722276429187,0.0203359154002276,0.717508218044877,0.152941431750509,TRUE,"lodging","Stable / low-input adapted"
"L001",2.32726624070679,0.504577495505154,0.568611163448701,0.0373815468893246,0.806656919210113,TRUE,"lodging","Stable / low-input adapted"
"L002",3.21580129074166,-0.0317093393632705,0.0631884932891451,0.00137816165369905,0.962876400313291,TRUE,"lodging","Stable / low-input adapted"
"L003",2.01491745260017,1.57530138519955,0.0569632449452775,0.790720116635036,0.110775553285316,TRUE,"lodging","Responsive / high-input adapted"
"L004",2.19263750192978,1.46321951880624,0.2516550186984,0.424580849653392,0.348401312421985,TRUE,"lodging","Responsive / high-input adapted"
"L005",2.46445180024496,1.59418586497528,0.00275599609298471,0.987650727812542,0.00619381778309415,TRUE,"lodging","Responsive / high-input adapted"
"L006",2.26287854734366,1.68735955771964,0.337569420825171,0.422466382891496,0.350025859828642,TRUE,"lodging","Responsive / high-input adapted"
"L007",1.96164074326658,1.00305824081611,0.204046619327739,0.299546824481146,0.452691289598689,TRUE,"lodging","Average stability"
"L008",2.90765853701207,0.416182293781827,0.106245245435817,0.123875703447186,0.64804019626215,TRUE,"lodging","Stable / low-input adapted"
"L009",2.23736055342519,0.882251088478194,0.110128589370058,0.380029911528005,0.38353433872761,TRUE,"lodging","Average stability"
"L010",2.47665433642906,0.301798409184361,0.21166299710044,0.0359781272440485,0.810320988920628,TRUE,"lodging","Stable / low-input adapted"
"L011",2.56233698090726,1.40221178250601,0.349561951846559,0.327878820418787,0.427392961605616,TRUE,"lodging","Responsive / high-input adapted"
"L012",2.53257965300749,-2.55064277098515,0.391185956722618,0.590562770250651,0.231519180297484,TRUE,"lodging","Stable / low-input adapted"
"L013",2.56646862846986,2.55914836863544,0.0708172578159412,0.889144372369946,0.0570554775757239,TRUE,"lodging","Responsive / high-input adapted"
"L014",2.47913306359262,1.27570750002573,0.00160216015943986,0.988776223485926,0.00562772389515702,TRUE,"lodging","Responsive / high-input adapted"
"L015",2.44461310428596,0.579339988140581,0.0365723845270985,0.44318631981802,0.334277595526469,TRUE,"lodging","Stable / low-input adapted"
"L016",3.18541685825318,1.61809402729171,0.104819707725666,0.684178275685523,0.172849302916619,TRUE,"lodging","Responsive / high-input adapted"
"L017",2.67426674116924,1.69335028892579,0.0271741729617461,0.901493966311018,0.050529639056059,TRUE,"lodging","Responsive / high-input adapted"
"L018",3.05832097120187,1.08944661087002,0.0829064279376851,0.553892759028017,0.255760281207716,TRUE,"lodging","Average stability"
"L019",3.53563642067456,2.71230223933975,0.236830088715847,0.729292746738269,0.146013614430377,TRUE,"lodging","Responsive / high-input adapted"
"L020",3.0410709909796,2.37491259779932,0.010803909699022,0.978390963578161,0.0108635263128951,TRUE,"lodging","Responsive / high-input adapted"
"L021",2.23293124614348,0.309283511250149,0.142211864892918,0.0551209431984669,0.76522150183957,TRUE,"lodging","Stable / low-input adapted"
"L022",3.64344709604187,0.722393558988456,0.0260346987718473,0.634827617784648,0.203239297037907,TRUE,"lodging","Stable / low-input adapted"
"L023",3.99364153073839,1.2842206951206,0.173212066137494,0.452288622751773,0.327475931470276,TRUE,"lodging","Responsive / high-input adapted"
"L024",3.7540820648006,1.89419038136254,0.355757235717996,0.466579657770161,0.316933635896071,TRUE,"lodging","Responsive / high-input adapted"
"L025",4.15717096017794,0.51663715425149,0.186153702529729,0.110600975108259,0.66743275099875,TRUE,"lodging","Stable / low-input adapted"
"L026",2.60419577252686,2.1607470375503,0.040676915450688,0.908713906928368,0.0467351328574161,TRUE,"lodging","Responsive / high-input adapted"
"L027",2.85754008330494,0.789143597838601,0.0248277771669762,0.685077965447769,0.172305632828295,TRUE,"lodging","Stable / low-input adapted"
"L028",3.97577591466549,0.993305603319833,0.042920147225805,0.66596902161848,0.183930749495804,TRUE,"lodging","Average stability"
"L029",3.02614320435231,0.939460408935848,0.287004016349426,0.210550416735119,0.541142269613861,TRUE,"lodging","Average stability"
"L030",2.87036066972238,-0.734893207198257,0.122470245253691,0.276649264818517,0.474025414284571,TRUE,"lodging","Stable / low-input adapted"
"L031",2.77412818570738,0.289920061935601,0.123280580097759,0.055830868094656,0.763714435280832,TRUE,"lodging","Stable / low-input adapted"
"L032",3.84686770474158,1.05412589628058,0.0174163227098744,0.846940083864344,0.0797065229697953,TRUE,"lodging","Average stability"
"L033",3.70997315262665,0.863567574756493,0.0117069976500713,0.846736588290245,0.0798170897640812,TRUE,"lodging","Average stability"
"L034",3.99369637519316,2.10694230424098,0.228246261579891,0.627810430037119,0.207655106637823,TRUE,"lodging","Responsive / high-input adapted"
"L035",2.28107485067699,1.70944238983608,0.00182405581086046,0.992854182193756,0.0035793146498031,TRUE,"lodging","Responsive / high-input adapted"
"L036",3.80120585722868,-0.693140717939992,0.0173422410733212,0.706116099953551,0.159692853800736,TRUE,"lodging","Stable / low-input adapted"
"L037",3.62120440979729,0.936452285482561,0.0203170873918737,0.78918318433341,0.111640171814703,TRUE,"lodging","Average stability"
"L038",4.23868002052688,0.664498779318668,0.0437120065287307,0.466977461652666,0.316642508160871,TRUE,"lodging","Stable / low-input adapted"
"L039",2.38585089422058,-0.0581554412817533,0.136866215813042,0.00213854018354631,0.953755647009107,TRUE,"lodging","Stable / low-input adapted"
"L040",2.89076349977988,1.47297221505667,0.128994495024032,0.593289149818381,0.229747346763166,TRUE,"lodging","Responsive / high-input adapted"
"L041",2.24729109968865,1.56054996924926,0.0692841301025124,0.752994125077886,0.132247659134309,TRUE,"lodging","Responsive / high-input adapted"
"L042",3.25216250618907,1.18390122456397,0.0192633619832812,0.863209851860747,0.0709091261557099,TRUE,"lodging","Average stability"
"L043",2.895327867046,1.56046947118392,0.0817892618263362,0.720835964622454,0.150979408599265,TRUE,"lodging","Responsive / high-input adapted"
"L044",2.85532672127735,1.02942937851122,0.195127728292074,0.320198333639174,0.434139298378856,TRUE,"lodging","Average stability"
"L045",2.98265649691532,1.97979968279215,0.10336454576114,0.766832961158635,0.124310008531195,TRUE,"lodging","Responsive / high-input adapted"
"L046",3.03730217258369,1.4746541651538,0.013432912636182,0.933511464386645,0.0338160297403787,TRUE,"lodging","Responsive / high-input adapted"
"L047",3.84995372222475,1.22649794438421,0.151761745192159,0.462271492960615,0.320094497036085,TRUE,"lodging","Responsive / high-input adapted"
"L048",3.00305420288976,2.28530512077733,0.0372533400552191,0.924004447257522,0.0387484994771023,TRUE,"lodging","Responsive / high-input adapted"
"L049",2.16243905415987,-0.261123544358164,0.0173684316289963,0.253999688502013,0.496016182301442,TRUE,"lodging","Stable / low-input adapted"
"L050",2.16324516085295,1.44568572478516,0.165417710081935,0.522853625442389,0.276913818800007,TRUE,"lodging","Responsive / high-input adapted"
"L051",3.12061976809908,2.93900467467053,0.0258629044926186,0.966628656315948,0.0168272500135352,TRUE,"lodging","Responsive / high-input adapted"
"L052",3.17342300387037,0.601739529693698,0.0620746695952658,0.335945643040753,0.420391819380754,TRUE,"lodging","Stable / low-input adapted"
"L053",3.78814430201652,1.61625687683174,0.233828124050324,0.492106669146528,0.298496850223373,TRUE,"lodging","Responsive / high-input adapted"
