"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",1.52016586809562,47,0.000439827035192643,6,53,0.00489536118082512,5,52,0.0212838414992416,5,52,0.0531901302627755,5,52,0.0273621460755819,5,52,0.0160854259707846,6,53,8.624697622053e-05,6,53,0.000748687037861483,5,52,0.00489607950716621,5,52,0.0428701546171532,5,52,0.0230405676834401,2,49,0.00430583226638959,2,49,0.00580402290846131,2,49
"CL2",1.43305424556869,63,0.00757285447532478,33,96,0.0410964548828814,37,100,0.178608517373363,37,100,0.204060285392652,32,95,0.12956894656132,38,101,0.0606263963882546,35,98,0.00122518664634192,35,98,0.0167881119130102,38,101,0.0411197884822102,37,100,0.211452658942464,39,102,0.134005791929589,37,100,0.0351275354712151,39,102,0.0543675923846184,40,103
"CL3",1.3153415813857,86,0.0122986372350913,48,134,0.0621404462770025,57,143,0.270057420013886,57,143,0.307030378147825,51,137,0.17504084541816,53,139,0.0728844712862295,45,131,0.00177071538489107,45,131,0.0306392975647043,53,139,0.0621903481134803,57,143,0.289410939884735,51,137,0.171645150227397,50,136,0.0482325909474959,56,142,0.0763716839626776,56,142
"Extra",1.33788486517278,83,0.00264649438170066,14,97,0.014010816797807,11,94,0.0609065295542364,11,94,0.122568816295401,13,96,0.0680424618593553,13,96,0.0393287893591948,15,98,0.000515584557486639,15,98,0.00462977661588182,13,96,0.0140600308566035,11,94,0.106459109655527,14,97,0.071927830245016,16,99,0.0146437678995639,13,96,0.0207908182078527,13,96
"L001",1.40851246368257,70,0.00210979358250296,12,82,0.0114980549283962,7,77,0.04998725589763,7,77,0.110786760642259,12,82,0.0603200394315875,12,82,0.0351298928499617,13,83,0.000411369790549929,13,83,0.00363850715702828,12,82,0.0115094439665746,7,77,0.0946091533695357,10,80,0.0571742586223762,10,80,0.0113615925867575,9,79,0.0158508618676129,10,80
"L002",1.33666026012423,84.5,0.0251412094409233,59,143.5,0.0807273682700465,70,154.5,0.350841567939976,70,154.5,0.40198663617669,61,145.5,0.241897356884148,64,148.5,0.107918186507476,59,143.5,0.00388211165968746,59,143.5,0.0585143312675367,64,148.5,0.0807745239987372,69,153.5,0.397195069031971,64,148.5,0.245564517027038,63,147.5,0.0663791241321013,68,152.5,0.10374404046212,69,153.5
"L003",1.36248759562017,77.5,0.0332624353863839,67,144.5,0.0881949572090844,73,150.5,0.383300342956093,73,150.5,0.439537761322172,67,144.5,0.27362966243668,69,146.5,0.126104433674198,68,145.5,0.00530077606409672,68,145.5,0.0748731921652116,69,146.5,0.0882383011755666,73,150.5,0.447593782918686,70,147.5,0.280048731660674,69,146.5,0.0743672524945291,71,148.5,0.115517135531593,72,149.5
"L004",1.56751598317152,39.5,0.00488044526192645,24,63.5,0.0194824222348266,19,58.5,0.0846920133779644,19,58.5,0.167679734162747,23,62.5,0.0930638892615052,21,60.5,0.0528936119174477,27,66.5,0.000932578060557855,27,66.5,0.00866088748447769,21,60.5,0.0194826506643054,17,56.5,0.146982286488182,22,61.5,0.0862616278451211,18,57.5,0.0189507342641743,18,57.5,0.0273880305358278,18,57.5
"L005",1.3963939441427,72.5,0.0119757532387544,47,119.5,0.0541857658896385,48,120.5,0.235493054827502,48,120.5,0.269542395111851,42,114.5,0.165398216608279,42,114.5,0.0751794756445273,52,124.5,0.00188398451939536,52,124.5,0.0273565700571993,42,114.5,0.0542179348211886,46,118.5,0.270938422523006,44,116.5,0.169474077543977,49,121.5,0.0452442419345071,50,122.5,0.0704433071070404,45,117.5
"L006",1.28904509564564,90.5,0.0055891635891949,29,119.5,0.046588475286728,41,131.5,0.202466015313669,41,131.5,0.223111140207829,37,127.5,0.123055959623088,29,119.5,0.0468223804611814,25,115.5,0.000730778437350541,25,115.5,0.0151427691987589,29,119.5,0.0466450366554974,41,131.5,0.204789376723907,34,124.5,0.104066653384593,29,119.5,0.0318472979460205,35,125.5,0.0517743885761612,35,125.5
