"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",13.8951684397163,18,0.00997472603393639,20,38,0.0444215738443683,30,48,0.201178662180825,30,48,0.233621319307015,22,40,0.137258853979399,20,38,0.0757356737121945,17,35,0.00191196409088,17,35,0.0188399929957379,20,38,0.0444503935999856,30,48,0.260180141317572,28,46,0.154851284627133,22,40,0.0409680175736119,33,51,0.0598011933586283,34,52
"CL2",13.71875,87,0.037273087769725,65,152,0.126786206051597,81,168,0.574284969239562,81,168,0.503846423033916,72,159,0.305540783591563,76,163,0.12640237222995,53,140,0.0053258532351196,53,140,0.0933551704377462,76,163,0.126884572743367,81,168,0.577326564189106,78,165,0.250833105749795,58,145,0.0855090665728016,75,162,0.134608634787012,76,163
"CL3",13.8125,47.5,0.0125672515100347,24,71.5,0.0554087697565902,40,87.5,0.250951003196614,40,87.5,0.273958198739477,36,83.5,0.159178458295527,36,83.5,0.0825246566782886,22,69.5,0.00227010631995647,22,69.5,0.0253377815853409,36,83.5,0.0554343182970564,39,86.5,0.302160054442134,42,89.5,0.174233696681089,32,79.5,0.0484854278134824,42,89.5,0.0718336013652432,42,89.5
"Extra",13.84375,35,0.0631201005644276,80,115,0.0702121519592884,54,89,0.317915740711178,54,89,0.521845748269993,74,109,0.302222906780803,75,110,0.218244142078374,85,120,0.0158768351838419,85,120,0.0913386853830378,75,110,0.0715551230843469,54,89,0.526435972200493,70,105,0.41561295363098,85,120,0.0827547875613615,73,108,0.111916395584925,68,103
"L001",13.8125,47.5,0.0117364094505173,23,70.5,0.0617638581131587,51,98.5,0.279748341762661,51,98.5,0.272887549530535,35,82.5,0.162248295170807,37,84.5,0.0750430518281115,16,63.5,0.00187715320922554,16,63.5,0.0263245092858332,37,84.5,0.0617678861296353,49,96.5,0.309314425332674,44,91.5,0.158176253332195,26,73.5,0.0491508873939165,43,90.5,0.0747615831330536,44,91.5
"L002",13.8,55.5,0.0175191474045168,40,95.5,0.0457406825075051,32,87.5,0.207184607550378,32,87.5,0.296153576966147,41,96.5,0.156821489598251,35,90.5,0.122397391584456,49,104.5,0.00499370715555952,49,104.5,0.0245929795998144,35,90.5,0.0470034400945092,35,90.5,0.237170643383472,24,79.5,0.18960955555276,35,90.5,0.0407005845547346,32,87.5,0.0584838230768696,31,86.5
"L003",13.7375,79,0.0227256865374191,50,129,0.074154118948881,55,134,0.335880549205261,55,134,0.354917072242803,51,130,0.205481550275434,47,126,0.123361670192161,50,129,0.00507270055753319,50,129,0.0422226675035956,47,126,0.0747359572646086,56,135,0.359408744198482,50,129,0.244807172827147,54,133,0.0618697366360346,53,132,0.0916095915632347,55,134
"L004",13.7375,79,0.0312298233407347,56,135,0.048268911073096,38,117,0.218508447111242,38,117,0.353154251729983,50,129,0.219431126158841,54,133,0.144703939042301,63,142,0.00697974332478598,63,142,0.0481500191273372,54,133,0.04844840073523,38,117,0.411575287583941,58,137,0.254974348488162,60,139,0.0535146902942065,48,127,0.0722637136727797,43,122
"L005",13.8625,27,0.0138169245626439,31,58,0.0296470273375694,19,46,0.134189584264619,18,45,0.246845748270018,28,55,0.145010372070721,25,52,0.0962024347407755,31,58,0.00308496948335106,31,58,0.0210280080080889,25,52,0.029721866674136,18,45,0.273553528003509,32,59,0.158572026642196,27,54,0.032396615963745,20,47,0.0430527209612365,20,47
"L006",13.9125,10.5,0.165305673629568,101,111.5,0.167300042152987,90,100.5,0.757660454019564,90,100.5,0.854917072242803,94,104.5,0.542875341359588,94,104.5,0.319732660964133,101,111.5,0.0340763248290683,101,111.5,0.29471363625629,94,104.5,0.167759679772798,90,100.5,1.01304760107682,94,104.5,0.667360157952212,102,112.5,0.163130465178423,94,104.5,0.234057511409909,93,103.5
