"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",50.9810505319149,84,0.0405214312628148,23,107,0.0485198785101016,17,101,0.152174497249742,17,101,0.731517258520904,19,103,0.447465275105136,19,103,0.094127313256534,29,113,0.00295331703363123,29,113,0.200225172424915,19,103,0.052795546639456,18,102,0.304961700109714,15,99,0.325617788752062,25,109,0.0353877042318471,23,107,0.0884495174988939,23,107
"CL2",53.140625,28,0.0518437085748815,31,59,0.0525751919670451,23,51,0.164812655271024,23,51,0.819448340188723,26,54,0.518018239464694,27,55,0.102807394177859,31,59,0.00352312009921388,31,59,0.268342896418101,27,55,0.056125892513833,21,49,0.446996472381053,37,65,0.325111081552636,23,51,0.0314560318717128,17,45,0.0739845617936428,16,44
"CL3",53.6770833333333,18,0.0413264414044775,24,42,0.0563630832946039,26,44,0.176736826699014,26,44,0.737973299271944,20,38,0.474806639311377,22,40,0.0901617585295762,24,42,0.0027097142337152,24,42,0.225441344734164,22,40,0.0588273283988289,22,40,0.392585003302654,31,49,0.33625154309322,31,49,0.038230555354935,25,43,0.0960196686106608,27,45
"Extra",51.078125,81,0.0191469171776888,12,93,0.0512296646695022,22,103,0.160702724965399,22,103,0.564110034061225,8,89,0.338552609736102,10,91,0.0600847923114413,12,93,0.00120339408903634,12,93,0.114617869559126,10,91,0.0526125556130441,16,97,0.216650397748435,6,87,0.230773384098339,14,95,0.0289777612778504,14,95,0.0759094535213623,18,99
"L001",55.625,3,0.214467742403551,75,78,0.222053033523232,82,85,0.696597418565259,82,85,2.46783830612743,83,86,1.24402537998244,79,82,0.181203312081548,73,76,0.0109448801031076,73,76,1.54759914604046,79,82,0.223849192753809,83,86,0.752760659514568,62,65,0.697844375536836,76,79,0.100283270372195,80,83,0.272800800584502,80,83
"L002",52.4375,38,0.336572022033651,88,126,0.0646786617837329,29,67,0.202758104916961,29,67,2.07761394715309,75,113,1.19344367289795,77,115,0.285340552236667,99,137,0.0271397435835753,99,137,1.42430780038015,77,115,0.0938645567597735,38,76,0.745577526672347,61,99,0.762693624703447,83,121,0.0632207068007913,49,87,0.142055042073338,43,81
"L003",51.0625,82,0.0551202365785862,32,114,0.0972750212061757,44,126,0.30507369970689,44,126,1.01117232140294,33,115,0.619933382844346,35,117,0.0896897325089143,23,105,0.00268141603917353,23,105,0.384317399164835,35,117,0.0972769465076139,42,124,0.540494977060017,46,128,0.332310883598461,29,111,0.0509029494622256,38,120,0.13737395364531,42,124
"L004",50.85,87,0.023390799559985,14,101,0.0408526456832518,9,96,0.128120420088794,9,96,0.600698340188665,10,97,0.349281225799038,12,99,0.0697653498499387,16,103,0.00162240134656145,16,103,0.121997374695679,12,99,0.0433560492147286,9,96,0.257851401824791,10,97,0.254543869720211,15,102,0.0286166523433122,13,100,0.0720521579869903,15,102
"L005",52.2,48.5,0.135829957064514,56,104.5,0.168802520072247,70,118.5,0.529465007662658,70,118.5,1.53286003406122,53,101.5,0.997255153876747,62,110.5,0.13791967957338,47,95.5,0.00634061267120795,47,95.5,0.994517841933735,62,110.5,0.168904655060098,69,117.5,0.787052921975502,66,114.5,0.563575166685558,56,104.5,0.0862578661548944,70,118.5,0.234186392929162,70,118.5
"L006",54.7375,8,0.173352323887193,65,73,0.210654325796486,78,86,0.660837148046885,78,86,2.21783830612749,79,87,1.14739116287455,75,83,0.156509608830728,63,71,0.00816508588544917,63,71,1.31650648064262,75,83,0.211597039076965,78,86,0.705252087684175,58,66,0.616016550944088,65,73,0.0927875982358969,75,83,0.254670776643658,77,85
