"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",88.3698880930376,85,0.0973506563398164,30,115,0.0920968765863981,31,116,0.293977062044464,31,116,1.60940667534339,31,116,0.900224930606214,28,113,0.111483293180207,32,117,0.00414284155276798,32,117,0.810404925684963,28,113,0.101037407487221,29,114,0.411879161605568,26,111,0.51161699500899,34,119,0.0520528176224522,33,118,0.1596614079307,30,115
"CL2",91.71875,17,0.121597522394738,39,56,0.141099130623115,50,67,0.450486381205328,50,67,1.89345645611201,46,63,1.10148195739712,43,60,0.11163025274441,33,50,0.0041537711092603,33,50,1.21326250247139,43,60,0.141691432567622,46,63,0.602351060931114,51,68,0.556172991853766,42,59,0.0657892311671442,48,65,0.209111219931301,49,66
"CL3",90.765625,36,0.11493467666779,37,73,0.0982288061242281,34,70,0.313590290626299,34,70,1.85979238082634,43,79,0.978085027086976,33,69,0.12071215792921,42,78,0.0048571416906422,42,78,0.95665032021173,33,69,0.107270181754821,32,68,0.467685074632595,34,70,0.572498667899852,46,82,0.0579556285038126,38,74,0.177010489880254,39,75
"Extra",88.8125,77,0.946344383429862,102,179,0.428697781200307,102,179,1.36848687148262,102,179,5.9398768772207,103,180,3.14111616291939,102,179,0.305252329271312,100,177,0.0310596615085204,100,177,9.86661074895346,102,179,0.430745293248275,102,179,1.6333659825068,100,177,1.56114143709319,103,180,0.189402108706455,102,179,0.607893871051339,102,179
"L001",91.7664290130914,16,0.242918712024751,64,80,0.170817280853742,61,77,0.545272619440804,61,77,2.34686998354293,59,75,1.4766808540932,63,79,0.169691558235986,68,84,0.00959840831218563,68,84,2.18058634484543,63,79,0.1796159153725,61,77,0.71230007578253,61,77,0.840307525902358,75,91,0.0897495275844232,71,87,0.278930202020421,69,85
"L002",88.9254164365882,74,0.0777755066151199,24,98,0.122825785949647,43,117,0.392030799970712,43,117,1.58345737642651,28,102,0.893946050340042,26,100,0.0893850206184897,21,95,0.00266322730365594,21,95,0.799139540918562,26,100,0.124956452225048,40,114,0.428045411681662,29,103,0.438213805363359,28,102,0.0516853453129632,32,106,0.165635890040855,33,107
"L003",90.7375,38,0.214623279355601,60,98,0.230753607320483,77,115,0.736499632319529,77,115,2.5351231227792,67,105,1.55479681507662,68,106,0.139044235508436,53,91,0.00644443314270851,53,91,2.41739313617241,68,106,0.231323121759472,77,115,0.756692161880356,66,104,0.632829415290814,55,93,0.0833938040750657,68,106,0.274637415967029,68,106
"L004",89.3375,67,0.429326734458426,87,154,0.213086477742211,76,143,0.680622337369366,76,143,3.0890119573602,78,145,1.97274859553475,84,151,0.219132031997895,88,155,0.0160062824825089,88,155,3.89173702118434,84,151,0.21555845571306,75,142,1.1551402351314,93,160,0.986171975038935,82,149,0.105156057878493,79,146,0.322731573484448,79,146
"L005",91.15,26,0.165609923920378,52,78,0.148284559199768,53,79,0.473540192084124,53,79,2.08598804263977,53,79,1.25608153844695,51,77,0.132762235068822,51,77,0.00587527035348969,51,77,1.57774083122726,51,77,0.148693919187196,50,76,0.724055878963116,63,89,0.609218002770298,51,77,0.0701290735256992,52,78,0.220402190390194,54,80
"L006",91.9875,11,0.0768353248138278,23,34,0.138088962548801,48,59,0.440748970220872,48,59,1.73512312277915,36,47,0.931437912988396,30,41,0.0828341093271796,17,28,0.00228716322267571,17,28,0.867576585752179,30,41,0.138181362631635,44,55,0.459816979482863,33,44,0.375304176558519,19,30,0.0504622386122458,30,41,0.166632315195553,34,45
"L007",89.8480957734662,59,0.131480326799951,42,101,0.132390507954248,46,105,0.422563077098066,46,105,1.78070609567297,40,99,1.09685975139447,41,100,0.124230206204714,46,105,0.00514438137788859,46,105,1.20310131422913,41,100,0.138969190478843,45,104,0.506823036786545,40,99,0.583700503621159,47,106,0.0633790853913465,45,104,0.198625485964246,44,103
"L008",91.2375,23,0.259523868671024,69,92,0.0621011632146717,19,42,0.198272131189209,19,42,2.34852650610062,60,83,1.34391631664041,57,80,0.19456047449134,77,100,0.0126179260780984,77,100,1.80611106613233,57,80,0.103833210489546,31,54,0.554050687658915,46,69,0.69917152735946,62,85,0.0590738740492277,40,63,0.16972900185953,35,58
"L009",89.2125,70,0.759541796211516,97,167,0.299242849706044,94,164,0.955780986408741,94,164,4.60388883458102,97,167,2.66021931962951,98,168,0.286579574441781,96,166,0.0273759508290774,96,166,7.07676682853011,98,168,0.299486985121521,93,163,1.57714829177025,99,169,1.18885459009477,96,166,0.135671472005409,97,167,0.423926520800366,95,165
"L010",90.8875,32,0.10380480598878,31,63,0.135132254629559,47,79,0.431347710122406,47,79,1.69437428584055,35,67,1.02005615592475,37,69,0.10424818251765,29,61,0.00362256118607775,29,61,1.04051456123997,37,69,0.137424729676306,42,74,0.509309482145471,41,73,0.540231181788438,40,72,0.0624262096016325,43,75,0.198274043681045,43,75
"L011",94.2018869645715,1,0.104022046993912,32,33,0.0741112259028852,26,27,0.236643245043208,26,27,1.75192214412654,37,38,0.898669367333651,27,28,0.117972245933397,39,40,0.00463915027018997,39,40,0.807606631783864,27,28,0.0864572719888421,22,23,0.426977674283236,28,29,0.524931837629035,35,36,0.0499259782855043,29,30,0.149144911497296,29,30
