"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",24.636524822695,54,0.0939863320843473,53,107,0.0897273086830616,45,99,0.248477693595301,45,99,1.20438055603414,59,113,0.60285710692087,52,106,0.162649192961997,65,119,0.00881825332372968,65,119,0.363436691365002,52,106,0.0931390866033061,47,101,0.655571656081525,63,117,0.509386433962859,66,120,0.0710350192892731,55,109,0.149908047394917,53,107
"CL2",24.7955729166667,47,0.112289940639943,64,111,0.122916488639169,62,109,0.340307038425226,62,109,1.20033950580734,58,105,0.701593196685042,60,107,0.166711284637243,66,113,0.00926421747513323,66,113,0.492233013634736,60,107,0.124760147533517,62,109,0.724289238333275,69,116,0.577530855688616,77,124,0.0895101115574052,75,122,0.194577900402286,73,120
"CL3",25.1702604166667,27,0.266945501757654,95,122,0.210701591429591,94,121,0.583130903508441,94,121,1.78549382752607,90,117,1.09462899683168,94,121,0.259008933552459,97,124,0.0223618758866607,97,124,1.19821264070472,94,121,0.214157121673554,96,123,0.677394444137708,66,93,0.770666704631139,96,123,0.120363652942632,88,115,0.265851046333568,89,116
"Extra",24.7853125,48,0.224539067345733,90,138,0.22768170394934,97,145,0.630205196173049,97,145,1.86335032132039,92,140,1.09304448602231,93,141,0.206350181362729,81,129,0.0141934657828104,81,129,1.19474624842378,93,141,0.227723896095488,97,145,0.9251042746225,82,130,0.683868602381981,88,136,0.132143801686339,95,143,0.301924099234195,96,144
"L001",25.46525,16,0.0650476472211917,41,57,0.0780142655399819,33,49,0.216035381809931,33,49,0.804805943933586,33,49,0.507684768744024,36,52,0.133659832783809,44,60,0.00595498363326524,44,60,0.257743824414673,36,52,0.0805017387061752,35,51,0.555557022581715,48,64,0.427380549873022,50,66,0.0608084187007848,43,59,0.129035154385227,43,59
"L002",23.874125,87,0.0222970258610875,18,105,0.0410910629916402,15,102,0.113805972971389,15,102,0.45405594393359,15,102,0.290189509608369,15,102,0.0799555253409428,21,108,0.00213096201084872,21,108,0.0842099514867456,15,102,0.0429382375776453,13,100,0.325320072641905,25,112,0.239962092301366,18,105,0.032292723897442,14,101,0.0673323079328764,15,102
"L003",25.283375,23,0.0159831849216213,14,37,0.0552945488264094,22,45,0.153040284621029,22,45,0.434531265253974,14,37,0.277245503436227,14,37,0.0603163204265019,13,36,0.00121268616993082,13,36,0.076865069175607,14,37,0.0557874628299768,20,43,0.200213354412058,10,33,0.204698777872485,13,36,0.0338731918439295,18,41,0.0753784510996493,18,41
"L004",23.244,101,0.891739378693149,104,205,0.475842865014844,104,205,1.31695375140079,104,205,3.75727467867961,104,205,2.20530352476712,104,205,0.407299808126944,103,204,0.055297711233415,103,204,4.86336363635027,104,205,0.476182406691524,104,205,1.4661000371105,102,203,1.27784255083433,103,204,0.246976626041707,103,204,0.567764783589354,103,204
"L005",24.53225,58,0.25200124795412,92,150,0.158966323053873,80,138,0.440193304124989,80,138,1.57936882752606,84,142,1.00890433184198,86,144,0.260516678985217,98,156,0.0226229800098288,98,156,1.01788795080952,86,144,0.163367429746606,80,138,1.10388030235482,93,151,0.84688561327089,98,156,0.122476081268884,90,148,0.261071648105056,88,146
"L006",25.149375,28,0.223765642611738,89,117,0.170893955318844,81,109,0.472968284791745,81,109,1.48953126525398,81,109,0.959464690147661,84,112,0.248407733624239,95,123,0.0205688007081103,95,123,0.920572491640147,84,112,0.175629135626826,84,112,0.615796757229085,59,87,0.735043035415686,92,120,0.108566150923499,85,113,0.236156455945582,85,113
"L007",23.90725,86,0.112601025033624,65,151,0.111214739069462,56,142,0.307852965328928,56,142,1.25003126525396,65,151,0.669451253037913,58,144,0.177765159543772,72,158,0.0105334839825409,72,158,0.448164980194032,58,144,0.114842081711932,57,143,0.557372765472475,49,135,0.569745604919808,75,161,0.0830444131501285,64,150,0.178744521495353,62,148
"L008",23.76475,89,0.0973497462570972,56,145,0.158511022914771,79,168,0.43870123507683,79,168,1.24122532132038,64,153,0.732117864684645,68,157,0.13319635342163,43,132,0.00591375618827322,43,132,0.535996567790404,68,157,0.158522175536441,79,168,0.495504586956982,42,131,0.398269688779298,44,133,0.0808195297099631,61,150,0.18724086429374,67,156
"L009",27.0985,1,0.120429074019046,68,69,0.13083980835241,64,65,0.362350985397823,64,65,1.20536882752606,60,61,0.750452717758984,71,72,0.162175604066395,64,65,0.00876697551810004,64,65,0.563179281591845,71,72,0.131210630772775,64,65,0.948295304706597,86,87,0.522044746178577,69,70,0.0864017434110771,73,74,0.189128104352013,70,71
"L010",26.3525,6,0.263561525895384,94,100,0.199185718143052,90,96,0.551257474953836,90,96,1.61567477145965,85,91,1.06654620477889,92,98,0.263247251845216,99,105,0.0230997052013529,99,105,1.13752080692824,92,98,0.203381880955208,91,97,0.651281517431427,62,68,0.748831034556701,93,99,0.113451266935972,87,93,0.249115468747754,87,93
"L011",25.3585526315789,19,0.135809745127844,73,92,0.103185551743332,53,72,0.285637338387131,53,72,1.20020068077569,57,76,0.701833514237197,61,80,0.203466371427643,79,98,0.0137995214339772,79,98,0.492570281706533,61,80,0.109082575246952,53,72,0.573597230290206,52,71,0.608343241837639,81,100,0.083339885440236,66,85,0.17646589096017,61,80
"L012",24.1195,79,0.138604512356862,74,153,0.131576271255477,65,144,0.364424136926194,65,144,1.21235649379432,61,140,0.788960654449306,74,153,0.178835062721451,73,152,0.0106606598861951,73,152,0.622458914269077,74,153,0.132499047997062,65,144,1.01203272624046,90,169,0.564578193647587,74,153,0.087635220746908,74,153,0.18876616536541,69,148
"L013",22.952875,103,0.0490825852877635,31,134,0.0788847937944037,35,138,0.218515039057397,35,138,0.81289350620568,35,138,0.47505880671091,33,136,0.10383260852018,29,132,0.00359373686403501,29,132,0.225680869833594,33,136,0.0790356564997892,33,136,0.647218580523658,61,164,0.274219148376162,26,129,0.0429598479605463,27,130,0.0919300464404656,29,132
"L014",24.318625,71,0.0158954298519194,13,84,0.048221773814674,19,90,0.13352558158521,19,90,0.430449450139261,13,84,0.271168699046678,13,84,0.0599468525622763,12,83,0.0011978750440411,12,83,0.0735324633426676,13,84,0.0485267850812408,16,87,0.315031150336316,24,95,0.206755785514142,14,85,0.0335659206738099,16,87,0.0734689406372655,17,88
"L015",25.04325,32,0.044855511140252,27,59,0.0863592130085286,41,73,0.239129441567475,41,73,0.728968734746031,28,60,0.468546893483808,32,64,0.0960768870509966,26,58,0.00307692274180332,26,58,0.219536191393327,32,64,0.0863686573209392,40,72,0.561623334076795,50,82,0.300666767242728,28,60,0.0549591902283128,36,68,0.123053468789444,38,70
"L016",24.324,70,0.0105972925196523,10,80,0.0273906956837029,5,75,0.0758626719476501,5,75,0.305949450139241,5,75,0.198346826126388,6,76,0.0555808094603267,11,81,0.00102974212675505,11,81,0.0393414634344114,6,76,0.028783897750898,4,74,0.220226887995228,11,81,0.164052684766924,10,80,0.0217313547980961,6,76,0.0451048424393598,5,75
"L017",24.923375,41,0.0973757921795477,57,98,0.146642602847096,76,117,0.405863475936414,76,117,1.34586882752606,70,111,0.706497137487024,63,104,0.141831046236488,54,95,0.00670534855884562,54,95,0.499138205277358,63,104,0.147242463175632,76,117,0.505813897085562,43,84,0.484508728865471,61,102,0.0850530514992563,68,109,0.191636750123268,72,113
"L018",24.228625,74,0.0812271861836436,49,123,0.112881214799134,57,131,0.31253109601916,57,131,0.984550549860743,51,125,0.616615334822929,53,127,0.135224036989869,45,119,0.0060951800599458,45,119,0.380214471138793,53,127,0.11362226717109,56,130,0.66959869165384,65,139,0.477825979658746,59,133,0.0783694802937109,59,133,0.17233302449793,59,133
"L019",25.571625,13,0.0990757005040465,58,71,0.152883384429819,78,91,0.423136862865937,78,91,1.40113117247394,76,89,0.724184434266355,66,79,0.139065579482603,50,63,0.00644641179894402,50,63,0.524443094833681,66,79,0.153177375975759,78,91,0.523301542990094,44,57,0.470460925411971,58,71,0.0862308315312917,72,85,0.195872967871101,75,88
"L020",24.236125,73,0.218889231311764,88,161,0.17479223650545,84,157,0.484116448732158,84,157,1.70060649379432,88,161,1.0141035584015,87,160,0.216774973612784,85,158,0.015663796394941,85,158,1.02840602716258,87,160,0.174968923156881,82,155,1.33182067222356,99,172,0.644323944035195,83,156,0.108809062839331,86,159,0.238460796014998,86,159
"L021",25.106375,29,0.0702044155707666,44,73,0.0992254951929019,51,80,0.274616351348312,51,80,0.873868827526055,39,68,0.544038204394586,41,70,0.137448986859689,47,76,0.0062974079962517,47,76,0.295977567840885,41,70,0.101614001567763,50,79,0.34575596347663,27,56,0.408813794259757,46,75,0.0613100925229293,46,75,0.133923243201779,48,77
"L022",23.840875,88,0.115201093992445,66,154,0.120747851028503,61,149,0.334480749369039,61,149,1.25289350620568,66,154,0.727937161164927,67,155,0.158963974430131,63,151,0.00842318172220782,63,151,0.529892510604854,67,155,0.120958636764408,61,149,0.994613266753772,88,176,0.405179494360128,45,133,0.062884053301103,50,138,0.134021826498927,49,137
"L023",23.259125,100,0.0296221020797841,22,122,0.0829765567515194,39,139,0.229672304354594,39,139,0.79313117247393,32,132,0.39761082280963,28,128,0.0747423184114374,17,117,0.0018621380538389,17,117,0.158094366415351,28,128,0.0829780270035245,38,138,0.335940376939836,26,126,0.239771354780619,17,117,0.0474377999357956,31,131,0.108829386773758,33,133
"L024",23.2754934210526,98,0.0581153335493881,34,132,0.0748167878607016,32,130,0.207207901679757,32,130,0.726319101828335,27,125,0.4856367648469,34,132,0.124157425006955,36,134,0.00513835539478586,36,134,0.235843067370964,34,132,0.0767414047775399,31,129,0.571660500081854,51,149,0.391760331593693,42,140,0.0558026287623681,38,136,0.118075465167738,36,134
"L025",23.717625,90,0.145422724290507,76,166,0.18686014167485,88,178,0.517158093346161,88,178,1.48752467867961,80,170,0.87819194688337,81,171,0.168886708216847,68,158,0.00950757340410751,68,158,0.771221095570804,81,171,0.187307070421261,88,178,0.581241378421726,54,144,0.549269411603448,73,163,0.10038922004177,81,171,0.228470667470379,84,174
"L026",24.6402763157895,53,0.149356952314666,78,131,0.140388002278385,72,125,0.388851603204301,72,125,1.42007399790393,77,130,0.831278924613227,79,132,0.180846908285107,75,128,0.0109018680787607,75,128,0.691024650506123,79,132,0.140687280141693,71,124,1.1069861175109,94,147,0.529977168528065,70,123,0.0859696897178595,70,123,0.186449077862473,66,119
"L027",25.568,14,0.183665264899081,82,96,0.151038590585549,77,91,0.418387083060645,77,91,1.50835649379432,82,96,0.915415766511695,82,96,0.202089936083637,78,92,0.0136134474220962,78,92,0.837986025578194,82,96,0.151482494294382,77,91,1.24371222156669,98,112,0.535793332240527,71,85,0.0818479010995704,63,77,0.174035858966604,60,74
"L028",25.086125,30,0.230023400234219,91,121,0.174941499398863,85,115,0.484577479215048,85,115,1.74360649379433,89,119,1.03603128811337,89,119,0.222418704202708,88,118,0.0164900266597373,88,118,1.07336082994984,89,119,0.175025337752413,83,113,1.40439901352155,100,130,0.595740681944494,79,109,0.0996379921764218,80,110,0.216918226293368,79,109
"L029",24.03525,82,0.0855014615040211,51,133,0.0921461277803576,48,130,0.255077712739817,48,130,0.933631172473944,43,125,0.575450043665925,49,131,0.156782855748473,62,144,0.00819362128554881,62,144,0.331142752755115,49,131,0.0956875237721956,48,130,0.48865288403275,39,121,0.495043484108246,64,146,0.070859623622087,53,135,0.151718815584446,54,136
"L030",24.002875,83,0.274936315320586,97,180,0.207743828641743,92,175,0.575283033869762,92,175,1.98613117247395,94,177,1.15129719577921,96,179,0.239966285487562,93,176,0.0191946060568993,93,176,1.32548523300908,96,179,0.207868905425697,92,175,1.42055917897585,101,184,0.760789914390007,95,178,0.134052258172201,96,179,0.297646285641023,95,178
"L031",25.430125,18,0.194550536741847,83,101,0.17943952788807,87,105,0.496714677999005,87,105,1.55155054986074,83,101,0.950310972121306,83,101,0.21323643544667,83,101,0.0151565924673339,83,101,0.903090943734141,83,101,0.181254029705846,87,105,0.863720384681714,76,94,0.755341793783635,94,112,0.122326267067109,89,107,0.269507021512721,90,108
"L032",22.423375,104,0.00680297382165941,2,106,0.0311965862579841,7,111,0.0863391986329167,7,111,0.263449450139273,2,106,0.169896634641374,3,107,0.0426552213328764,4,108,0.000606489302318891,4,108,0.0288648664624646,3,107,0.0319210450323667,5,109,0.106682153586786,1,105,0.125823453039406,3,107,0.0189275882788342,3,107,0.0413999893185169,4,108
"L033",23.569,93,0.283758804713316,98,191,0.267051432938294,102,195,0.739118832869897,102,195,2.42763117247396,101,194,1.24464753688836,100,193,0.228583942717094,91,184,0.0174168729560306,91,184,1.54914749108225,100,193,0.267080866477519,102,195,0.897074327213065,80,173,0.713866102702062,89,182,0.142371805484913,98,191,0.328313760989026,99,192
"L034",24.099375,81,0.055998845246872,33,114,0.116859318781992,58,139,0.323429368322481,58,139,0.917024678679618,40,121,0.548318583386392,42,123,0.103317961054799,27,108,0.00355820035884031,27,108,0.300653268886859,42,123,0.117003910700316,58,139,0.386631634641224,29,110,0.341448146323884,34,115,0.0640541183368443,52,133,0.14621684708611,52,133
"L035",24.325,69,0.0284377955001392,21,90,0.0591252416006329,26,95,0.163758420142399,26,95,0.56635649379433,19,88,0.356299930771251,22,91,0.0813612908180497,22,91,0.00220655321452642,22,91,0.126949640667599,22,91,0.059590290576848,25,94,0.455887923091761,34,103,0.256975946927684,21,90,0.0395845485990679,23,92,0.0851172598824508,24,93
"L036",23.986125,84,0.065099490161688,42,126,0.102544999092524,52,136,0.283886724032566,52,136,1.01246873474603,52,136,0.551266662640284,44,128,0.122051323806347,33,117,0.00496550854762723,33,117,0.303894933338557,44,128,0.10338433256035,52,136,0.554252512529716,47,131,0.435096458206534,52,136,0.0709800686450486,54,138,0.156245282462691,56,140
"L037",25.218375,25,0.00759463492035465,4,29,0.0399937593412446,13,38,0.11070041060532,13,38,0.38713117247395,11,36,0.19677190554624,5,30,0.0394256626572602,2,27,0.000518127625321361,2,27,0.0387191828122983,5,30,0.0401138047955996,11,36,0.166691513562647,8,33,0.140191081727815,6,31,0.0247466120214641,9,34,0.055602602320241,10,35
"L038",24.363375,67,0.0100537088334936,9,76,0.0485986736569462,20,87,0.134500013270921,20,87,0.375024678679618,10,77,0.229194918910884,11,78,0.045107265271197,6,73,0.000678221793415378,6,73,0.0525303108545667,11,78,0.0487782752392563,17,84,0.141961842231355,6,73,0.138623788820575,5,72,0.0248220719953811,10,77,0.0564329181569638,12,79
"L039",26.760625,3,0.125007069289527,70,73,0.137540623114941,68,71,0.380841040083154,68,71,1.36486882752607,71,74,0.764739829329269,73,76,0.166843696568945,67,70,0.00927893969493007,67,70,0.584827006562559,73,76,0.138267585678974,69,72,0.883309290175229,78,81,0.577496802342687,76,79,0.0949501580096812,78,81,0.208459648717527,78,81
