"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",37.2891776359214,61,0.0539686488948027,12,73,0.098782315977691,31,92,0.299516670471715,31,92,1.20775862907056,10,71,0.83461778447398,13,74,0.0648242079576386,10,71,0.00140072597911172,10,71,0.696586846160255,13,74,0.0987935480889139,23,84,0.328679844088755,14,75,0.324903494860416,10,71,0.0367865661666602,16,77,0.131102547070576,19,80
"CL2",38.203125,35,0.47452022515145,81,116,0.25626198862031,87,122,0.776865829769991,87,122,3.99790056764434,82,117,2.39089906758741,82,117,0.199583403786792,77,112,0.0132778450223739,77,112,5.71639835139035,82,117,0.259594704830038,84,119,0.985719694209612,90,125,1.12416836218913,83,118,0.115977352981406,87,122,0.402295286513785,87,122
"CL3",37.171875,67,0.188943210268464,47,114,0.158085363220837,56,123,0.479380722688955,56,123,2.53323527177805,50,117,1.50192050704248,49,116,0.127778696630696,47,114,0.00544246510421317,47,114,2.25576520947473,49,116,0.167864571758447,53,120,0.545444501896011,47,114,0.6114230331654,46,113,0.0619778760581904,46,113,0.215330985125625,48,115
"Extra",37.515625,55,0.607406061421328,91,146,0.323973410028998,99,154,0.982293044323771,99,154,5.35853273668215,100,155,2.78234070566416,94,149,0.219111513233408,88,143,0.0160032850771446,88,143,7.74141980239572,94,149,0.324862889707232,99,154,1.10263381403407,95,150,1.18016151229077,90,145,0.12916052946345,97,152,0.456172662186618,97,152
"L001",36.1453778446639,85,0.249261394235518,56,141,0.0763793231469321,21,106,0.231527731768948,21,106,2.63603017910147,53,138,1.55870844543748,51,136,0.160746731117925,59,144,0.00861317052169949,59,144,2.42957201787813,51,136,0.124912030461603,41,126,0.546395011531522,48,133,0.739464371786575,58,143,0.063178462353783,47,132,0.206586508311297,45,130
"L002",36.2055925992714,84,0.355437158059292,65,149,0.17395355246541,59,143,0.527498895278718,59,143,3.28159686623237,63,147,1.97654039706515,63,147,0.182802674145962,70,154,0.0111389392249716,70,154,3.90671194123046,63,147,0.200175784199762,65,149,0.698136019698039,58,142,0.863879004971221,65,149,0.0823509735641201,62,146,0.28068075692754,61,145
"L003",39.7125,8,0.357503350752336,67,75,0.250110632266859,83,91,0.758340998672172,83,91,3.17065002900666,59,67,2.13823826310347,72,80,0.167724194182153,63,71,0.00937713510468418,63,71,4.57206286979974,72,80,0.250430819401959,79,87,0.847953926820295,72,80,0.882690652041234,67,75,0.0976741962377101,74,82,0.345952740935387,75,83
"L004",38.5125,29,0.427654306028281,73,102,0.156385708362592,54,83,0.473924787276302,54,83,3.31846863411809,66,95,2.1105321264606,70,99,0.203881996880368,83,112,0.0138559562173088,83,112,4.45434585682229,70,99,0.185612699459736,58,87,0.839952835859635,71,100,1.0150718532771,77,106,0.089578060930554,68,97,0.295199768895198,67,96
"L005",39,18,0.0399761799969337,7,25,0.0113802750903672,2,20,0.0344971240231582,2,20,1.13153136588191,7,25,0.611195396506292,6,24,0.0654614507502414,12,30,0.00142840051144209,12,30,0.373559812710483,6,24,0.0443678727887249,4,22,0.202634509788241,4,22,0.239880267762831,4,22,0.0186558984011243,2,20,0.0589139368667659,2,20
"L006",37.3583333333333,60,0.0214715300258824,3,63,0.0375995159140071,8,68,0.113944669613154,8,68,0.84780250608921,3,63,0.4767939409328,3,63,0.0453060793193782,4,64,0.000684213607764595,4,64,0.227332462110231,3,63,0.04287126306106,3,63,0.193792093375579,3,63,0.228032740463084,3,63,0.0203842948395748,4,64,0.0674485026415252,4,64
"L007",35.9109081993307,88,0.541121111161944,88,176,0.278094162298749,90,178,0.843131997270394,90,178,4.33750304209984,91,179,2.56329855381269,89,177,0.212780418373321,86,174,0.0150918354810419,86,174,6.57049947597825,89,177,0.284092862141319,91,179,1.02194606400903,92,180,1.2339536300359,95,183,0.127025293357365,95,183,0.440905438188818,95,183
"L008",39.3375,16,0.138576037386949,36,52,0.0388390805908634,9,25,0.117702672186343,9,25,2.21846863411805,40,56,1.14714320440915,31,47,0.121057986702609,38,54,0.00488501204816304,38,54,1.31593753142209,31,47,0.0861011370272968,14,30,0.394363771292424,23,39,0.493067022496211,25,41,0.0395065683382538,19,35,0.125981225965759,16,32
"L009",37.275,62,0.30111891810134,59,121,0.199369858881889,67,129,0.604318147606123,67,129,3.19168276568887,60,122,1.89396085029138,60,122,0.159443453154483,58,120,0.00847407158460859,58,120,3.58708770243645,60,122,0.199882464451369,64,126,0.81128494968117,68,130,0.811789100517996,62,124,0.0847507411865826,64,126,0.294426386081794,66,128
"L010",36.35,80,0.212017149151477,51,131,0.0200237477255668,3,83,0.0607066461880254,3,83,2.7684686341181,54,134,1.40553185692792,46,126,0.15092698432951,55,135,0.00759298486626674,55,135,1.97551980083925,46,126,0.101323942255049,25,105,0.463418561954054,37,117,0.528520171354342,31,111,0.0404684939934369,21,101,0.127059028322413,18,98
"L011",39.7896849058261,7,0.103724845472501,23,30,0.112280656958379,38,45,0.340460003869212,38,45,1.90218841676369,32,39,1.10258223118533,26,33,0.0954640010968724,24,31,0.00303779183514122,24,31,1.21568757652562,26,33,0.119896786853938,36,43,0.409114590537356,26,33,0.532529694990107,32,39,0.053064428602372,34,41,0.182881027969871,34,41
"L012",36.6427512305429,75,0.00919501587595022,1,76,0.0111597121381109,1,76,0.0338404749365757,1,76,0.560526443710327,1,76,0.296364082935307,1,76,0.0311560485936992,1,76,0.000323566454657648,1,76,0.0878316696540858,1,76,0.0229915865132912,1,76,0.0987586309540949,1,76,0.121534112540539,1,76,0.0100601837998113,1,76,0.0326263942850327,1,76
"L013",38.6875,23,0.167243005443545,43,66,0.136760456287495,49,72,0.414482055766293,49,72,2.53113583942257,49,72,1.38709204704045,45,68,0.120913062965901,37,60,0.00487332293193201,37,60,1.92402434696288,45,68,0.138692521420142,44,67,0.603466880713749,52,75,0.611177055528207,45,68,0.0603365470358511,45,68,0.205969927918794,44,67
"L014",36.3188214067662,81,0.0335503707889244,6,87,0.0729965844950736,20,101,0.221314279166972,20,101,1.016707157461,6,87,0.646592713115359,7,88,0.0521407476081137,5,86,0.000906219187044339,5,86,0.418082136653881,7,88,0.073461199781524,9,90,0.260369596762446,8,89,0.290443053854353,8,89,0.0309535636724051,8,89,0.108465441433527,9,90
"L015",38.3125,33,0.78782235458332,99,132,0.279361905696662,91,124,0.846742183772853,91,124,5.11668276568888,98,131,2.97756357529708,98,131,0.266373198695141,99,132,0.0236515603276937,99,132,8.86588484493594,98,131,0.294176800175665,92,125,1.23802028463198,101,134,1.47105010645793,101,134,0.141556751488948,101,134,0.480348127918591,100,133
"L016",37.475,57,0.273189317028512,58,115,0.162641547072383,57,114,0.492855431231144,57,114,2.81886416057746,58,115,1.74928877387907,57,114,0.156525010965713,57,114,0.0081666930192722,57,114,3.06001121441934,57,114,0.167074203592172,52,109,0.768140124905598,64,121,0.696435377925559,54,111,0.0640737256982672,48,105,0.213302265040448,47,104
"L017",38.525,27,0.0715388963882203,16,43,0.0881333742965707,25,52,0.267071491118019,25,52,1.68113583942255,19,46,0.904424244110547,16,43,0.0791087476365642,16,43,0.0020860646508752,16,43,0.817983213334934,16,43,0.0882218055565483,18,45,0.405906201905677,25,52,0.296347650803603,9,36,0.0287383061285061,7,34,0.0970735982782738,7,34
