"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",37.0858820921986,88,0.0410234620210231,20,108,0.0562762535841398,19,107,0.160372854269927,19,107,0.835631321424136,18,106,0.487415012723472,20,108,0.0879267579561216,21,109,0.00257703825489146,21,109,0.237573394628222,20,108,0.0592795478462122,17,105,0.370102048800424,22,110,0.338925399057239,26,114,0.0373238212292571,26,114,0.0981147586446793,24,112
"CL2",39.421875,27,0.10094018920482,42,69,0.103131694151368,46,73,0.293846663656238,46,73,1.29418541110377,43,70,0.817320661336595,44,71,0.126743542016739,40,67,0.00535464181431631,40,67,0.668013063447689,44,71,0.104782571855164,46,73,0.785629367521953,62,89,0.497221541176292,48,75,0.0582550630382069,46,73,0.154226189710193,45,72
"CL3",39.8645833333333,18,0.0546016202412691,28,46,0.0757168478667688,31,49,0.2157476075605,31,49,0.893314588896903,22,40,0.596839951885431,26,44,0.0944485218733887,27,45,0.00297350776135599,27,45,0.356217928166604,26,44,0.0772366740599189,30,48,0.546957029071681,42,60,0.382101444762711,30,48,0.0448748619516343,34,52,0.119252911300553,36,54
"Extra",37.234375,82,0.0248022925319838,6,88,0.0820927578398792,36,118,0.234000750600103,36,118,0.891507442142605,21,103,0.464739787843287,17,99,0.0534761255674274,4,86,0.000953232001901089,4,86,0.215983070404623,17,99,0.0821065419187434,32,114,0.242212119518891,8,90,0.190586168522467,6,88,0.0313506270007129,13,95,0.0912285283159301,22,104
"L001",41.8125,2,0.202080286873766,66,68,0.181763634828192,69,71,0.518066086994097,69,71,2.32099255785741,74,76,1.19937665152189,68,70,0.176673704493365,69,71,0.0104045326198029,69,71,1.43850435221587,68,70,0.18421003066573,69,71,0.797504068188533,63,65,0.767110341823135,81,83,0.098145042997861,76,78,0.269491735027409,74,76
"L002",38.6375,39.5,0.294787087859452,82,121.5,0.027594990946663,6,45.5,0.078637934059893,6,45.5,2.08253101939588,67,106.5,1.12683585243152,64,103.5,0.262308708155133,98,137.5,0.0229352861246715,98,137.5,1.26975903832508,64,103.5,0.0722841342991924,28,67.5,0.564402760486189,44,83.5,0.631630748772145,62,101.5,0.0462715478340109,37,76.5,0.105727545924686,29,68.5
"L003",37.325,80,0.0528439531800727,25,105,0.0892554178503514,41,121,0.254399950708124,41,121,0.913278602987626,24,104,0.60271785241042,27,107,0.0924416682069938,24,104,0.00284848734029731,24,104,0.363268809614229,27,107,0.0908643638122412,40,120,0.386551890690676,25,105,0.391030559631436,33,113,0.0488224090484998,40,120,0.133411553268805,40,120
"L004",37.1125,86,0.0287198895734747,11,97,0.0695030485421256,29,115,0.198075272597729,29,115,0.820992557857433,16,102,0.463699336773131,16,102,0.0631628749410426,9,95,0.0013298495902726,9,95,0.215017074923841,16,102,0.0697908807308321,26,112,0.389063840430409,26,112,0.278494948539069,14,100,0.0376626886967539,27,113,0.104000155043747,28,114
"L005",38.3375,52,0.143066962106257,52,104,0.184189299934861,70,122,0.52500391450017,70,122,1.70574758359177,54,106,1.08657956896366,62,114,0.133938952214522,44,96,0.00597988097344132,44,96,1.18065515968925,62,114,0.184569624619141,70,122,0.654316756966304,50,102,0.575338335274884,58,110,0.0843293116836321,65,117,0.238989010466839,68,120
"L006",40.825,10,0.270965057506051,79,89,0.272963195235647,90,100,0.778069848073851,90,100,2.87099255785746,89,99,1.53914778461642,86,96,0.176322840473065,68,78,0.0103632480241634,68,78,2.36897590288963,86,96,0.273006533968868,90,100,0.780080898252576,60,70,0.573142291873513,56,66,0.0964917699218808,74,84,0.28278301097038,78,88
"L007",39.8125,20,0.32000949908824,86,106,0.274433957540642,91,111,0.782206136239096,91,111,2.74425241640825,87,107,1.63333494188138,89,109,0.196721668387233,77,97,0.0128998049376855,77,97,2.66778303237064,89,109,0.274435256876236,91,111,1.10289192322695,81,101,0.783823308339561,83,103,0.124789937340486,91,111,0.357849561957413,91,111
"L008",37.9125,65.5,0.109302889904374,44,109.5,0.172815474672925,63,128.5,0.49260281812593,63,128.5,1.77900744214257,59,124.5,0.976075007503874,50,115.5,0.112312058519307,34,99.5,0.00420466616294809,34,99.5,0.952722420273687,50,115.5,0.172867542712444,63,128.5,0.496212232091039,37,102.5,0.381010631506244,29,94.5,0.06279599588784,50,115.5,0.183240050323481,53,118.5
"L009",37.8375,70.5,0.0401899664602212,19,89.5,0.0349462452281152,9,79.5,0.0995867979633603,9,79.5,0.717468980604125,10,80.5,0.442157274258611,10,80.5,0.0932719409871212,25,95.5,0.00289988499183501,25,95.5,0.195503055179805,10,80.5,0.0415704391294911,5,75.5,0.280128015424742,11,81.5,0.299198265839057,17,87.5,0.0285002322826398,8,78.5,0.0718600087912162,6,76.5
