"GEN","Y","Y_R","ASTAB","ASTAB_R","ssiASTAB","ASI","ASI_R","ASI_SSI","ASV","ASV_R","ASV_SSI","AVAMGE","AVAMGE_R","AVAMGE_SSI","DA","DA_R","DA_SSI","DZ","DZ_R","DZ_SSI","EV","EV_R","EV_SSI","FA","FA_R","FA_SSI","MASI","MASI_R","MASI_SSI","MASV","MASV_R","MASV_SSI","SIPC","SIPC_R","SIPC_SSI","ZA","ZA_R","ZA_SSI","WAAS","WAAS_R","WAAS_SSI"
"CL1",1102.59553413121,17,7.14831346508307,19,36,1.14217117301894,28,45,4.48376186528235,28,45,137.541847500228,17,34,86.0565386695908,19,36,0.0869296041915523,17,34,0.00251891869496665,17,34,7405.72784779077,19,36,1.14381998420721,28,45,7.71698387799957,28,45,4.34951342136925,24,41,0.0470859661799964,29,46,1.59918762374629,28,45
"CL2",811.154166666667,85,11.1875859044008,31,116,2.11583243251789,52,137,8.30829099502956,52,137,220.028643603597,40,125,122.987311614503,39,124,0.0952014028932126,21,106,0.00302110237094526,21,106,15125.8788181628,39,124,2.11721626058067,52,137,8.47762810854489,34,119,4.58732946729879,25,110,0.0630325731746839,42,127,2.30376291741305,45,130
"CL3",1076.71614583333,26,6.55753867769555,16,42,1.68671574558053,43,69,6.62328978735288,43,69,172.289060270237,30,56,96.4862917014509,27,53,0.0687557424039952,9,35,0.00157578403784152,9,35,9309.60448629748,27,53,1.68694857378413,43,69,6.64929653564895,18,44,3.0380248187406,9,35,0.0470339306432425,28,54,1.75224854362429,33,59
"Extra",1107.1890625,16,17.6353768991604,45,61,2.61291176205263,70,86,10.2602212368068,70,86,260.184893603557,54,70,152.582706481048,56,72,0.123165626977143,41,57,0.00505659055622424,41,57,23281.4823170817,56,72,2.61562038561695,70,86,10.3831950024109,50,66,5.59871639544026,42,58,0.0758025816186694,52,68,2.7767726823463,56,72
"L001",911.28875,67,8.20781541299953,21,88,1.85433037834473,47,114,7.28139699898878,47,114,177.434584237355,31,98,107.202828759285,33,100,0.0775091706261781,12,79,0.00200255717705266,12,79,11492.4464939927,33,100,1.85449292041732,47,114,7.54945871444234,27,94,3.7307802444564,16,83,0.055343396059351,36,103,2.03535196454659,40,107
"L002",1004.085,44,39.2932233011171,79,123,3.81147728447905,90,134,14.9663538321107,90,134,370.597084237355,84,128,226.590438269652,86,130,0.182521441917043,70,114,0.0111046922531589,70,114,51343.2267152329,86,130,3.8143070368682,90,134,16.1679439628768,76,120,9.43855250670744,84,128,0.122678307238024,89,133,4.41357297082476,90,134
"L003",1236.41625,2,14.2212362423683,37,39,0.606383026508897,13,15,2.38035548347293,13,15,162.564364156223,26,28,90.6269589785623,25,27,0.162804896257933,56,58,0.00883514474851876,56,58,8213.24569370201,25,27,0.667824499663555,13,15,5.50927713684806,13,15,5.4567775450098,41,43,0.036427294785791,17,19,1.10447345878958,16,18
"L004",1073.7275,28,84.0766884321666,101,129,5.5351763370393,104,132,21.7341409529452,104,132,575.162084237356,102,130,333.648229351772,103,131,0.257001034741884,93,121,0.0220165106194664,93,121,111321.140949573,103,131,5.53524596132709,104,132,25.1460502844891,100,128,12.6788363136873,98,126,0.180111213850265,103,131,6.51789794291254,103,131
"L005",1074.09875,27,25.9031195315318,62,89,1.77248630603414,46,73,6.95818065249695,46,73,257.501143603563,53,80,148.775365894934,52,79,0.188982370224999,79,106,0.0119047787519528,79,106,22134.1094971716,52,79,1.79082826438075,46,73,12.2912332403041,62,89,8.73893819300739,75,102,0.0801552692895304,56,83,2.63952807291963,52,79
"L006",1229.05125,3,11.5005232896528,32,35,1.49110855484766,37,40,5.855079937917,38,41,157.394364156224,24,27,102.856041881402,31,34,0.127055443072348,45,48,0.00538102853810357,45,48,10579.3653515087,31,34,1.50403274864882,37,40,6.71191322966303,21,24,5.39891331680008,38,41,0.0539523426181274,35,38,1.85771247295364,35,38
