"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"CL1",NA,NA,NA,NA,NA,"DS","Average stability"
"CL2",NA,NA,NA,NA,NA,"DS","Average stability"
"CL3",NA,NA,NA,NA,NA,"DS","Average stability"
"Extra",NA,NA,NA,NA,NA,"DS","Average stability"
"L001",NA,NA,NA,NA,NA,"DS","Average stability"
"L002",NA,NA,NA,NA,NA,"DS","Average stability"
"L003",NA,NA,NA,NA,NA,"DS","Average stability"
"L004",NA,NA,NA,NA,NA,"DS","Average stability"
"L005",NA,NA,NA,NA,NA,"DS","Average stability"
"L006",NA,NA,NA,NA,NA,"DS","Average stability"
"L007",NA,NA,NA,NA,NA,"DS","Average stability"
"L008",NA,NA,NA,NA,NA,"DS","Average stability"
"L009",NA,NA,NA,NA,NA,"DS","Average stability"
"L010",NA,NA,NA,NA,NA,"DS","Average stability"
"L011",NA,NA,NA,NA,NA,"DS","Average stability"
"L012",NA,NA,NA,NA,NA,"DS","Average stability"
"L013",NA,NA,NA,NA,NA,"DS","Average stability"
"L014",NA,NA,NA,NA,NA,"DS","Average stability"
"L015",NA,NA,NA,NA,NA,"DS","Average stability"
"L016",NA,NA,NA,NA,NA,"DS","Average stability"
"L017",NA,NA,NA,NA,NA,"DS","Average stability"
"L018",NA,NA,NA,NA,NA,"DS","Average stability"
"L019",NA,NA,NA,NA,NA,"DS","Average stability"
"L020",NA,NA,NA,NA,NA,"DS","Average stability"
"L021",NA,NA,NA,NA,NA,"DS","Average stability"
"L022",NA,NA,NA,NA,NA,"DS","Average stability"
"L023",NA,NA,NA,NA,NA,"DS","Average stability"
"L024",NA,NA,NA,NA,NA,"DS","Average stability"
"L025",NA,NA,NA,NA,NA,"DS","Average stability"
"L026",NA,NA,NA,NA,NA,"DS","Average stability"
"L027",NA,NA,NA,NA,NA,"DS","Average stability"
"L028",0.168239278963642,6207539129361.43,0.0333040185659434,0.199943045560503,0.552850086033215,"DS","Responsive / high-input adapted"
"L029",NA,NA,NA,NA,NA,"DS","Average stability"
"L030",0.0511961159352442,9709549633272.42,0.000193332091936478,0.990594999937238,0.00471360908669188,"DS","Responsive / high-input adapted"
"L031",NA,NA,NA,NA,NA,"DS","Average stability"
"L032",NA,NA,NA,NA,NA,"DS","Average stability"
"L033",NA,NA,NA,NA,NA,"DS","Average stability"
"L034",NA,NA,NA,NA,NA,"DS","Average stability"
"L035",NA,NA,NA,NA,NA,"DS","Average stability"
"L036",NA,NA,NA,NA,NA,"DS","Average stability"
"L037",NA,NA,NA,NA,NA,"DS","Average stability"
"L038",NA,NA,NA,NA,NA,"DS","Average stability"
"L039",NA,NA,NA,NA,NA,"DS","Average stability"
"L040",NA,NA,NA,NA,NA,"DS","Average stability"
"L041",NA,NA,NA,NA,NA,"DS","Average stability"
"L042",NA,NA,NA,NA,NA,"DS","Average stability"
"L043",NA,NA,NA,NA,NA,"DS","Average stability"
"L044",NA,NA,NA,NA,NA,"DS","Average stability"
"L045",NA,NA,NA,NA,NA,"DS","Average stability"
"L046",NA,NA,NA,NA,NA,"DS","Average stability"
"L047",NA,NA,NA,NA,NA,"DS","Average stability"
"L048",NA,NA,NA,NA,NA,"DS","Average stability"
"L049",NA,NA,NA,NA,NA,"DS","Average stability"
"L050",NA,NA,NA,NA,NA,"DS","Average stability"
"L051",NA,NA,NA,NA,NA,"DS","Average stability"
"L052",NA,NA,NA,NA,NA,"DS","Average stability"
"L053",NA,NA,NA,NA,NA,"DS","Average stability"
"L054",NA,NA,NA,NA,NA,"DS","Average stability"
"L055",NA,NA,NA,NA,NA,"DS","Average stability"
"L056",NA,NA,NA,NA,NA,"DS","Average stability"
"L057",NA,NA,NA,NA,NA,"DS","Average stability"
"L058",NA,NA,NA,NA,NA,"DS","Average stability"
"L059",NA,NA,NA,NA,NA,"DS","Average stability"
"L060",NA,NA,NA,NA,NA,"DS","Average stability"
"L061",NA,NA,NA,NA,NA,"DS","Average stability"
"L062",NA,NA,NA,NA,NA,"DS","Average stability"
"L063",NA,NA,NA,NA,NA,"DS","Average stability"
"L064",NA,NA,NA,NA,NA,"DS","Average stability"
"L065",NA,NA,NA,NA,NA,"DS","Average stability"
"L066",NA,NA,NA,NA,NA,"DS","Average stability"
"L067",NA,NA,NA,NA,NA,"DS","Average stability"
"L068",NA,NA,NA,NA,NA,"DS","Average stability"
"L069",NA,NA,NA,NA,NA,"DS","Average stability"
"L070",NA,NA,NA,NA,NA,"DS","Average stability"
"L071",NA,NA,NA,NA,NA,"DS","Average stability"
"L072",NA,NA,NA,NA,NA,"DS","Average stability"
"L073",0.294293744654963,17767055030609.2,0.118819522381919,0.364608932710994,0.396171437648902,"DS","Responsive / high-input adapted"
"L074",0.203982426774728,8054393434794.52,0.0116866902983966,0.545246736986888,0.261591754524038,"DS","Responsive / high-input adapted"
"L075",0.156365685908871,8824390646874.09,0.017278135092616,0.493274377745479,0.297665053022791,"DS","Responsive / high-input adapted"
"L076",-0.136660060776008,17542555718546.1,0.0909340302958233,0.42229083356848,0.350160917173736,"DS","Responsive / high-input adapted"
"L077",-0.1024240544677,-3724168555572.8,0.0211176800532535,0.124234794337579,0.647530434877593,"DS","Stable / low-input adapted"
"L078",0.276376759497327,7627750972235,0.0532881183434484,0.190829593287839,0.563159533367341,"DS","Responsive / high-input adapted"
"L079",0.135199241575099,4580650952292.23,0.0327546621407189,0.121546672531763,0.651364556403451,"DS","Responsive / high-input adapted"
"L080",0.0530710176667938,-3354822998076.97,0.00631492028176684,0.277956955484428,0.472783767810182,"DS","Stable / low-input adapted"
"L081",0.350400974823262,-10677385581506,0.690126012358625,0.0344523057769098,0.814386676725754,"DS","Stable / low-input adapted"
"L082",0.30523166863103,20403513913543.1,0.0355323897076994,0.716764418411774,0.15338059412049,"DS","Responsive / high-input adapted"
"L083",0.023209796378432,-8898883621042.89,0.0017946847455424,0.905039786565257,0.0486642093533655,"DS","Stable / low-input adapted"
"L084",-0.0265629635619495,3058345837610.68,0.0067997410167476,0.229058066800243,0.521399888424331,"DS","Responsive / high-input adapted"
"L085",0.192688490603146,8520496251734.93,0.0120308321401081,0.565858883136314,0.247764077475481,"DS","Responsive / high-input adapted"
"L086",-0.43307597015251,11702582391558.2,0.316843597408927,0.0853882948798655,0.707787243810498,"DS","Responsive / high-input adapted"
"L087",0.0203307012166528,2668679899650.04,0.042617372262502,0.0348377218699314,0.813351341097956,"DS","Responsive / high-input adapted"
"L088",0.225808928850758,21753287086799.4,0.0293882268918168,0.776681997978367,0.118704364030794,"DS","Responsive / high-input adapted"
"L089",-0.432607096583938,6528513994745.72,0.297929759050949,0.0299737705159946,0.826870653798975,"DS","Responsive / high-input adapted"
"L090",0.155982466589272,3071685342314.64,0.0518820066395749,0.0377960929625758,0.805587827123465,"DS","Responsive / high-input adapted"
"L091",0.0393554526185566,884632462142.972,0.0645168308358058,0.00261312073173352,0.948881307413691,"DS","Responsive / high-input adapted"
"L092",0.33497319511728,18835741648690.3,0.30738281746057,0.199554210007944,0.553285090904787,"DS","Responsive / high-input adapted"
"L093",-0.0808953088256299,5456399745850.63,0.00647632553603878,0.498230929027377,0.294145249341356,"DS","Responsive / high-input adapted"
"L094",-0.0687107454054474,-3841155082516.09,0.001018948033138,0.757729962790224,0.129523140577405,"DS","Stable / low-input adapted"
"L095",0.0573645438984128,-4549163373358.56,0.0245757139082468,0.153894935040704,0.60770555058642,"DS","Stable / low-input adapted"
"L096",-0.00242005657537764,-5582084383168.57,0.00424142080233422,0.613423270381493,0.216786574182048,"DS","Stable / low-input adapted"
"L097",0.00629348679058442,5247923147972.84,0.025208409338035,0.190924494925875,0.563050924104564,"DS","Responsive / high-input adapted"
"L098",-0.0249919056610011,-12376891134779.5,0.0569976958850248,0.36729243106045,0.393953441507627,"DS","Stable / low-input adapted"
"L099",-0.374768855297043,6486710309124.21,0.316793393577085,0.0278889320805051,0.833000203351905,"DS","Responsive / high-input adapted"
"L100",-0.424872835809619,7946563713069.09,0.273988656042995,0.0474209541610875,0.782236471921748,"DS","Responsive / high-input adapted"
