"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"CL1",0.260237335335645,-1031033782109.55,0.0844003323641648,0.14460654611891,0.619728325905136,"DTE","Stable / low-input adapted"
"CL2",0.123820691668724,-298754107874.733,0.275784710314047,0.00432509394400114,0.934234553571035,"DTE","Stable / low-input adapted"
"CL3",0.199160886238696,-977694640579.794,0.0690918226317121,0.156612790283928,0.604256661099737,"DTE","Stable / low-input adapted"
"Extra",0.00821442503121755,-1025956121358.79,0.035353739626142,0.285518193220798,0.465660975390345,"DTE","Stable / low-input adapted"
"L001",-0.00914566803916723,-100917617320.62,0.0028728086887831,0.0454212847701776,0.786877301138106,"DTE","Stable / low-input adapted"
"L002",-0.0278782956848743,278575355178.988,0.00847876591893425,0.109408638978975,0.669230232670858,"DTE","Responsive / high-input adapted"
"L003",-0.0196995454984231,-345942503311.04,0.0130690381287493,0.109456096167584,0.669158502954082,"DTE","Stable / low-input adapted"
"L004",-0.0106617840503943,327338968045.834,0.00205941039172602,0.411193093013098,0.358756603922428,"DTE","Responsive / high-input adapted"
"L005",0.0419289525828867,-633253641914.454,0.00102068383866327,0.840594903850225,0.0831603717932865,"DTE","Stable / low-input adapted"
"L006",0.0591832600175929,853232431140.097,0.0587669486381739,0.142567886073596,0.622418371641845,"DTE","Responsive / high-input adapted"
"L007",0.0232049451962916,-160759095351.518,0.0112032148991547,0.0300321334243056,0.826702182863414,"DTE","Stable / low-input adapted"
"L008",0.0881624655108747,-1116287153884.74,0.00661942222264919,0.716448097125607,0.153567429073286,"DTE","Stable / low-input adapted"
"L009",-0.0485736897729128,263862860026.48,0.000266314398570348,0.778220902806353,0.117831703807968,"DTE","Responsive / high-input adapted"
"L010",0.108914262252164,-873261723714.891,0.0822500488103382,0.110671385879245,0.667326908393172,"DTE","Stable / low-input adapted"
"L011",-0.0712875769950826,879846205304.118,0.0276533535120462,0.27311786884769,0.477393198620904,"DTE","Responsive / high-input adapted"
"L012",0.109581874330529,308039332592.428,0.0894392324799368,0.0140399002126014,0.881509915129571,"DTE","Responsive / high-input adapted"
"L013",0.000662913216635176,-458528896741.932,0.0002456234797659,0.919929827788363,0.0408702758289871,"DTE","Stable / low-input adapted"
"L014",0.0775339073604525,-1335122377150.49,0.0139907140907185,0.631010546861157,0.205638277066954,"DTE","Stable / low-input adapted"
"L015",0.0629833473031291,-62477791775.2202,0.0254236228479662,0.00205655454527697,0.95465074923136,"DTE","Stable / low-input adapted"
"L016",0.00920215145748417,-255168876437.37,0.0042067811617378,0.172009106416347,0.58526019431896,"DTE","Stable / low-input adapted"
"L017",0.0249847910053167,-387676178994.861,0.00506832680071651,0.284697551208568,0.466429431838142,"DTE","Stable / low-input adapted"
"L018",0.0391671181453837,-225444334868.682,0.0155722080730442,0.0419689808332311,0.795136677676966,"DTE","Stable / low-input adapted"
"L019",-0.0982298730692739,1000782448110.94,0.00190130298349655,0.876091515076014,0.0640023957957935,"DTE","Responsive / high-input adapted"
"L020",0.0430910294904081,-382879416051.824,0.00200675362816729,0.495078600957463,0.296381778975656,"DTE","Stable / low-input adapted"
"L021",0.0295777194857938,369515073151.92,0.0497760618760194,0.0355108862370492,0.811556676326676,"DTE","Responsive / high-input adapted"
"L022",0.0165603707906989,-486009149137.791,0.00921368364022037,0.256003929938349,0.494031690776636,"DTE","Stable / low-input adapted"
"L023",-0.0683610066651717,260246203222.369,0.0286237466809214,0.030781131628892,0.824554476748787,"DTE","Responsive / high-input adapted"
"L024",-0.0546021738931006,463451915700.744,0.0114724158183448,0.20082462857653,0.55186539011528,"DTE","Responsive / high-input adapted"
"L025",-0.127853466099419,1698278785599.37,0.0855217149274632,0.311602656250394,0.441786191275785,"DTE","Responsive / high-input adapted"
"L026",0.120167374031439,-1810519740617.25,0.0384773563849252,0.533464999731365,0.269613116402433,"DTE","Stable / low-input adapted"
"L027",0.0540660410158672,-78597353662.4714,0.0325048340787574,0.00254437941363799,0.949558158106211,"DTE","Stable / low-input adapted"
"L028",0.0263215282806422,-336438333887.93,0.0014110770235697,0.518458699021537,0.27995923794445,"DTE","Stable / low-input adapted"
"L029",0.00250838455755403,-205631769978.587,0.0145288490884114,0.0375947828342084,0.806106258909143,"DTE","Stable / low-input adapted"
"L030",0.0843341609419516,-1015850871493.61,0.0233948099698081,0.371880317341177,0.390180094338355,"DTE","Stable / low-input adapted"
"L031",0.011428407369329,-367267507683.73,0.000845505635155848,0.681656156629946,0.174375293108336,"DTE","Stable / low-input adapted"
"L032",0.0101502091836966,-341564303755.206,0.00087489473503089,0.641554036817489,0.199029315881355,"DTE","Stable / low-input adapted"
"L033",-0.0158444724744815,482883323909.859,0.0123203709547538,0.202569430954115,0.549922861106993,"DTE","Responsive / high-input adapted"
"L034",-0.0244919792009965,-81487021670.9408,0.0200265107900622,0.00443061009674104,0.933437171809327,"DTE","Stable / low-input adapted"
"L035",-0.0851096546605928,218356511610.225,0.00343430692270856,0.157073613819215,0.60367486350319,"DTE","Responsive / high-input adapted"
"L036",0.02167969093228,-209776793379.488,0.0023628408945188,0.199985556677683,0.552802552916853,"DTE","Stable / low-input adapted"
