"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",85.7932238579067,1.20782350795668,0.00237298175359922,0.999951109157783,0.00445140819724073,TRUE,"DTM","Responsive / high-input adapted"
"CL2",91.5672324792408,0.923017621526146,1.06361447108733,0.984726212049639,0.007666279898925,TRUE,"DTM","Average stability"
"CL3",90.7075689854939,1.04073029947563,1.5251280210328,0.982806475259975,0.00863403565586608,TRUE,"DTM","Average stability"
"Extra",88.8544747846075,1.09211531466525,0.29113180721786,0.996976537368747,0.00151287571208638,TRUE,"DTM","Average stability"
"L001",88.9092778978639,0.904611890307945,0.416791371569348,0.984921536832402,0.0783711398139792,TRUE,"DTM","Average stability"
"L002",86.5091040671808,0.922440790144911,0.0677171771400992,0.99761358751382,0.0311118448902993,TRUE,"DTM","Average stability"
"L003",90.4602126063525,0.891804713394447,0.0339578642861618,0.999469802684642,0.000265133805646526,TRUE,"DTM","Average stability"
"L004",89.2165148279827,0.979048508411853,1.02829857378154,0.986846915598933,0.00659831105492209,TRUE,"DTM","Average stability"
"L005",90.9811063207383,0.965310253251858,0.889802801238404,0.988275216280283,0.00587967716162094,TRUE,"DTM","Average stability"
"L006",91.655680773501,0.905970687365896,0.120262341468957,0.998182901397568,0.00090896240754511,TRUE,"DTM","Average stability"
"L007",87.0773572692477,1.08136698446379,0.119693028687678,0.996932745478338,0.03527583447144,TRUE,"DTM","Average stability"
"L008",91.155455248955,0.956908115522167,0.606747229808256,0.991834672313839,0.00409103211496325,TRUE,"DTM","Average stability"
"L009",89.1045559495265,1.09259094555639,0.386828965205073,0.99599017102341,0.002006928369034,TRUE,"DTM","Average stability"
"L010",90.5416110836076,0.949066657273333,0.12095347563629,0.998334410529259,0.000833141797998281,TRUE,"DTM","Average stability"
"L011",91.00477504104,0.944351075191327,0.0440451521319817,0.998517658677564,0.0245166758186551,TRUE,"DTM","Average stability"
"L012",89.4999025331084,0.874745769435252,0.00111613420963671,0.99995615753272,0.00421532233581385,TRUE,"DTM","Average stability"
"L013",91.2345864630638,0.95222829768275,1.27880756078023,0.982779485742564,0.00864764803700397,TRUE,"DTM","Average stability"
"L014",86.798057973018,0.972645629755193,0.0324216609171891,0.99897094130937,0.0204255946597749,TRUE,"DTM","Average stability"
"L015",88.6940950636776,1.07350153675159,1.05134713460626,0.988792392416488,0.0056195937084803,TRUE,"DTM","Average stability"
"L016",89.4563316238509,1.03728454142024,0.142323410750149,0.998359280285512,0.000820696628722023,TRUE,"DTM","Average stability"
"L017",90.2985621073472,1.02939434391602,0.412997919193009,0.995181039053201,0.00241239028684747,TRUE,"DTM","Average stability"
"L018",86.7854663744295,1.13075577170694,0.198895933233463,0.995346028980443,0.0434639709990816,TRUE,"DTM","Average stability"
"L019",86.24892602048,1.00480651989634,1.02901107821172,0.970275700663055,0.110309087904526,TRUE,"DTM","Average stability"
"L020",90.6582595011587,0.989429204249034,0.523074568281658,0.993405411779058,0.00330274818325196,TRUE,"DTM","Average stability"
"L021",85.5599212111446,1.0774711045793,0.000113387159561334,0.99999706429342,0.0010907787247227,TRUE,"DTM","Average stability"
"L022",91.5721793747909,0.816262535312469,0.131409779321363,0.99755560112319,0.00122294723837898,TRUE,"DTM","Average stability"
"L023",88.0740790878093,0.858420087530488,0.0610152986641316,0.997517319961318,0.0317336746902165,TRUE,"DTM","Average stability"
"L024",91.8399804206629,0.785244388650993,1.41983421517718,0.972187190915356,0.0140044670915815,TRUE,"DTM","Stable / low-input adapted"
"L025",88.3950246295895,0.855091729584075,0.506981789078072,0.979584033011301,0.0912754632494852,TRUE,"DTM","Average stability"
"L026",90.4684943669224,1.00906658112262,0.287160095240098,0.996508336491021,0.00174735838515263,TRUE,"DTM","Average stability"
"L027",84.9883743328194,1.09925181481413,0.162832896277139,0.995965836310741,0.0404621836002953,TRUE,"DTM","Average stability"
"L028",86.2705192606352,1.00298546746356,0.0998671013262066,0.9970249074459,0.0347412902157763,TRUE,"DTM","Average stability"
"L029",85.0292129929321,1.03888896369426,0.0312022577125623,0.999131775903593,0.0187611261909481,TRUE,"DTM","Average stability"
"L030",88.9785199810026,1.11225152485817,0.0105705132855483,0.999743232626137,0.0102016079575614,TRUE,"DTM","Average stability"
"L031",85.5935823144642,1.15378416322223,0.0157132795979671,0.999645329602261,0.0119899747689003,TRUE,"DTM","Average stability"
"L032",85.966344941668,0.87690029404978,0.0281934354893788,0.998899143987402,0.0211263804853722,TRUE,"DTM","Average stability"
"L033",88.1158518287435,1.02709261108169,9.54008515935186e-05,0.999997281726379,0.00104960745098471,TRUE,"DTM","Average stability"
"L034",90.9093225048382,0.962917197229217,0.237326279207259,0.996830023374428,0.00158624640160942,TRUE,"DTM","Average stability"
"L035",85.6418102955202,1.06898184440351,0.170598366367647,0.995532639268064,0.0425823400254602,TRUE,"DTM","Average stability"
"L036",86.3660487651663,0.945585191367868,0.0379072713318638,0.998727290089115,0.0227162688954209,TRUE,"DTM","Average stability"
"L037",86.988587379623,1.04926718380341,0.595554705265426,0.984000510971225,0.0807417420784002,TRUE,"DTM","Average stability"
"L038",88.1603510960473,0.979394245367759,0.266789916843036,0.991709133192374,0.0580473018600974,TRUE,"DTM","Average stability"
"L039",89.2349930761127,1.01375345530949,0.580885370817438,0.993026455626432,0.00349287226511432,TRUE,"DTM","Average stability"
"L040",89.8818021244844,0.994062630498523,0.302807169701627,0.996207240038966,0.00189818152707206,TRUE,"DTM","Average stability"
"L041",90.1668245460316,1.10702600465749,0.259998969941338,0.997371065581903,0.00131533225852344,TRUE,"DTM","Average stability"
"L042",88.160593973797,0.925184893261087,0.263551444876816,0.990830011356335,0.0610563039756308,TRUE,"DTM","Average stability"
"L043",86.792720774735,0.891798852710085,0.220123870790247,0.991749191880785,0.057906510538911,TRUE,"DTM","Average stability"
"L044",88.5128101106321,1.03123039543372,0.0181364955636788,0.999487633533839,0.0144114462136686,TRUE,"DTM","Average stability"
"L045",91.8377605298286,0.801050636590131,0.0362354618682657,0.999298905953677,0.000350608486317077,TRUE,"DTM","Average stability"
"L046",87.9289748619362,1.18565186907936,0.000148797703916653,0.999996818427846,0.00113553687455553,TRUE,"DTM","Average stability"
"L047",91.0019323870914,0.84517109650549,0.22871623498546,0.996037671390344,0.00198313070853166,TRUE,"DTM","Average stability"
"L048",86.9019787536629,1.182145045296,0.011365497638979,0.999755599506668,0.00995288197237272,TRUE,"DTM","Average stability"
"L049",90.5445498219556,1.01849306973992,1.10018347168476,0.986994392280554,0.0065240857068783,TRUE,"DTM","Average stability"
"L050",89.5100662366641,1.07240872482178,0.174381395253321,0.998119691539094,0.000940596591427134,TRUE,"DTM","Average stability"
"L051",86.3360843705264,0.985494355318708,0.18424824926081,0.994329949617474,0.0479827185179757,TRUE,"DTM","Average stability"
"L052",87.5624428480671,0.859249726086248,0.0108006090351354,0.999560478801035,0.0133475591799997,TRUE,"DTM","Average stability"
"L053",87.9171024329398,0.930279549884534,0.301869175244593,0.989624156388126,0.0649599577766796,TRUE,"DTM","Average stability"
"L054",84.9656432617803,1.04154783683888,0.000277794913831622,0.999992302958749,0.00176621100779564,TRUE,"DTM","Average stability"
"L055",88.8760791016208,0.874473779580813,0.111188537373399,0.995648551887911,0.0420254623071218,TRUE,"DTM","Average stability"
"L056",92.3089138503479,0.852560331668332,1.57472475919241,0.973788841785367,0.0131926014741442,TRUE,"DTM","Average stability"
"L057",85.5395210585158,1.17669062556385,0.0147852375959145,0.99967913255429,0.0114042355626223,TRUE,"DTM","Average stability"
"L058",91.3477582663868,0.856188362288715,0.41147417259088,0.99307447399564,0.00346877921680727,TRUE,"DTM","Average stability"
"L059",91.8732011332142,0.845408337452559,0.793823207134379,0.986388507526963,0.00682906429609849,TRUE,"DTM","Average stability"
"L060",86.3243006500105,1.16799470075398,0.0479243900609771,0.998945181312379,0.0206797560136724,TRUE,"DTM","Average stability"
"L061",91.5295431482806,0.798603971957165,0.229303975686771,0.995552868347739,0.00222604346087553,TRUE,"DTM","Stable / low-input adapted"
"L062",91.7310090451139,0.918694821984177,0.0600683493723928,0.999116541170319,0.000441827020398323,TRUE,"DTM","Average stability"
"L063",87.2994656028352,0.908195069632069,0.242813026442956,0.991229001995258,0.059709240466759,TRUE,"DTM","Average stability"
"L064",86.5174288131938,1.04320639002074,0.505912971517199,0.986219335488939,0.0749061989138736,TRUE,"DTM","Average stability"
"L065",90.933880491369,0.937117610050219,0.29460958499899,0.995849319443206,0.00207749827794452,TRUE,"DTM","Average stability"
"L066",89.9304986590967,1.07541921821639,0.509370074691681,0.99455779531855,0.0027248146481581,TRUE,"DTM","Average stability"
"L067",84.3440773284519,1.28342948699555,0.292842640650113,0.994684587341148,0.0464551760883015,TRUE,"DTM","Responsive / high-input adapted"
"L068",89.5430614381506,0.975746568261256,0.107189938782399,0.996627328373099,0.0369923206656759,TRUE,"DTM","Average stability"
"L069",89.9258051437495,1.00087847518327,0.179747343346229,0.997775667560051,0.00111278536560958,TRUE,"DTM","Average stability"
"L070",90.43628059566,1.04056567135671,0.169252426260461,0.998061703053396,0.000969618553371594,TRUE,"DTM","Average stability"
"L071",92.7473004552389,0.866735550073484,1.20992123684005,0.980382377134623,0.00985739555626493,TRUE,"DTM","Average stability"
"L072",85.4774446324052,1.03506775100417,0.000983742583956109,0.999972401006818,0.00334448105541296,TRUE,"DTM","Average stability"
