"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",35.9012643439268,1.26109195976512,0.250913427885283,0.982277705097936,0.0850024225313408,TRUE,"RepP","Responsive / high-input adapted"
"CL2",38.5622823921193,0.874439394430285,0.101185230936884,0.994224085199931,0.00289213963587124,TRUE,"RepP","Average stability"
"CL3",37.1845828928439,1.15536634495941,1.04845368567979,0.966667659056455,0.0168074150724818,TRUE,"RepP","Average stability"
"Extra",37.3828342936932,1.15332242071718,0.211896960476643,0.993054950599947,0.00347857494183936,TRUE,"RepP","Average stability"
"L001",35.0652098715345,0.878987278541084,0.716171331597695,0.904158898613256,0.200378334634119,TRUE,"RepP","Average stability"
"L002",35.2258824464143,0.715666389181891,0.10252317335773,0.977621709019196,0.0955931633417377,TRUE,"RepP","Stable / low-input adapted"
"L003",39.099849137043,0.692953959302664,0.433942479535607,0.961840281070741,0.0192654380155957,TRUE,"RepP","Stable / low-input adapted"
"L004",38.1713304938054,0.906317758239731,0.587774024716142,0.969542444943604,0.0153465356057473,TRUE,"RepP","Average stability"
"L005",38.8726269899817,0.991971430163103,0.0294078972622928,0.998689687119147,0.000655371196128703,TRUE,"RepP","Average stability"
"L006",37.0773994471405,0.827821675867654,0.750614834806516,0.954119803760979,0.0232094371048728,TRUE,"RepP","Average stability"
"L007",34.7665696413825,1.19894886951286,1.75029242074741,0.877778030905116,0.227366772394119,TRUE,"RepP","Average stability"
"L008",39.386755113092,0.923749744994874,0.400395240311872,0.979816166953599,0.0101433604033367,TRUE,"RepP","Average stability"
"L009",37.0670661001171,1.08359391919476,0.015322781963996,0.999427422120642,0.000286329932093911,TRUE,"RepP","Average stability"
"L010",36.2876923684132,0.951974420765575,0.905719041078833,0.957968677977522,0.0212412565000905,TRUE,"RepP","Average stability"
"L011",37.9719635497974,1.02353070740688,0.447623637356016,0.95341475238113,0.138495417113291,TRUE,"RepP","Average stability"
"L012",35.3673498981394,1.05734861363804,0.0376746501716917,0.996161180222685,0.0394691014815938,TRUE,"RepP","Average stability"
"L013",38.8402325633357,0.875122349549888,0.358914896225451,0.979840119590963,0.010131261433637,TRUE,"RepP","Average stability"
"L014",35.1605093552504,1.08669339723261,0.0194739813783139,0.998117748057739,0.0276283746155845,TRUE,"RepP","Average stability"
"L015",37.884495517611,1.1249520355447,0.285985680602744,0.990176467677865,0.00492388850004809,TRUE,"RepP","Average stability"
"L016",37.5758809049156,1.08184432814458,0.277647143175557,0.989692748963103,0.00516697433031345,TRUE,"RepP","Average stability"
"L017",38.3087250719488,0.839209220383533,0.341149922722613,0.979176930081665,0.0104663067476351,TRUE,"RepP","Average stability"
