"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",37.3248430304212,1.00282514600522,0.130380888299497,0.995514239707099,0.00224540105940941,TRUE,"VegP","Average stability"
"CL2",39.622761566517,1.10899276214616,0.18764724349238,0.994725115796426,0.00264092935571787,TRUE,"VegP","Average stability"
"CL3",40.0612420798333,0.924402566861042,0.067696854939626,0.997254147909264,0.00137386980448796,TRUE,"VegP","Average stability"
"Extra",37.3644987503558,1.03591954690985,0.0753771664704755,0.997564691962126,0.00121839626366442,TRUE,"VegP","Average stability"
"L001",41.8087014229921,1.0268294259446,0.689130811979851,0.977788641307799,0.0111680419263345,TRUE,"VegP","Average stability"
"L002",38.789054877897,0.947605908765749,0.425521260558234,0.983796967456528,0.00813460214778736,TRUE,"VegP","Average stability"
"L003",37.4614164445148,1.03507268280844,0.161015348676804,0.994803773328562,0.00260149722963696,TRUE,"VegP","Average stability"
"L004",37.1785088804996,1.05294316164252,0.0435188413418531,0.998637613072501,0.000681425634196889,TRUE,"VegP","Average stability"
"L005",38.416957864125,1.0594569967017,0.511142215538927,0.984419535933401,0.00782081460383308,TRUE,"VegP","Average stability"
"L006",40.848507439594,0.963197605395132,0.961230273017594,0.965241755526682,0.0175328221631613,TRUE,"VegP","Average stability"
"L007",39.914677968691,0.86169132662812,0.764498720371421,0.965451525641774,0.0174260711570993,TRUE,"VegP","Average stability"
"L008",38.026797710426,1.01054439636624,0.370068459793371,0.987561712203093,0.00623860398831516,TRUE,"VegP","Average stability"
"L009",37.9374569798232,0.96057361023125,0.0951288738683271,0.996429551825047,0.00178682045113902,TRUE,"VegP","Average stability"
"L010",40.2923422913859,0.712431069702841,0.493495064189084,0.967311969546854,0.0164798072500728,TRUE,"VegP","Stable / low-input adapted"
"L011",40.5912214707082,0.947421516101458,1.63676968186024,0.940400964431401,0.0302572689463451,TRUE,"VegP","Average stability"
"L012",41.6533540531438,0.873075114422862,0.504390446372052,0.977519086227609,0.0113043510626696,TRUE,"VegP","Average stability"
"L013",38.6042791923316,1.06197664567024,0.195995955340253,0.993996189479491,0.00300642455455569,TRUE,"VegP","Average stability"
"L014",39.2473944644566,1.03324872086373,0.198021496893294,0.993594737242948,0.00320777629289875,TRUE,"VegP","Average stability"
"L015",36.459921713646,0.878048947121969,0.700065467057138,0.96940629197866,0.0154156755367977,TRUE,"VegP","Average stability"
"L016",38.073366531308,1.03520306541129,0.0311409819865511,0.998991054088404,0.000504600266512706,TRUE,"VegP","Average stability"
"L017",38.0396199125886,1.14388745733039,0.0749410692279155,0.99801338031682,0.000993803664451937,TRUE,"VegP","Average stability"
"L018",38.0892535713067,0.955456545676722,0.0234384694002751,0.999108451279321,0.000445873762045523,TRUE,"VegP","Average stability"
"L019",39.5124457325175,0.919273671724854,0.429896361894535,0.982626485825711,0.00872481831445452,TRUE,"VegP","Average stability"
"L020",40.8112813076599,1.06818448893374,0.325745913316322,0.990175203387144,0.00492452377362652,TRUE,"VegP","Average stability"
"L021",38.1864402038269,0.890199124390681,0.267991257879272,0.988382929664158,0.00582550341292793,TRUE,"VegP","Average stability"
"L022",40.6526789728522,1.03449874864954,0.0283064291697217,0.99908155919272,0.000459325893778364,TRUE,"VegP","Average stability"
"L023",38.6401552774774,1.05061366171883,0.110558274189188,0.996530866608645,0.00173607367157399,TRUE,"VegP","Average stability"
"L024",39.6972414396347,1.07633372272919,0.588619521559662,0.982647439217301,0.00871424946320308,TRUE,"VegP","Average stability"
"L025",39.2239197663453,1.09600482609008,0.062226392766688,0.998202811781871,0.000898998207953296,TRUE,"VegP","Average stability"
"L026",41.0249237095128,1.03381295835781,0.232712349230929,0.992489197247545,0.0037624795022299,TRUE,"VegP","Average stability"
"L027",37.9806508227759,0.932741027990892,0.193122844423381,0.992344054347755,0.00383532769538787,TRUE,"VegP","Average stability"
"L028",39.1056556030065,1.07504494413464,0.550174510966766,0.983724077756675,0.00817134657407944,TRUE,"VegP","Average stability"
"L029",38.7249855758843,0.905668140560642,0.958036417723089,0.960988978268006,0.0196995469408341,TRUE,"VegP","Average stability"
"L030",42.2148120245508,1.15538254174621,0.54922726433312,0.985901942114673,0.00707405003460964,TRUE,"VegP","Average stability"
"L031",36.5484528885062,1.02118744646539,0.703132267034149,0.977102333525113,0.0115151323742417,TRUE,"VegP","Average stability"
"L032",38.7025413478367,1.05370214942466,0.0330478892425618,0.998966562949874,0.000516852093105908,TRUE,"VegP","Average stability"
"L033",39.7736255771825,0.943263949388527,0.496294014960909,0.980982264550274,0.00955451207536196,TRUE,"VegP","Average stability"
"L034",37.8868813922778,1.10748454200751,0.000223618526587463,0.999993663422303,3.16829386741022e-06,TRUE,"VegP","Average stability"
"L035",38.0015259637921,1.03169868601518,0.242854878209527,0.992132516489336,0.00394150950391686,TRUE,"VegP","Average stability"
"L036",38.378558052341,0.953266047489822,0.0225554285104021,0.99913806717705,0.000431059317542821,TRUE,"VegP","Average stability"
"L037",40.9137220059892,1.01285185860873,0.903822005225929,0.970289001879056,0.0149675122722826,TRUE,"VegP","Average stability"
"L038",40.0800756807334,1.1261953248138,0.0783613837414576,0.997857266490548,0.00107194128378375,TRUE,"VegP","Average stability"
"L039",36.3041456473208,1.00465406618975,0.452774279072555,0.984648355805022,0.00770550953609429,TRUE,"VegP","Average stability"
"L040",39.0006429964533,0.996752169395248,0.11405289489039,0.996026001572477,0.00198897722897009,TRUE,"VegP","Average stability"
"L041",38.7906290423138,1.01368828848418,0.102889426155383,0.996532006935599,0.00173550251669304,TRUE,"VegP","Average stability"
"L042",39.7437752895784,1.03354507012101,0.369807465532281,0.98811093716927,0.00596230596155436,TRUE,"VegP","Average stability"
"L043",38.3230598074386,0.980224321123585,0.130603389712135,0.995298009820465,0.00235376519506415,TRUE,"VegP","Average stability"
"L044",41.1092470563439,0.980332124835051,0.0867579605862582,0.996872282876452,0.00156508330464907,TRUE,"VegP","Average stability"
"L045",38.0614704384387,1.04301457748613,0.157668114070821,0.994988057665513,0.00250911900633774,TRUE,"VegP","Average stability"
"L046",39.0068741883448,0.957771852331687,0.130840771342234,0.995067166756321,0.0024694657523906,TRUE,"VegP","Average stability"
"L047",37.9254988529784,1.04212084745278,0.146817867956947,0.995323380543467,0.0023410499857845,TRUE,"VegP","Average stability"
"L048",37.8583732356954,1.01346161413117,0.180037718151234,0.993944692643423,0.00303225095120414,TRUE,"VegP","Average stability"
"L049",40.6262533626572,0.969404629361415,0.230994360732728,0.991529251046909,0.00424438186525432,TRUE,"VegP","Average stability"
"L050",37.3739724432484,1.12910269303003,1.57907228632483,0.958727990663263,0.0208534375981994,TRUE,"VegP","Average stability"
"L051",38.2422145803038,1.01059346195261,0.0224762136933357,0.99923570114772,0.000382222473149301,TRUE,"VegP","Average stability"
"L052",39.764536115299,0.951280330376412,0.0673125813574221,0.997421405943793,0.00129012924483757,TRUE,"VegP","Average stability"
"L053",38.6543601480577,1.04233478332563,0.243896096375358,0.992258231519663,0.00387840525382491,TRUE,"VegP","Average stability"
"L054",38.7368179677745,0.932279034933046,0.225360513072288,0.991068696923862,0.0044756673371255,TRUE,"VegP","Average stability"
"L055",38.6388990258,1.12813096626099,0.258593039843437,0.992987599745437,0.00351236849349862,TRUE,"VegP","Average stability"
"L056",38.8814990735259,1.1292217762605,0.295927688429316,0.991998649877431,0.00400870993897185,TRUE,"VegP","Average stability"
"L057",38.2574756089663,0.918978488630163,0.232933380722085,0.990504830588798,0.00475890830975152,TRUE,"VegP","Average stability"
"L058",41.0294972592524,0.868782546049848,1.60454955078842,0.931198440886274,0.0350137612969425,TRUE,"VegP","Average stability"
"L059",39.7764429867273,0.894771063866119,0.26212768245752,0.988748768449506,0.00564152920111055,TRUE,"VegP","Average stability"
"L060",36.0911769365874,0.941879843989134,1.6915846034933,0.937847309260995,0.0315748303245134,TRUE,"VegP","Average stability"
"L061",39.2468930114006,0.994393658750403,0.0173008300764388,0.999392269104958,0.000303911628659795,TRUE,"VegP","Average stability"
"L062",38.4072763271623,1.10880324631805,0.459204089915599,0.987184947910395,0.00642818683781351,TRUE,"VegP","Average stability"
"L063",37.331079173492,1.062557739795,0.391706681190122,0.98808550849478,0.00597509664255404,TRUE,"VegP","Average stability"
"L064",37.628131292283,1.10442632841394,0.430330823470722,0.987886735860446,0.00607508540109254,TRUE,"VegP","Average stability"
"L065",38.2211412263183,1.02513537014165,0.038619929173165,0.998724384548334,0.000638011255013854,TRUE,"VegP","Average stability"
"L066",39.5010753748058,0.948199307802403,0.382332886805523,0.985435496932335,0.00730896199656615,TRUE,"VegP","Average stability"
"L067",37.0039429337229,0.950919400704357,0.457859668560549,0.982706070136569,0.0086846767367263,TRUE,"VegP","Average stability"
"L068",41.2157483712679,0.923229683770606,1.70939081386178,0.934839559735023,0.0331289849545478,TRUE,"VegP","Average stability"
"L069",38.0714984444062,0.875567767342991,0.347799974700341,0.984476823588572,0.00779194541236865,TRUE,"VegP","Average stability"
"L070",36.8225315954565,0.840128398244435,0.625729285073577,0.970108978560149,0.0150588958926785,TRUE,"VegP","Average stability"
"L071",41.220903600738,0.926418604283888,1.00654880979564,0.96083534065698,0.0197779125846121,TRUE,"VegP","Average stability"
"L072",36.1511195697737,0.951263084048635,1.34941396125686,0.950725293960444,0.0249485685562815,TRUE,"VegP","Average stability"
"L073",35.9965938406046,0.969956035067851,2.14323957586344,0.926633202931017,0.0373821095933146,TRUE,"VegP","Average stability"
"L074",35.7522041547068,0.916454845355911,2.79850216733747,0.896213671261112,0.0533143756974484,TRUE,"VegP","Average stability"
"L075",36.4154866313146,1.06572775087456,0.898501332452454,0.973240893623089,0.0134702773747317,TRUE,"VegP","Average stability"
"L076",36.2475637913377,0.967680207241964,2.2293426201462,0.923579078523266,0.0389697827210293,TRUE,"VegP","Average stability"
"L077",36.7191503217931,0.893131076229539,0.492613825322337,0.978987467034852,0.0105620448785825,TRUE,"VegP","Average stability"
"L078",37.8316315327431,0.937569566910319,0.183291071471042,0.992805122622923,0.00360393285454871,TRUE,"VegP","Average stability"
"L079",38.7828279197376,1.12478998420626,0.268345118323697,0.992682106364801,0.00366566536889771,TRUE,"VegP","Average stability"
"L080",36.9889965757558,1.00003381644972,1.31750864798901,0.956216987659182,0.0221365189050253,TRUE,"VegP","Average stability"
"L081",38.3206247384946,0.938607174275906,0.605435294290745,0.97667219370661,0.0117327316425937,TRUE,"VegP","Average stability"
"L082",36.7221830427429,1.17246008861398,0.354525315674678,0.991116159459048,0.00445182966415542,TRUE,"VegP","Average stability"
"L083",37.7302783627105,0.981238024643262,0.116385679846614,0.995816351941165,0.002094016481931,TRUE,"VegP","Average stability"
"L084",38.5657099862731,0.996539212759195,0.169372672719071,0.994107319308895,0.00295069364203703,TRUE,"VegP","Average stability"
"L085",37.3054978201299,1.05480353205984,0.0119170370686404,0.999627875230415,0.00018607969761953,TRUE,"VegP","Average stability"
"L086",38.4465582543412,1.04315637133305,0.094864671890544,0.996979235469121,0.00151152461877586,TRUE,"VegP","Average stability"
"L087",37.3350421419421,1.00843938610146,0.0193209402361184,0.999340116815944,0.000329996040721204,TRUE,"VegP","Average stability"
"L088",36.1322782559993,0.998291415113593,2.20879686606675,0.928478282394897,0.0364242207304623,TRUE,"VegP","Average stability"
"L089",38.645345200323,0.960472435146955,0.500004110702773,0.981510557330707,0.00928785344545866,TRUE,"VegP","Average stability"
"L090",37.8225850265936,1.04616223804532,1.1428095932144,0.96497976271741,0.0176661653402085,TRUE,"VegP","Average stability"
"L091",36.952940224208,1.00952503959191,0.136840458632945,0.995355024533268,0.00232519098993587,TRUE,"VegP","Average stability"
"L092",37.237191760268,1.07210137834492,0.194536891087886,0.994151989691654,0.00292829260295733,TRUE,"VegP","Average stability"
"L093",39.9368927028575,0.962721486042217,0.260779076396532,0.990315657500187,0.0048539516733301,TRUE,"VegP","Average stability"
"L094",40.4720347034111,0.960106990664686,0.150456924025462,0.994359192370845,0.00282439241082256,TRUE,"VegP","Average stability"
"L095",38.2957894254289,0.978478921789626,0.277164153904181,0.990038805708699,0.00499306248212585,TRUE,"VegP","Average stability"
"L096",38.6113740142053,1.06553919178489,0.136291469187231,0.995845232303662,0.00207954610416872,TRUE,"VegP","Average stability"
