"genotype","mean_BLUP","b","s2d","r2","p_slope","reliable","trait","b_class"
"CL1",1052.76316706033,1.0483787115846,6990.93224191199,0.983505354032975,0.00828161556166808,TRUE,"YLD","Average stability"
"CL2",769.648120282595,1.12167851458436,1918.98718263579,0.995994472073593,0.0020047735216398,TRUE,"YLD","Average stability"
"CL3",1028.45643653806,1.08773102908624,1573.06553194464,0.996506574286776,0.00174824102996155,TRUE,"YLD","Average stability"
"Extra",1083.63166226893,1.11655294234642,824.585526895298,0.998259043640791,0.000870857375889046,TRUE,"YLD","Average stability"
"L001",882.017400204966,0.945168289848566,589.058486167827,0.998264385486594,0.000868184128543672,TRUE,"YLD","Average stability"
"L002",965.986695655999,0.797853345875571,5429.45979769213,0.978005240049463,0.0110585254680322,TRUE,"YLD","Stable / low-input adapted"
"L003",1186.87652737793,1.03455970102559,189.651650263885,0.999533007166664,0.000233523683323418,TRUE,"YLD","Average stability"
"L004",1046.7342749364,0.702927800915801,17212.5746407264,0.915874452157186,0.0429867022046216,TRUE,"YLD","Stable / low-input adapted"
"L005",1025.9880506635,1.12727732605175,2488.10555278099,0.994863840905806,0.00257138555894318,TRUE,"YLD","Average stability"
"L006",1193.26595811808,1.11675593463019,1130.65841292546,0.997615235392307,0.00119309404054122,TRUE,"YLD","Average stability"
"L007",1148.6840749896,1.16225315691835,28.914559746493,0.99994356374738,2.82185244526622e-05,TRUE,"YLD","Average stability"
"L008",1001.42118829682,0.987031382322341,2301.71961715029,0.993808997413206,0.00310030724590635,TRUE,"YLD","Average stability"
"L009",819.354785620339,0.721889658839003,2682.26321476614,0.986610235656252,0.00671744420016527,TRUE,"YLD","Stable / low-input adapted"
"L010",725.867358272341,0.865844827537379,1298.96630257027,0.99545215445853,0.00227651402879661,TRUE,"YLD","Average stability"
"L011",1039.29090477666,1.06697793848923,2078.3776822592,0.995209337268837,0.00239820706414269,TRUE,"YLD","Average stability"
"L012",931.051918055983,1.04500212422386,26201.4989851569,0.940499846677014,0.0302062865345981,TRUE,"YLD","Average stability"
"L013",1245.8732805079,1.16419700337091,180.458333778443,0.999649054956618,0.000175487919696139,TRUE,"YLD","Average stability"
"L014",1051.58463415043,0.925861328067892,245.592351691937,0.999245146695778,0.000377497904444855,TRUE,"YLD","Average stability"
"L015",931.530991313928,0.823200175963036,6062.23796739089,0.976955648886904,0.0115893318630643,TRUE,"YLD","Average stability"
