genotype,mean_BLUP,b,s2d,r2,p_slope,reliable,trait,b_class
CL1,14.06601425,0.998516251,0.098652917,0.986155552,0.00694635,TRUE,DTE,Average
CL2,13.9295976,1.071157275,0.241295851,0.971026237,0.014593365,TRUE,DTE,Average
CL3,14.0049378,0.996268227,0.081823677,0.988438698,0.005797456,TRUE,DTE,Average
Extra,13.81399134,0.931179318,0.016100034,0.997372468,0.00131463,TRUE,DTE,Average
L001,13.79663124,1.007585322,0.002603979,0.999636214,0.00018191,TRUE,DTE,Average
L002,13.77789861,0.99586268,0.009399733,0.998657039,0.000671706,TRUE,DTE,Average
L003,13.78607737,0.964913337,0.005998664,0.999086704,0.000456752,TRUE,DTE,Average
L004,13.79511513,1.014364221,0.002043367,0.999718313,0.000140853,TRUE,DTE,Average
L005,13.84770586,0.978411091,0.003118116,0.999538067,0.000230993,TRUE,DTE,Average
L006,13.86496017,0.980457903,0.065846703,0.990374876,0.004824198,TRUE,DTE,Average
L007,13.82898186,0.980583619,0.008893,0.998689491,0.000655469,TRUE,DTE,Average
L008,13.89393938,0.949775156,0.005565687,0.999125363,0.000437414,TRUE,DTE,Average
L009,13.75720322,1.007329675,0.000822158,0.999885054,5.74745257249178e-05,TRUE,DTE,Average
L010,13.91469117,0.913342395,0.03955788,0.993316805,0.003347199,TRUE,DTE,Average
L011,13.73448933,1.066060721,0.007285938,0.999091223,0.000454492,TRUE,DTE,Average
L012,13.91535878,0.948433787,0.071971523,0.988775298,0.005628189,TRUE,DTE,Average
L013,13.80643982,0.981245901,0.000588687,0.99991326,4.33711367509421e-05,TRUE,DTE,Average
L014,13.88331082,0.930648265,0.004017516,0.999342295,0.000328907,TRUE,DTE,Average
L015,13.86876026,0.964324171,0.016505496,0.997487994,0.001256793,TRUE,DTE,Average
L016,13.81497906,1.00425924,0.00495285,0.999303708,0.000348207,TRUE,DTE,Average
L017,13.8307617,1.000886986,0.007080027,0.998998248,0.000501001,TRUE,DTE,Average
L018,13.84494403,0.975825169,0.012135345,0.998195096,0.00090286,TRUE,DTE,Average
L019,13.70754704,1.045279746,0.000894095,0.999883909,5.80472422360557e-05,TRUE,DTE,Average
L020,13.84886794,0.977387593,0.000370569,0.999944965,2.75180621516014e-05,TRUE,DTE,Average
L021,13.83535463,0.967524343,0.044175371,0.993348971,0.003331062,TRUE,DTE,Average
L022,13.82233728,1.001930456,0.012357783,0.998256435,0.000872163,TRUE,DTE,Average
L023,13.7374159,1.040843112,0.017775514,0.997677411,0.001161969,TRUE,DTE,Average
L024,13.75117474,1.038446967,0.003937095,0.999482259,0.000258904,TRUE,DTE,Average
L025,13.67792344,1.109035212,0.040440988,0.995356555,0.002324424,TRUE,DTE,Average
L026,13.92594428,0.900048367,0.012062336,0.997891791,0.001054661,TRUE,DTE,Average
L027,13.85984295,0.960641193,0.021669493,0.996679432,0.001661665,TRUE,DTE,Average
L028,13.83209844,0.992283318,0.002510642,0.999638351,0.000180841,TRUE,DTE,Average
