"genotype","mean_BLUP","b","s2d","r2","p_slope","trait","b_class"
"CL1",0.358960503714716,0.92099481141178,0.041121314077486,0.986657871869143,0.00669346530431846,"lodging","Average stability"
"CL2",1.19077110485539,1.21893249873792,0.10402323937899,0.980845207990777,0.00962370384243516,"lodging","Responsive / high-input adapted"
"CL3",0.110742851343107,0.779194078216776,0.284612176854831,0.884362566036105,0.0595944672450588,"lodging","Stable / low-input adapted"
"Extra",0.34424663149432,1.03975894047743,0.0191882721942997,0.995073577641304,0.00246625237974811,"lodging","Average stability"
"L001",0.0647259271185345,0.602756598827552,0.0241704038303271,0.981781166766516,0.00915128966803594,"lodging","Stable / low-input adapted"
"L002",0.953260977153404,0.85591926502013,0.0810818046536538,0.970052608819068,0.0150875121011673,"lodging","Average stability"
"L003",-0.247622860988082,0.896110441380445,0.0469744912133238,0.983944802589641,0.00806008115932671,"lodging","Average stability"
"L004",-0.0699028116584783,0.752411666666343,0.0505016561939853,0.97572125416012,0.0122139633705487,"lodging","Stable / low-input adapted"
"L005",0.201911486656708,0.988183072515724,0.0328755341448781,0.990696538870082,0.00466260048660782,"lodging","Average stability"
"L006",0.000338233755404739,0.732979156829295,0.122931651640886,0.940004808234885,0.0304615488620965,"lodging","Stable / low-input adapted"
"L007",-0.300899570321678,0.782964801833236,0.0351766774204373,0.984246390579381,0.00790807352373781,"lodging","Stable / low-input adapted"
"L008",0.645118223423819,0.823559579900483,0.0241994186336192,0.990145832185786,0.00493928216124132,"lodging","Average stability"
"L009",-0.0251797601630575,0.836930401282622,0.0159987591497695,0.993669247045114,0.00317040220250581,"lodging","Average stability"
"L010",0.214114022840807,0.743063282225193,0.0172702060365646,0.991350735996501,0.00433402388325965,"lodging","Stable / low-input adapted"
"L011",0.299796667319011,0.725511841374854,0.093482013522935,0.952799513082644,0.0238855020630807,"lodging","Stable / low-input adapted"
"L012",0.270039339419236,0.619870593091455,0.96654739905648,0.587661306947181,0.233409296333968,"lodging","Stable / low-input adapted"
"L013",0.303928314881603,1.14335377814582,0.207976096571597,0.957508627378717,0.0214763020862924,"lodging","Average stability"
"L014",0.216592750004372,0.98819559952224,0.00769525450903229,0.997806743143372,0.00109723038557328,"lodging","Average stability"
"L015",0.18207279069771,0.928333940532296,0.0335065883473379,0.989271398608987,0.0053787662587395,"lodging","Average stability"
"L016",0.92287654466493,1.18391669891043,0.0166882850610168,0.996689943569514,0.00165640004579862,"lodging","Average stability"
"L017",0.411726427580992,1.10240225070197,0.031274120812784,0.992873036279573,0.00356985378824839,"lodging","Average stability"
"L018",0.795780657613619,1.07313579318997,0.0644244931769006,0.98463533934096,0.00771206832847147,"lodging","Average stability"
"L019",1.27309610708631,1.29462120682811,0.179929269210485,0.970925763937817,0.0146443464729007,"lodging","Responsive / high-input adapted"
"L020",0.778530677391348,1.05840305131459,0.162526192659573,0.961104641889278,0.019640554750821,"lodging","Average stability"
"L021",-0.029609067444773,1.03024794642652,0.180309094291957,0.954758842238206,0.0228823805507313,"lodging","Average stability"
"L022",1.38090678245362,1.07698271802434,0.011472306987772,0.997248670142008,0.00137661245992847,"lodging","Average stability"
"L023",1.73110121715014,1.22332939212901,0.00141057586473231,0.999737154004551,0.000131431634861878,"lodging","Responsive / high-input adapted"
"L024",1.49154175121234,1.33287860988033,0.0278516410760204,0.995646079595056,0.0021793349528904,"lodging","Responsive / high-input adapted"
"L025",1.89463064658969,1.20945817841527,0.0491314399561189,0.990718165676955,0.00465173648769805,"lodging","Responsive / high-input adapted"
"L026",0.3416554589386,0.96734821204575,0.153707228905211,0.956189471886538,0.0221505883386042,"lodging","Average stability"
"L027",0.594999769716683,1.02265351181774,0.0268439937771265,0.992891177712044,0.00356075061645413,"lodging","Average stability"
"L028",1.71323560107724,1.09921561388454,0.00763383203964543,0.998240788567785,0.000879992909868129,"lodging","Average stability"
"L029",0.76360289076406,1.27361752121992,0.0189222560521778,0.996756679077161,0.00162297748938498,"lodging","Responsive / high-input adapted"
"L030",0.607820356134129,0.775759210797316,0.203240991385223,0.913907454778268,0.0440149296258503,"lodging","Stable / low-input adapted"
"L031",0.511587872119125,0.84935651376691,0.08565337228841,0.967943197661644,0.0161589571167282,"lodging","Average stability"
