"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"L001",911.28875,64,45.3361481606281,33,44.5945933383306,27,-0.076837470841161,27,512061.95541875,24,3505.58656808864,28,89.8050716128991,38,87.2561097723434,60,94.1224650164838,42,222915.837628036,28,0.887475025061234,-457.551054147184,13,0.995270252223964,30,7.68634912217762,19,1.77839350685111,44,6.89810558580827,44,170.414490789472,27,103.02931566816,28,0.0755710632217045,11,0.00190366186548629,11,10615.0398870494,28,1.77857618069022,44,7.17484823332142,25,3.63490596392031,16,0.0536620257999208,32,1.96165478571724,36,1.79915572410292,35,768.240697897361,55,0.959134899449604,59,0.958464373458463,58,85042.38891875,66,125352.58135625,68,44732.19648125,55,838.837691493687,56,7.1667,47.5,488.9167,23,7.4364,33,0.703,36,15.75,21,0.269230769230769,22,0.3205,22,0.1199,44
"L002",1004.085,41,36.4194310804581,5,37.3207164713354,6,-0.231501941460401,6,401170.07315,13,16748.5875159072,80,83.9097329477626,48,80.8503233813489,74,106.094663671281,27,1040538.71614654,80,0.771702149592269,6243.60418909908,77,0.960554798474685,87,38.4074971283291,74,3.73627580877721,83,14.4923225462919,83,363.576990789494,77,222.597085950479,80,0.181487962146512,65,0.0109792934680312,65,49549.4626736451,80,3.73919171417231,83,15.7311190675611,71,9.34822002798999,77,0.121498462424492,81,4.34698531108366,84,3.91382667728878,83,892.717044257954,28,1.09083817599501,34,1.07814802192678,34,60922.506571875,50,105154.28828125,62,16690.7248625,21,952.025674166249,34,10.3333,71.5,1354.9167,68,30.3735,79,1.1325,59,22.75,49,0.689393939393939,70,0.8227,71,0.2667,75
"L003",1236.41625,2,38.7723397672085,8,43.3810481470588,20,-0.100801804726846,20,689437.15246875,55,2756.48972428793,25,104.493660435502,13,120.689139717467,4,119.938846429502,11,176666.598491749,25,1.02623709606587,2315.11787861694,60,0.988443817203884,58,14.26638701994,32,0.680138774918797,15,2.63777017977837,15,165.566718421054,26,91.7207455610438,25,0.162434388434635,50,0.00879497684871126,50,8412.69516627374,25,0.735835733550543,15,5.6480175434178,15,5.56997545999629,38,0.0389712221272589,19,1.19391920624183,18,1.20989882043163,22,1097.18257607683,2,1.33851971215376,2,1.32264346398761,2,4051.35689375001,3,7807.47548125002,5,295.23830625,1,1166.59448027021,2,3.1667,23.5,471.3333,20,0.1938,2,0.0724,2,16.5,24,3.66666666666667,96,4.4239,99,0.7451,97
"L004",1073.7275,25,31.6746367349467,2,33.3905368343945,2,-0.328155083757123,2,347002.571275,10,36840.1403945645,99,81.3370787230114,52,70.3568172571974,90,133.173809618435,2,2280991.19087472,99,0.684202597484713,20375.3036318331,96,0.872947243287557,99,83.0525868587079,97,5.45589330771659,99,21.1620634606348,99,568.141990789487,98,329.573403260778,99,0.256892978533026,88,0.0219980008065233,88,108618.628136892,99,5.4559836175583,99,24.6733573710647,96,12.6539332801626,94,0.179418255746586,99,6.45701278656489,99,5.81417315512442,99,981.32000802347,9,1.18888247887149,13,1.159710579226,16,51036.306603125,40,97773.82135625,56,4298.79185,6,1032.63083435776,13,14,92.5,1987,91,51.1993,97,1.4153,70,24.5,61.5,2.22727272727273,94,1.4992,91,0.5437,93
"L005",1074.09875,24,49.7893947842515,55,52.4942804900602,65,0.0648220882630642,65,857992.26286875,76,7633.19000828775,50,99.4386558286075,21,105.174106814933,21,91.9740299192888,45,477754.074025922,50,1.14540319531825,2866.37834970028,64,0.989429062364496,54,26.2551249397741,58,1.84554898510957,45,7.15759247180864,45,264.404676315791,53,150.831674396442,50,0.189165683984513,74,0.0119278853324428,74,22750.1940012344,50,1.86320608394183,45,12.389008271665,58,8.82627132893677,71,0.0827762343073206,56,2.72723594204432,51,2.52623150456598,51,883.825006991906,31,1.11560678893357,28,1.11330905972609,28,27677.35579375,19,27234.59498125,15,28120.11660625,38,970.252016365223,28,3,22,1315.5833,66,8.3193,36,0.5474,27,26.25,64.5,0.860655737704918,76,1.0559,79,0.1008,38
"L006",1229.05125,3,41.5520897816794,17,46.3741013900738,32,-0.0428508722604325,32,782432.68056875,68,3723.89313531567,31,110.210810981285,7,120.895546244494,3,121.095601104266,8,236394.085088595,31,1.09589831083464,984.532570515444,32,0.993218469427552,44,11.9218621592146,29,1.56761836375666,38,6.08051519213082,38,160.396718421055,24,106.098356229939,31,0.127552663064984,40,0.00542322728498976,40,11256.861194695,31,1.5797910585757,38,6.9135324012033,22,5.50573356856909,36,0.0564225883126164,35,1.94148974639608,35,1.88530713177884,36,1075.06431740135,3,1.3176113562646,3,1.30812717444123,3,3593.92796875,2,5902.02531250001,4,1285.830625,2,1149.52128427484,3,2.1667,15.5,449.6667,18,0.2145,3,0.0775,3,15,17,4.28571428571429,99,4.321,98,0.5098,90.5
"L007",1183.97625,5,48.1056857053889,46,52.8480034738701,67,0.0706552831236757,67,973195.41736875,93,11261.9747660888,66,120.670204359107,2,122.484853791802,2,118.994665073663,12,701795.244972524,66,1.22617848246316,-1510.08681750754,46,0.999674420612287,5,25.1517654275839,56,3.07457829814041,79,11.9256474896979,79,358.474676315787,73,182.808154055468,66,0.140640637099034,44,0.00659326293454073,44,33418.8211891678,66,3.07501417080577,79,13.2835161393411,61,7.1448765915068,51,0.0993912975038782,67,3.58040642104695,71,3.35879745774973,76,992.168631718454,6,1.23843695357043,5,1.23795743371108,5,8305.90943125,5,4655.35965625001,3,11956.45920625,13,1079.27463499013,5,11,74,1572.9167,74,2.442,12,0.3094,11,34.25,85,3.80555555555556,98,3.2711,96,1.0476,98
"L008",1017.455,38,45.8260785238046,37,47.2231258184818,38,-0.0270924251710895,38,652194.39975,44,1354.03890948074,13,98.4197790076196,24,96.8236508097716,39,105.705851783706,28,90079.2851855535,13,1.00064515994742,476.097218397107,14,0.993423401915798,41,4.6833355070856,11,0.643200237033621,12,2.49358427862203,12,111.741718421055,14,65.4941964661041,13,0.0721155026782739,9,0.00173354857551338,9,4289.48977074064,13,0.643461942018195,11,6.81003029023572,21,2.8450264738096,7,0.0282300692580021,12,0.908887748525308,12,0.848444494990222,12,865.277395490905,37,1.07376433077481,38,1.07197966477288,38,44804.362584375,37,64680.4957625,43,24928.22940625,37,938.044424461285,36,1,7,386.6667,15,2.7908,18,0.3598,14,15,17,0.384615384615385,36,0.4128,30,0.0242,8
"L009",849.68125,78,37.3162263859414,6,35.6370317505145,4,-0.271598838700578,4,301598.21196875,4,23644.633943568,90,74.2252274389992,67,73.4387833674078,85,101.159151041655,32,1466300.62259009,90,0.679095290302367,-74.1727002565992,3,0.989427388903267,55,49.4565888626444,86,4.61617776185745,93,17.905509345114,93,479.205323684207,90,264.242008717306,90,0.187788917256124,71,0.0117548924814092,71,69823.8391709569,90,4.61629253583616,93,18.0685371890246,83,8.16502530629023,63,0.130586413780195,90,4.84712695699286,90,4.43815810187096,90,750.203289602398,59,0.918597988363745,69,0.912732762998545,67,123675.33361875,80,208532.20398125,87,38818.46325625,48,804.323222946395,65,14.6667,95.5,2068.9167,93,40.8571,90,2.1143,88,38.75,93,0.610236220472441,64,0.5968,55,0.2222,69.5
"L010",769.15,91,50.0841587702257,56,45.8614410459428,30,-0.05250649287926,30,445188.67785,17,7017.52501332068,47,76.2212664621809,64,75.0622629750513,82,76.7040114137536,63,439742.917236632,47,0.827822762816934,-789.638687054011,26,0.996051677150665,26,17.5567400250094,41,2.21170049560938,51,8.57823988406999,51,287.410323684211,58,144.707079702515,47,0.124725639260452,37,0.00518549502964281,37,20940.1389160301,47,2.21175857502623,51,11.9344004685855,54,6.10050477572898,45,0.0799717748620597,52,2.81708393792337,53,2.64268521629575,55,627.309462502509,83,0.797009330884133,89,0.796240592497928,85,153989.041721875,90,225801.9012625,91,82176.18218125,82,696.644788666886,85,9.8333,67,1344.6667,67,9.5231,39,1.2923,67,31.5,79,0.375,34,0.3747,26,0.116,43
