"Comp 1","Comp 2","variable","trait"
0.0702200329583404,0.19537912349605,"sowing_to_emergence_GDD","DTM"
-0.0818115014932891,-0.235742271515727,"emergence_to_flower_GDD","DTM"
0.264563603918076,-0.176401420349678,"flowering_to_maturity_GDD","DTM"
-0.157188630839369,-0.243893775202765,"full_season_GDD","DTM"
0.219615043621553,0.0735713077678098,"sowing_to_emergence_precip_total","DTM"
0.0970665405642696,-0.19334785467036,"emergence_to_flower_precip_total","DTM"
-0.237096045699571,-0.168218348979636,"flowering_to_maturity_precip_total","DTM"
-0.269023054247261,-0.162435881995052,"full_season_precip_total","DTM"
-0.185155908349878,0.266380639657742,"sowing_to_emergence_mean_rad","DTM"
-0.0473261929039907,-0.166437319618386,"emergence_to_flower_mean_rad","DTM"
-0.0608466873816832,0.268027524270664,"flowering_to_maturity_mean_rad","DTM"
-0.166775186358036,0.375824326084847,"full_season_mean_rad","DTM"
-0.116533373241396,0.209056461532463,"sowing_to_emergence_VPD","DTM"
-0.122294465044321,-0.098075537790668,"emergence_to_flower_VPD","DTM"
0.259084396969342,0.124285664355439,"flowering_to_maturity_VPD","DTM"
0.243790608479867,0.0288940696978431,"full_season_VPD","DTM"
0.17750785608806,-0.0885764374464719,"emergence_to_flower_heat_days","DTM"
0.261247027407372,0.0774737662451506,"flowering_to_maturity_heat_days","DTM"
0.286089832708797,-0.0214673575371446,"full_season_heat_days","DTM"
-0.0597380577892355,0.321023375058608,"sowing_to_emergence_frost_days","DTM"
-0.0597380577892355,0.321023375058608,"full_season_frost_days","DTM"
-0.236835387529105,0.239156632225328,"sowing_to_emergence_dtr","DTM"
-0.215863288936109,0.00708674158418609,"emergence_to_flower_dtr","DTM"
0.265217046464899,0.151967153088861,"flowering_to_maturity_dtr","DTM"
0.123816893302611,0.147510198486791,"full_season_dtr","DTM"
0.057537986305677,0.172449696299691,"sowing_to_emergence_tmean","DTM"
0.0247244414083109,-0.127086731506688,"emergence_to_flower_tmean","DTM"
0.246798894529579,0.0240184532049941,"flowering_to_maturity_tmean","DTM"
0.227524084359665,-0.0281328594383349,"full_season_tmean","DTM"
