"variable","IncMSE","IncNodePur","trait"
"emergence_to_flower_dtr",2.00667083873009,0.15069834752252,"PRT"
"flowering_to_maturity_GDD",1.41705050316284,0.0659158314101009,"PRT"
"full_season_heat_days",1.41705050316284,0.0939224674253868,"PRT"
"emergence_to_flower_tmean",1.41705050316284,0.0822322863088665,"PRT"
"flowering_to_maturity_tmean",1.4160823329636,0.18583037515422,"PRT"
"emergence_to_flower_mean_rad",1.00100150250438,0.122546687228209,"PRT"
"full_season_tmean",1.00100150250438,0.107301140931157,"PRT"
"emergence_to_flower_precip_total",0,0.045480746315166,"PRT"
"sowing_to_emergence_mean_rad",0,0.0862242258513866,"PRT"
"flowering_to_maturity_mean_rad",0,0.0456880333043245,"PRT"
"sowing_to_emergence_VPD",0,0.0888749073805886,"PRT"
"full_season_VPD",0,0.124068411731859,"PRT"
"sowing_to_emergence_frost_days",-0.921430461570963,0.0237335676703491,"PRT"
"full_season_dtr",-1.00100150250438,0.0207889392829121,"PRT"
"sowing_to_emergence_tmean",-1.00100150250438,0.123792252202809,"PRT"
"emergence_to_flower_heat_days",-1.00100150250438,0.0767238385227992,"PRT"
"sowing_to_emergence_GDD",-1.41705050316284,0.0530069867070408,"PRT"
"full_season_frost_days",-1.73727046020804,0.0428113540517763,"PRT"
"emergence_to_flower_GDD",NA,0.167392982897277,"PRT"
"full_season_GDD",NA,0.290433913074954,"PRT"
"sowing_to_emergence_precip_total",NA,0.183799583611394,"PRT"
"flowering_to_maturity_precip_total",NA,0.305921749681467,"PRT"
"full_season_precip_total",NA,0.287000135959971,"PRT"
"full_season_mean_rad",NA,0.242212790760226,"PRT"
"emergence_to_flower_VPD",NA,0.234318501500008,"PRT"
"flowering_to_maturity_VPD",NA,0.231312036765761,"PRT"
"flowering_to_maturity_heat_days",NA,0.199226497834473,"PRT"
"sowing_to_emergence_dtr",NA,0.0950831806061559,"PRT"
"flowering_to_maturity_dtr",NA,0.164116495033205,"PRT"
