"variable","IncMSE","IncNodePur","trait"
"emergence_to_flower_GDD",0,0.228652613032527,"RepP"
"emergence_to_flower_precip_total",0,0.174854877024285,"RepP"
"emergence_to_flower_mean_rad",0,0.159886218354669,"RepP"
"full_season_mean_rad",0,0.2763414682212,"RepP"
"sowing_to_emergence_VPD",0,0.214634188831412,"RepP"
"emergence_to_flower_VPD",0,0.118961482875366,"RepP"
"emergence_to_flower_heat_days",0,0.0613154129243122,"RepP"
"full_season_dtr",-0.781016190051104,0.154842791405047,"RepP"
"sowing_to_emergence_tmean",-0.890358643178902,0.200154067794247,"RepP"
"flowering_to_maturity_mean_rad",-1.00100150250438,0.2218176492643,"RepP"
"sowing_to_emergence_frost_days",-1.00100150250438,0.0238189164840177,"RepP"
"full_season_frost_days",-1.00100150250438,0.0555774717960414,"RepP"
"emergence_to_flower_tmean",-1.00100150250438,0.195004764231381,"RepP"
"sowing_to_emergence_mean_rad",-1.00100150250438,0.245775619438777,"RepP"
"sowing_to_emergence_GDD",-1.18243995633823,0.148292945765787,"RepP"
"flowering_to_maturity_GDD",NA,0.471165088202067,"RepP"
"full_season_GDD",NA,0.395473095165433,"RepP"
"sowing_to_emergence_precip_total",NA,0.408134888112379,"RepP"
"flowering_to_maturity_precip_total",NA,0.571406867449096,"RepP"
"full_season_precip_total",NA,0.624939555150708,"RepP"
"flowering_to_maturity_VPD",NA,0.286214877933665,"RepP"
"full_season_VPD",NA,0.387084292123147,"RepP"
"flowering_to_maturity_heat_days",NA,0.411169699870492,"RepP"
"full_season_heat_days",NA,0.480842485907762,"RepP"
"sowing_to_emergence_dtr",NA,0.598811295894226,"RepP"
"emergence_to_flower_dtr",NA,0.577711291306041,"RepP"
"flowering_to_maturity_dtr",NA,0.482697908116716,"RepP"
"flowering_to_maturity_tmean",NA,0.432796094727802,"RepP"
"full_season_tmean",NA,0.418392398667252,"RepP"
