"variable","IncMSE","IncNodePur","trait"
"flowering_to_maturity_mean_rad",1.00100150250438,0.134043492816712,"VegP"
"emergence_to_flower_VPD",1.00100150250438,0.126838391586811,"VegP"
"emergence_to_flower_GDD",0,0.0864375932730132,"VegP"
"full_season_GDD",0,0.186228616751049,"VegP"
"full_season_mean_rad",0,0.0748432340077337,"VegP"
"emergence_to_flower_heat_days",0,0.229620347995331,"VegP"
"flowering_to_maturity_heat_days",0,0.204879805595577,"VegP"
"full_season_frost_days",0,0.0436356399720776,"VegP"
"flowering_to_maturity_dtr",0,0.0992598183633216,"VegP"
"full_season_tmean",0,0.296272000552432,"VegP"
"sowing_to_emergence_precip_total",-1.00100150250438,0.261562633014355,"VegP"
"emergence_to_flower_mean_rad",-1.00100150250438,0.191858222555596,"VegP"
"flowering_to_maturity_VPD",-1.00100150250438,0.148225985910008,"VegP"
"flowering_to_maturity_tmean",-1.05535901832805,0.0986931058342378,"VegP"
"sowing_to_emergence_dtr",-1.10956904479142,0.129807188938003,"VegP"
"emergence_to_flower_dtr",-1.10956904479142,0.142619154009786,"VegP"
"sowing_to_emergence_frost_days",-1.37379126896625,0.0448329470632615,"VegP"
"full_season_precip_total",-1.73727046020804,0.250340071005654,"VegP"
"flowering_to_maturity_precip_total",-2.00804832225625,0.0651018868806955,"VegP"
"sowing_to_emergence_GDD",NA,0.502086295415857,"VegP"
"flowering_to_maturity_GDD",NA,0.24626761255561,"VegP"
"emergence_to_flower_precip_total",NA,0.383081647781989,"VegP"
"sowing_to_emergence_mean_rad",NA,0.305656628335092,"VegP"
"sowing_to_emergence_VPD",NA,0.151766365822304,"VegP"
"full_season_VPD",NA,0.211608720907745,"VegP"
"full_season_heat_days",NA,0.23177340864654,"VegP"
"full_season_dtr",NA,0.293747428194839,"VegP"
"sowing_to_emergence_tmean",NA,0.368332408434391,"VegP"
"emergence_to_flower_tmean",NA,0.267653437592888,"VegP"
