"variable","IncMSE","IncNodePur","trait"
"full_season_heat_days",2.00716018408452,17.569526840243,"YLD"
"full_season_VPD",1.73657512196576,28.4733357681189,"YLD"
"flowering_to_maturity_GDD",1.41705050316284,27.2218720505995,"YLD"
"sowing_to_emergence_dtr",1.00100150250438,37.2969819239922,"YLD"
"flowering_to_maturity_tmean",1.00100150250438,16.7271596568737,"YLD"
"emergence_to_flower_tmean",1.00100150250438,27.1129999511783,"YLD"
"sowing_to_emergence_mean_rad",0,10.9602031469304,"YLD"
"emergence_to_flower_mean_rad",0,17.3890483682031,"YLD"
"sowing_to_emergence_VPD",0,19.1720865211592,"YLD"
"emergence_to_flower_heat_days",0,14.4837599912799,"YLD"
"full_season_frost_days",0,9.91330486872385,"YLD"
"emergence_to_flower_dtr",0,26.5399611260901,"YLD"
"full_season_dtr",0,14.0633656830637,"YLD"
"full_season_tmean",0,13.4291668370416,"YLD"
"sowing_to_emergence_tmean",-1.00100150250438,15.5881685587876,"YLD"
"emergence_to_flower_precip_total",-1.05699072812337,38.68543157958,"YLD"
"sowing_to_emergence_GDD",-1.11281800218408,13.6318909689053,"YLD"
"flowering_to_maturity_mean_rad",-1.37232763764135,18.6538348477257,"YLD"
"sowing_to_emergence_frost_days",-1.41705050316284,21.4559087171775,"YLD"
"emergence_to_flower_GDD",NA,106.840684215792,"YLD"
"full_season_GDD",NA,79.7980354071805,"YLD"
"sowing_to_emergence_precip_total",NA,56.5488355456442,"YLD"
"flowering_to_maturity_precip_total",NA,64.2485501709744,"YLD"
"full_season_precip_total",NA,55.2096772481265,"YLD"
"full_season_mean_rad",NA,32.9276527741857,"YLD"
"emergence_to_flower_VPD",NA,70.3838382915614,"YLD"
"flowering_to_maturity_VPD",NA,52.0731014433147,"YLD"
"flowering_to_maturity_heat_days",NA,42.7481939202892,"YLD"
"flowering_to_maturity_dtr",NA,41.3503393991314,"YLD"
