"variable","IncMSE","IncNodePur","trait"
"emergence_to_flower_precip_total",1.41705050316284,0.198386807939905,"lodging"
"emergence_to_flower_GDD",0,0.0786273492123453,"lodging"
"sowing_to_emergence_mean_rad",0,0.0917551099451149,"lodging"
"emergence_to_flower_VPD",0,0.0847645947977473,"lodging"
"emergence_to_flower_heat_days",0,0.0251607192278957,"lodging"
"emergence_to_flower_mean_rad",-1.00100150250438,0.050006608004731,"lodging"
"full_season_mean_rad",-1.00100150250438,0.168286383353579,"lodging"
"sowing_to_emergence_VPD",-1.00100150250438,0.121585422841611,"lodging"
"sowing_to_emergence_tmean",-1.00100150250438,0.0864336366144515,"lodging"
"emergence_to_flower_tmean",-1.00100150250438,0.0237742895621989,"lodging"
"flowering_to_maturity_mean_rad",-1.41705050316284,0.0835771601671682,"lodging"
"sowing_to_emergence_frost_days",-1.41705050316284,0.0443099927697108,"lodging"
"full_season_dtr",-1.41705050316284,0.0967220253627777,"lodging"
"full_season_frost_days",-1.55065903543246,0.0802885836848946,"lodging"
"sowing_to_emergence_GDD",-1.73727046020804,0.0658489665133969,"lodging"
"flowering_to_maturity_GDD",NA,0.145229287520762,"lodging"
"full_season_GDD",NA,0.171085095718508,"lodging"
"sowing_to_emergence_precip_total",NA,0.0955907324559852,"lodging"
"flowering_to_maturity_precip_total",NA,0.137487776479658,"lodging"
"full_season_precip_total",NA,0.158405770766601,"lodging"
"flowering_to_maturity_VPD",NA,0.2017576678566,"lodging"
"full_season_VPD",NA,0.169311795357591,"lodging"
"flowering_to_maturity_heat_days",NA,0.140786514718906,"lodging"
"full_season_heat_days",NA,0.146654309914199,"lodging"
"sowing_to_emergence_dtr",NA,0.203276818879452,"lodging"
"emergence_to_flower_dtr",NA,0.12229463241152,"lodging"
"flowering_to_maturity_dtr",NA,0.134055593231058,"lodging"
"flowering_to_maturity_tmean",NA,0.286947074566519,"lodging"
"full_season_tmean",NA,0.188096573891585,"lodging"
