"trait","env","n","mean","sd","cv","min","max","skewness","kurtosis"
"DS","Clavet.2024",300,1.39,0.57,40.8,1,4,1.29,4.29
"DS","Hunter.2024",300,2.18,0.78,35.9,1,4.25,0.44,2.91
"DS","Clavet.2025",2160,1.5,0.75,49.8,1,5,1.53,5.16
"DS","Hunter.2025",2160,1.18,0.52,44.3,1,4,3.05,11.9
"DTE","Clavet.2024",2158,14.55,0.68,4.7,14,19,2.44,15.25
"DTE","Hunter.2024",2159,13.81,1.2,8.7,9,15,-0.53,2.83
"DTE","Clavet.2025",2160,10.86,0.62,5.7,9,13,0.17,3.06
"DTE","Hunter.2025",2160,16.01,0.44,2.8,15,18,0.06,5.3
"DTF","Clavet.2024",2158,53.3,1.38,2.6,51,58,0.63,3.3
"DTF","Hunter.2024",2159,46.8,2.19,4.7,42,52,0.14,2.39
"DTF","Clavet.2025",2160,55.23,2.12,3.8,50,62,0.35,3.26
"DTF","Hunter.2025",2160,53.8,2.06,3.8,49,62,0.49,3.02
"DTM","Clavet.2024",2158,87.28,2.65,3,79,95,-0.11,2.35
"DTM","Hunter.2024",2159,81.89,3.84,4.7,71,95,0.34,2.63
"DTM","Clavet.2025",63,98.52,0.74,0.7,96,100,-0.2,4.06
"DTM","Hunter.2025",2160,93.37,3.51,3.8,80,103,0.43,2.37
"PRT","Clavet.2024",2156,25.05,0.96,3.8,21.98,28.25,0.04,3.27
"PRT","Hunter.2024",2159,25.39,0.99,3.9,22.09,29.06,0.09,3.26
"PRT","Clavet.2025",2159,23.89,1.17,4.9,19.71,28.45,0.33,3.43
"PRT","Hunter.2025",2160,24.38,1.42,5.8,18.99,28.95,-0.03,3.18
"RepP","Clavet.2024",2158,33.99,2.38,7,25,41,0,2.51
"RepP","Hunter.2024",2159,35.09,3.8,10.8,22,49,0.35,2.91
"RepP","Clavet.2025",63,42.33,1.88,4.4,37,46,-0.83,3.8
"RepP","Hunter.2025",2160,39.57,3.58,9.1,24,50,0.04,3.03
"VegP","Clavet.2024",2158,38.75,1.33,3.4,33,44,0.48,3.79
"VegP","Hunter.2024",2159,32.99,2.53,7.7,27,41,0.23,2.5
"VegP","Clavet.2025",2160,44.38,2.18,4.9,39,51,0.25,3.1
"VegP","Hunter.2025",2160,37.79,2.1,5.5,32,46,0.43,2.99
"YLD","Clavet.2024",2158,586.03,169.5,28.9,81.8,1197.1,0.07,2.69
"YLD","Hunter.2024",2159,548.56,227.78,41.5,79.8,1342.9,0.45,2.73
"YLD","Clavet.2025",2159,1229.6,261.61,21.3,132.1,2155.1,-0.22,3.75
"YLD","Hunter.2025",2160,1485.81,323.65,21.8,306.6,2456.4,-0.2,2.96
"lodging","Clavet.2024",2158,3.2,1.16,36.4,1,5,-0.1,2.18
"lodging","Hunter.2024",2159,3.35,0.84,25,1,5,-0.26,3.05
"lodging","Clavet.2025",2160,2.8,1.09,39,1,5,0.26,2.29
"lodging","Hunter.2025",2160,2.9,0.93,32,1,5,0.01,2.56
