"genotype","BLUP","env","trait","model"
"CL1",14.8867153640216,"Clavet.2024","DTE","GIBD"
"CL2",14.8190077479708,"Clavet.2024","DTE","GIBD"
"CL3",14.8193347217321,"Clavet.2024","DTE","GIBD"
"Extra",14.4435011661682,"Clavet.2024","DTE","GIBD"
"L001",14.5137644992739,"Clavet.2024","DTE","GIBD"
"L002",14.5144141708293,"Clavet.2024","DTE","GIBD"
"L003",14.5164388243093,"Clavet.2024","DTE","GIBD"
"L004",14.6017903452685,"Clavet.2024","DTE","GIBD"
"L005",14.5148525727307,"Clavet.2024","DTE","GIBD"
"L006",14.8076680219976,"Clavet.2024","DTE","GIBD"
"L007",14.5115891132727,"Clavet.2024","DTE","GIBD"
"L008",14.5150499858011,"Clavet.2024","DTE","GIBD"
"L009",14.5154160029512,"Clavet.2024","DTE","GIBD"
"L010",14.6000293848491,"Clavet.2024","DTE","GIBD"
"L011",14.5061333191546,"Clavet.2024","DTE","GIBD"
"L012",14.8045855958539,"Clavet.2024","DTE","GIBD"
"L013",14.5121189931364,"Clavet.2024","DTE","GIBD"
"L014",14.5149302109628,"Clavet.2024","DTE","GIBD"
"L015",14.6881059199224,"Clavet.2024","DTE","GIBD"
"L016",14.5067083323006,"Clavet.2024","DTE","GIBD"
"L017",14.5157192939081,"Clavet.2024","DTE","GIBD"
"L018",14.513458897273,"Clavet.2024","DTE","GIBD"
"L019",14.5152874816739,"Clavet.2024","DTE","GIBD"
"L020",14.6009435752994,"Clavet.2024","DTE","GIBD"
"L021",14.6608050600606,"Clavet.2024","DTE","GIBD"
"L022",14.5146458595333,"Clavet.2024","DTE","GIBD"
"L023",14.5127032670752,"Clavet.2024","DTE","GIBD"
"L024",14.5137131170248,"Clavet.2024","DTE","GIBD"
"L025",14.6265100066827,"Clavet.2024","DTE","GIBD"
"L026",14.5077213604863,"Clavet.2024","DTE","GIBD"
"L027",14.6307895502901,"Clavet.2024","DTE","GIBD"
"L028",14.51480894971,"Clavet.2024","DTE","GIBD"
"L029",14.5143060299933,"Clavet.2024","DTE","GIBD"
"L030",14.5133218723341,"Clavet.2024","DTE","GIBD"
"L031",14.5127683093438,"Clavet.2024","DTE","GIBD"
"L032",14.5134400378609,"Clavet.2024","DTE","GIBD"
"L033",14.5751254872891,"Clavet.2024","DTE","GIBD"
"L034",14.5112970781305,"Clavet.2024","DTE","GIBD"
"L035",14.5155120075189,"Clavet.2024","DTE","GIBD"
"L036",14.508811633796,"Clavet.2024","DTE","GIBD"
"L037",14.5142106276757,"Clavet.2024","DTE","GIBD"
"L038",14.5141054168858,"Clavet.2024","DTE","GIBD"
"L039",14.5134763364376,"Clavet.2024","DTE","GIBD"
"L040",14.5138771982247,"Clavet.2024","DTE","GIBD"
"L041",14.51366516796,"Clavet.2024","DTE","GIBD"
"L042",14.5024961332858,"Clavet.2024","DTE","GIBD"
"L043",14.5106105716018,"Clavet.2024","DTE","GIBD"
"L044",14.5135991201004,"Clavet.2024","DTE","GIBD"
"L045",14.5096636568679,"Clavet.2024","DTE","GIBD"
"L046",14.5174742337994,"Clavet.2024","DTE","GIBD"
"L047",14.5086823771096,"Clavet.2024","DTE","GIBD"
"L048",14.5161517418182,"Clavet.2024","DTE","GIBD"
"L049",14.5138852642886,"Clavet.2024","DTE","GIBD"
"L050",14.5155496139391,"Clavet.2024","DTE","GIBD"
"L051",14.6307986301607,"Clavet.2024","DTE","GIBD"
"L052",14.5118721916036,"Clavet.2024","DTE","GIBD"
"L053",14.5122468872365,"Clavet.2024","DTE","GIBD"
"L054",14.5106330142314,"Clavet.2024","DTE","GIBD"
"L055",14.5150814965168,"Clavet.2024","DTE","GIBD"
"L056",14.5130166991087,"Clavet.2024","DTE","GIBD"
"L057",14.6879636633344,"Clavet.2024","DTE","GIBD"
"L058",14.7811509219517,"Clavet.2024","DTE","GIBD"
"L059",14.6003411370236,"Clavet.2024","DTE","GIBD"
"L060",14.6337442800262,"Clavet.2024","DTE","GIBD"
"L061",14.6061991494239,"Clavet.2024","DTE","GIBD"
"L062",14.5121195262349,"Clavet.2024","DTE","GIBD"
"L063",14.5104836711702,"Clavet.2024","DTE","GIBD"
"L064",14.5953303180816,"Clavet.2024","DTE","GIBD"
"L065",14.514361483017,"Clavet.2024","DTE","GIBD"
"L066",14.5147734379338,"Clavet.2024","DTE","GIBD"
"L067",14.5148525468923,"Clavet.2024","DTE","GIBD"
"L068",14.6334199524351,"Clavet.2024","DTE","GIBD"
"L069",14.5134065981994,"Clavet.2024","DTE","GIBD"
"L070",14.5111201576613,"Clavet.2024","DTE","GIBD"
"L071",14.5156347335828,"Clavet.2024","DTE","GIBD"
"L072",14.5726073474288,"Clavet.2024","DTE","GIBD"
"L073",14.5100634308426,"Clavet.2024","DTE","GIBD"
"L074",14.5074160054058,"Clavet.2024","DTE","GIBD"
"L075",14.6317211634201,"Clavet.2024","DTE","GIBD"
"L076",14.509775266587,"Clavet.2024","DTE","GIBD"
"L077",14.516550648939,"Clavet.2024","DTE","GIBD"
"L078",14.5122366741996,"Clavet.2024","DTE","GIBD"
"L079",14.5146065230963,"Clavet.2024","DTE","GIBD"
"L080",14.511197993995,"Clavet.2024","DTE","GIBD"
