"genotype","BLUP","env","trait","pev","model"
"CL1",14.6306939951264,"Clavet.2024","DTE",0.0106893394768336,"SpATS"
"CL2",14.5827622146902,"Clavet.2024","DTE",0.010532689769902,"SpATS"
"CL3",14.5773837816196,"Clavet.2024","DTE",0.0105030828065937,"SpATS"
"Extra",14.5492527826823,"Clavet.2024","DTE",0.00946270552584741,"SpATS"
"L001",14.5615402598188,"Clavet.2024","DTE",0.00951053449859025,"SpATS"
"L002",14.5468554679371,"Clavet.2024","DTE",0.00961458190685837,"SpATS"
"L003",14.5234299153942,"Clavet.2024","DTE",0.00990600110073803,"SpATS"
"L004",14.6029999744684,"Clavet.2024","DTE",0.00933184450182267,"SpATS"
"L005",14.5408285061368,"Clavet.2024","DTE",0.00952091298108925,"SpATS"
"L006",14.7173349174431,"Clavet.2024","DTE",0.00962235517180834,"SpATS"
"L007",14.5241981555302,"Clavet.2024","DTE",0.00948348065046765,"SpATS"
"L008",14.550841907516,"Clavet.2024","DTE",0.00934560822559315,"SpATS"
"L009",14.5581377221262,"Clavet.2024","DTE",0.00945142285688893,"SpATS"
"L010",14.6183779826104,"Clavet.2024","DTE",0.00954331879929466,"SpATS"
"L011",14.5399531115884,"Clavet.2024","DTE",0.00937697202777885,"SpATS"
"L012",14.7225486633704,"Clavet.2024","DTE",0.00950605159444215,"SpATS"
"L013",14.5612993008631,"Clavet.2024","DTE",0.00946280295453393,"SpATS"
"L014",14.5392277326016,"Clavet.2024","DTE",0.00934307056830778,"SpATS"
"L015",14.6170232138997,"Clavet.2024","DTE",0.00979512096992622,"SpATS"
"L016",14.5214549779811,"Clavet.2024","DTE",0.00947410810293581,"SpATS"
"L017",14.5473033961021,"Clavet.2024","DTE",0.00960678961348898,"SpATS"
"L018",14.551002199372,"Clavet.2024","DTE",0.0095390994455923,"SpATS"
"L019",14.5438434595601,"Clavet.2024","DTE",0.00975506974395422,"SpATS"
"L020",14.6066603671162,"Clavet.2024","DTE",0.00949280102826453,"SpATS"
"L021",14.6354048432564,"Clavet.2024","DTE",0.00972386983665028,"SpATS"
"L022",14.5165871121872,"Clavet.2024","DTE",0.0097911538757497,"SpATS"
"L023",14.5560242929915,"Clavet.2024","DTE",0.00936766927492648,"SpATS"
"L024",14.5597053092499,"Clavet.2024","DTE",0.00939852340741053,"SpATS"
"L025",14.5907183598058,"Clavet.2024","DTE",0.00962800135588305,"SpATS"
"L026",14.5268093912459,"Clavet.2024","DTE",0.00952009660851561,"SpATS"
"L027",14.6074090908524,"Clavet.2024","DTE",0.00942966834737365,"SpATS"
"L028",14.5393478454108,"Clavet.2024","DTE",0.00943065644056461,"SpATS"
"L029",14.5439248675301,"Clavet.2024","DTE",0.00947468322867273,"SpATS"
"L030",14.5446368595566,"Clavet.2024","DTE",0.00978904695713149,"SpATS"
"L031",14.553513088382,"Clavet.2024","DTE",0.00959954107227995,"SpATS"
"L032",14.5579409013546,"Clavet.2024","DTE",0.0096256744755434,"SpATS"
"L033",14.5867775324758,"Clavet.2024","DTE",0.00940711970967238,"SpATS"
"L034",14.5516290672691,"Clavet.2024","DTE",0.00964348717839024,"SpATS"
"L035",14.5438502793862,"Clavet.2024","DTE",0.00975901550827167,"SpATS"
"L036",14.5460451720107,"Clavet.2024","DTE",0.00946326264540066,"SpATS"
"L037",14.5279240491624,"Clavet.2024","DTE",0.00979538578402791,"SpATS"
"L038",14.5520826555744,"Clavet.2024","DTE",0.00927824617960419,"SpATS"
"L039",14.5605761065537,"Clavet.2024","DTE",0.00950823984036955,"SpATS"
"L040",14.53919496623,"Clavet.2024","DTE",0.00935254623696806,"SpATS"
"L041",14.5533082685653,"Clavet.2024","DTE",0.00986081793835174,"SpATS"
"L042",14.5288976883938,"Clavet.2024","DTE",0.00951575288588366,"SpATS"
"L043",14.5476973563442,"Clavet.2024","DTE",0.00957063290575355,"SpATS"
"L044",14.5502869531056,"Clavet.2024","DTE",0.00964927277403497,"SpATS"
"L045",14.5358770304432,"Clavet.2024","DTE",0.00942735812206023,"SpATS"
"L046",14.5252791428955,"Clavet.2024","DTE",0.00972383499511467,"SpATS"
"L047",14.5297849993591,"Clavet.2024","DTE",0.00944956242473884,"SpATS"
"L048",14.5342679021227,"Clavet.2024","DTE",0.00935945366990361,"SpATS"
"L049",14.5400629058306,"Clavet.2024","DTE",0.00957777493993457,"SpATS"
"L050",14.560065507566,"Clavet.2024","DTE",0.00955768451889843,"SpATS"
"L051",14.6137992443399,"Clavet.2024","DTE",0.00970870036493525,"SpATS"
"L052",14.5532187266288,"Clavet.2024","DTE",0.00933572248778569,"SpATS"
"L053",14.5617198160324,"Clavet.2024","DTE",0.00926752102584109,"SpATS"
"L054",14.5395784463399,"Clavet.2024","DTE",0.0095415730866775,"SpATS"
"L055",14.5506114671299,"Clavet.2024","DTE",0.0094674638038933,"SpATS"
"L056",14.54202382991,"Clavet.2024","DTE",0.00939837063809574,"SpATS"
"L057",14.6347609199927,"Clavet.2024","DTE",0.00977694343038632,"SpATS"
"L058",14.7079777919375,"Clavet.2024","DTE",0.00926951131254774,"SpATS"
"L059",14.5556011547265,"Clavet.2024","DTE",0.0100226759818488,"SpATS"
"L060",14.6234341083125,"Clavet.2024","DTE",0.00953066352679456,"SpATS"
"L061",14.5696006997405,"Clavet.2024","DTE",0.00992980045957546,"SpATS"
"L062",14.5466400027484,"Clavet.2024","DTE",0.00967612166905713,"SpATS"
"L063",14.5562884392886,"Clavet.2024","DTE",0.00957619589707224,"SpATS"
"L064",14.5904475121777,"Clavet.2024","DTE",0.00958797725980675,"SpATS"
"L065",14.5543980321914,"Clavet.2024","DTE",0.00926611593370199,"SpATS"
"L066",14.5366892968907,"Clavet.2024","DTE",0.00974674872181242,"SpATS"
"L067",14.5526040716586,"Clavet.2024","DTE",0.0096309202088715,"SpATS"
"L068",14.6080509062242,"Clavet.2024","DTE",0.00997573615932233,"SpATS"
"L069",14.5528395394584,"Clavet.2024","DTE",0.00940285528993549,"SpATS"
"L070",14.5375187570288,"Clavet.2024","DTE",0.00949934426843535,"SpATS"
"L071",14.5490772364542,"Clavet.2024","DTE",0.00953689547950495,"SpATS"
"L072",14.5785480033132,"Clavet.2024","DTE",0.00941164242448238,"SpATS"
"L073",14.558485519317,"Clavet.2024","DTE",0.0096439172351906,"SpATS"
"L074",14.5494838454958,"Clavet.2024","DTE",0.00961280969581412,"SpATS"
"L075",14.6231599360326,"Clavet.2024","DTE",0.00927820005930238,"SpATS"
"L076",14.5381886871904,"Clavet.2024","DTE",0.00947498060425615,"SpATS"
"L077",14.5454528745354,"Clavet.2024","DTE",0.00994562092665068,"SpATS"
"L078",14.5586428491778,"Clavet.2024","DTE",0.00948042001613844,"SpATS"
"L079",14.5272618830827,"Clavet.2024","DTE",0.00989066313312046,"SpATS"
"L080",14.5426862002821,"Clavet.2024","DTE",0.00956671267830148,"SpATS"
"L081",14.5487701351818,"Clavet.2024","DTE",0.00954409161260846,"SpATS"
"L082",14.5580244281089,"Clavet.2024","DTE",0.00945699153795046,"SpATS"
"L083",14.5437471192948,"Clavet.2024","DTE",0.00943081582989129,"SpATS"
"L084",14.5370157198454,"Clavet.2024","DTE",0.00957766183762237,"SpATS"
"L085",14.5343573563726,"Clavet.2024","DTE",0.00978127280136455,"SpATS"
"L086",14.5307539616648,"Clavet.2024","DTE",0.00969206768717216,"SpATS"
"L087",14.5523023947295,"Clavet.2024","DTE",0.00952839055872081,"SpATS"
"L088",14.5411101193212,"Clavet.2024","DTE",0.00935494344011037,"SpATS"
"L089",14.5147234339315,"Clavet.2024","DTE",0.00954074769056182,"SpATS"
"L090",14.5282420090366,"Clavet.2024","DTE",0.00975050459571729,"SpATS"
"L091",14.6120052997452,"Clavet.2024","DTE",0.00940140374273662,"SpATS"
"L092",14.5315648123006,"Clavet.2024","DTE",0.00943553664250517,"SpATS"
"L093",14.5490718488773,"Clavet.2024","DTE",0.00929858350525974,"SpATS"
"L094",14.5997929817237,"Clavet.2024","DTE",0.00962856098988967,"SpATS"
