"genotype","BLUP_combined","trait","Genotype","dev_year"
"L001",13.8057769105959,"DTE","L001",2023
"L002",13.8057769105959,"DTE","L002",2025
"L003",13.8057769105959,"DTE","L003",2023
"L004",13.8057769105959,"DTE","L004",2026
"L005",13.8057769105959,"DTE","L005",2023
"L006",13.8057769105959,"DTE","L006",2023
"L007",13.8057769105959,"DTE","L007",2023
"L008",13.8057769105959,"DTE","L008",2023
"L009",13.8057769105959,"DTE","L009",2023
"L010",13.8057769105959,"DTE","L010",2023
"L011",13.8057769105959,"DTE","L011",2026
"L012",13.8057769105959,"DTE","L012",2023
"L013",13.8057769105959,"DTE","L013",2024
"L014",13.8057769105959,"DTE","L014",2025
"L015",13.8057769105959,"DTE","L015",2024
"L016",13.8057769105959,"DTE","L016",2025
"L017",13.8057769105959,"DTE","L017",2024
"L018",13.8057769105959,"DTE","L018",2024
"L019",13.8057769105959,"DTE","L019",2023
"L020",13.8057769105959,"DTE","L020",2025
"L021",13.8057769105959,"DTE","L021",2024
"L022",13.8057769105959,"DTE","L022",2024
"L023",13.8057769105959,"DTE","L023",2026
"L024",13.8057769105959,"DTE","L024",2024
"L025",13.8057769105959,"DTE","L025",2026
"L026",13.8057769105959,"DTE","L026",2025
"L027",13.8057769105959,"DTE","L027",2026
"L028",13.8057769105959,"DTE","L028",2025
"L029",13.8057769105959,"DTE","L029",2026
"L030",13.8057769105959,"DTE","L030",2025
"L031",13.8057769105959,"DTE","L031",2026
"L032",13.8057769105959,"DTE","L032",2026
"L033",13.8057769105959,"DTE","L033",2026
"L034",13.8057769105959,"DTE","L034",2026
"L035",13.8057769105959,"DTE","L035",2026
"L036",13.8057769105959,"DTE","L036",2026
"L037",13.8057769105959,"DTE","L037",2026
"L038",13.8057769105959,"DTE","L038",2026
"L039",13.8057769105959,"DTE","L039",2026
"L040",13.8057769105959,"DTE","L040",2026
"L041",13.8057769105959,"DTE","L041",2026
"L042",13.8057769105959,"DTE","L042",2026
"L043",13.8057769105959,"DTE","L043",2026
"L044",13.8057769105959,"DTE","L044",2026
"L045",13.8057769105959,"DTE","L045",2027
"L046",13.8057769105959,"DTE","L046",2027
"L047",13.8057769105959,"DTE","L047",2026
"L048",13.8057769105959,"DTE","L048",2026
"L049",13.8057769105959,"DTE","L049",2026
"L050",13.8057769105959,"DTE","L050",2027
"L051",13.8057769105959,"DTE","L051",2027
"L052",13.8057769105959,"DTE","L052",2027
"L053",13.8057769105959,"DTE","L053",2027
"L054",13.8057769105959,"DTE","L054",2027
"L055",13.8057769105959,"DTE","L055",2014
"L056",13.8057769105959,"DTE","L056",2016
"L057",13.8057769105959,"DTE","L057",2017
"L058",13.8057769105959,"DTE","L058",2018
"L059",13.8057769105959,"DTE","L059",2018
"L060",13.8057769105959,"DTE","L060",2018
"L061",13.8057769105959,"DTE","L061",2019
"L062",13.8057769105959,"DTE","L062",2020
"L063",13.8057769105959,"DTE","L063",2019
"L064",13.8057769105959,"DTE","L064",2019
"L065",13.8057769105959,"DTE","L065",2019
"L066",13.8057769105959,"DTE","L066",2019
"L067",13.8057769105959,"DTE","L067",2019
"L068",13.8057769105959,"DTE","L068",2019
"L069",13.8057769105959,"DTE","L069",2019
"L070",13.8057769105959,"DTE","L070",2019
"L071",13.8057769105959,"DTE","L071",2019
"L072",13.8057769105959,"DTE","L072",2019
"L073",13.8057769105959,"DTE","L073",2006
"L074",13.8057769105959,"DTE","L074",2006
"L075",13.8057769105959,"DTE","L075",2006
"L076",13.8057769105959,"DTE","L076",2014
"L077",13.8057769105959,"DTE","L077",2007
"L078",13.8057769105959,"DTE","L078",2008
"L079",13.8057769105959,"DTE","L079",2008
"L080",13.8057769105959,"DTE","L080",2009
"L081",13.8057769105959,"DTE","L081",2008
"L082",13.8057769105959,"DTE","L082",2009
"L083",13.8057769105959,"DTE","L083",2010
"L084",13.8057769105959,"DTE","L084",2013
"L085",13.8057769105959,"DTE","L085",2014
"L086",13.8057769105959,"DTE","L086",2013
"L087",13.8057769105959,"DTE","L087",2013
"L088",13.8057769105959,"DTE","L088",2007
"L089",13.8057769105959,"DTE","L089",2016
"L090",13.8057769105959,"DTE","L090",2016
"L091",13.8057769105959,"DTE","L091",2016
"L092",13.8057769105959,"DTE","L092",2017
"L093",13.8057769105959,"DTE","L093",2018
"L094",13.8057769105959,"DTE","L094",2017
"L095",13.8057769105959,"DTE","L095",2020
"L096",13.8057769105959,"DTE","L096",2020
"L097",13.8057769105959,"DTE","L097",2019
"L098",13.8057769105959,"DTE","L098",2019
"L099",13.8057769105959,"DTE","L099",2019
"L100",13.8057769105959,"DTE","L100",2019
"L001",55.6477424512562,"DTF","L001",2023
"L002",52.7667513578581,"DTF","L002",2025
"L003",51.4046972251625,"DTF","L003",2023
"L004",51.2289781013689,"DTF","L004",2026
"L005",52.4867122913624,"DTF","L005",2023
"L006",54.876330024924,"DTF","L006",2023
