"genotype","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R","trait","dev_year"
"L001",55.625,3,6.49869612940944,23,7.57057231160938,73,0.04395999288377,73,39.2025,31,0.522039135359669,79,103.838095014082,3,103.718568165025,4,NA,5,74.2847590099417,79,0.947121057592799,0.690051815273703,89,0.963526381988505,89,0.214467742403551,75,0.222053033523232,82,0.696597418565259,82,2.46783830612743,83,1.24402537998244,79,0.181203312081548,73,0.0109448801031076,73,1.54759914604046,79,0.223849192753809,83,0.752760659514568,62,0.697844375536836,76,0.100283270372195,80,0.272800800584502,80,0.258415527720866,81,55.418384717277,3,1.06433051227038,3,1.06419042774816,3,0.658125,2,0.857083333333332,2,0.0612500000000005,3,55.5347155767348,3,14.9167,101,2148.5625,91,0.0073,1,0.0147,1,39.625,93,13.2083333333333,103,14.5973,104,5.4242,104,"DTF",2023
"L002",52.4375,38,7.06991083837341,39,7.13387238393636,43,-0.00764675903751459,43,41.231875,41,0.480136194350932,77,98.2202795605904,54,97.6706552728037,72,NA,6,68.3667744182466,77,0.972682204516249,0.671565347116006,87,0.966218269875427,88,0.336572022033651,88,0.0646786617837329,29,0.202758104916961,29,2.07761394715309,75,1.19344367289795,77,0.285340552236667,99,0.0271397435835753,99,1.42430780038015,77,0.0938645567597735,38,0.745577526672347,61,0.762693624703447,83,0.0632207068007913,49,0.142055042073338,43,0.133949046321605,39,52.2279632594906,39,1.00338372837977,38,1.00329302916988,38,9.09218749999999,40,9.58791666666666,44,7.60499999999999,41,52.3352534333887,38,13.5,96,1802.2292,84,15.7634,82,0.9165,68,34.625,87.5,0.732804232804233,75,0.7885,76,0.2895,82,"DTF",2025
"L003",51.0625,82,7.96478182601051,85,7.53340930645647,71,0.0396856972584946,71,49.621875,80,0.126675404395384,35,96.1939066709909,83,97.4496202179339,77,NA,7,18.447235159912,35,1.0846556046756,0.0163963989324871,10,0.998336496204306,14,0.0551202365785862,32,0.0972750212061757,44,0.30507369970689,44,1.01117232140294,33,0.619933382844346,35,0.0896897325089143,23,0.00268141603917353,23,0.384317399164835,35,0.0972769465076139,42,0.540494977060017,46,0.332310883598461,29,0.0509029494622256,38,0.13737395364531,42,0.122902838372704,36,50.8154865417989,81,0.976745692096796,81,0.976698475652759,81,15.7196875,81,15.1579166666667,81,17.405,88,50.9348961805166,81,2.3333,24,569,27,10.4181,71,1.2865,87,15.5,26,0.18452380952381,13,0.247,15,0.0279,15,"DTF",2023
"L004",50.85,87,7.54292832316463,70,7.06233843578536,37,-0.0164003799263884,37,44.135,59,0.0375208862751533,12,96.46012004322,80,96.618098036883,85,NA,8,5.85587398539241,12,1.02261830028405,0.0253509901721444,17,0.997723907105619,17,0.023390799559985,14,0.0408526456832518,9,0.128120420088794,9,0.600698340188665,10,0.349281225799038,12,0.0697653498499387,16,0.00162240134656145,16,0.121997374695679,12,0.0433560492147286,9,0.257851401824791,10,0.254543869720211,15,0.0286166523433122,13,0.0720521579869903,15,0.069161027389842,15,50.6298942127754,87,0.972915686978431,87,0.972900778273409,87,16.886875,87,17.1008333333333,86,16.245,82.5,50.7367949143826,87,5.9167,59,275.75,10,18.0968,88,1.8065,91,9.25,4,0.107246376811594,3,0.1607,4,0.0661,37,"DTF",2026
"L005",52.2,48.5,8.11975841092825,87,8.10317057717523,98,0.103012531177062,98,53.895,93,0.334063790173053,62,97.8893218829631,60,99.360607841026,38,NA,9,47.7368564128193,62,1.12814982892715,0.126624058152911,45,0.994377929383931,39,0.135829957064514,56,0.168802520072247,70,0.529465007662658,70,1.53286003406122,53,0.997255153876747,62,0.13791967957338,47,0.00634061267120795,47,0.994517841933735,62,0.168904655060098,69,0.787052921975502,66,0.563575166685558,56,0.0862578661548944,70,0.234186392929162,70,0.210981974762241,67,51.931699629762,51,0.99829825211294,51,0.998221893821192,51,10.100625,50,9.21708333333332,40,12.75125,70.5,52.0640367399801,51,6.6667,63,1105.5625,52,12.7422,73,0.7733,58,23.875,50.5,0.536516853932584,66,0.5907,62,0.1368,59,"DTF",2023
"L006",54.7375,8,6.26335626186741,13,7.01624203052508,32,-0.02208830735006,32,35.261875,18,0.44349783731595,75,102.241146311526,10,102.495005503069,9,NA,10,63.1923110708454,75,0.903073404219477,0.435578360623621,76,0.973883688805748,81,0.173352323887193,65,0.210654325796486,78,0.660837148046885,78,2.21783830612749,79,1.14739116287455,75,0.156509608830728,63,0.00816508588544917,63,1.31650648064262,75,0.211597039076965,78,0.705252087684175,58,0.616016550944088,65,0.0927875982358969,75,0.254670776643658,77,0.242953980047168,77,54.5491490406475,8,1.04754242193994,8,1.0474105095172,8,2.0284375,9,2.52083333333333,10,0.551249999999997,8,54.6548023844038,8,12.8333,92,1834.9167,86,0.4293,9,0.1152,6,36.75,89,4.59375,100,3.9049,98,1.3509,100,"DTF",2023
"L007",53.675,19.5,5.53014399846952,2,5.90621633630804,5,-0.171678730190092,5,26.4325,3,0.744323533254682,87,99.571096533488,33,101.219769305718,19,NA,11,105.678155512656,87,0.787721724452659,0.127196810114087,46,0.988493445577424,59,0.299652262538529,84,0.256128519892865,90,0.803407991524136,90,2.51713996593879,87,1.48378847543948,87,0.206189158465145,82,0.0141713230228549,82,2.20162823984701,87,0.256705156290445,89,1.10513289289778,87,0.879759014691808,91,0.130800670240579,92,0.354109828211309,93,0.327777412254452,93,53.5273642050974,17,1.02766402751128,18,1.02745586740975,18,4.870625,21,6.09375,25,1.20125,13,53.6117515267376,17,3.4167,36.5,1627.7292,79,1.9668,33,0.2296,24,24.125,52.5,1.07222222222222,80,1.5703,87,0.1536,61,"DTF",2023
"L008",51.8625,62.5,8.04204632821117,86,7.89987767787174,92,0.0809433021972153,92,52.186875,86,0.229468120741594,48,97.479639384394,70,99.1100586602275,39,NA,12,32.964729560807,48,1.11152155597469,0.0566550323382004,27,0.996875393588466,24,0.0895820052149229,41,0.147933367636756,62,0.464039876741168,62,1.3578600340612,46,0.828712977564295,48,0.109208804665088,35,0.00397552100545911,35,0.686765199183479,48,0.147979921257462,62,0.601484413399307,51,0.442089032490045,41,0.0706707058560415,58,0.194280375318855,61,0.177286786451191,58,51.6020616241573,64,0.991915236520037,64,0.991854668134317,64,11.6565625,63,10.8604166666667,51,14.045,74.5,51.7299915159617,64,5.3333,52.5,958.3333,46,9.9947,69,0.8042,62,23.5,48,0.427272727272727,49,0.4642,49,0.0924,48,"DTF",2023
"L009",51.55,72,7.37998726806273,62,7.14363779857977,46,-0.00645857810112987,46,43.42,55,0.0685152792419949,20,97.7358825062065,63,97.8107434155447,68,NA,13,10.2332359459397,20,1.01304539553291,0.0781364842709188,36,0.995255035741797,34,0.0400616256716789,22,0.0561247860297597,25,0.176020586807797,25,0.771687712658258,22,0.461727642166251,20,0.0905724264931835,25,0.00273445481362105,25,0.213192415540405,20,0.059116731836076,23,0.341310139357807,22,0.336162691812257,30,0.0384426428945197,26,0.097317458178948,28,0.0865188656063275,24,51.330469276154,71,0.986300368598351,72,0.986283855446366,71,13.22875,73,13.3879166666666,73,12.75125,70.5,51.4397191747201,71,0.75,6.5,496.4167,24,7.9565,60,0.7826,59,12,12,0.163265306122449,10,0.2737,17,0.0106,6,"DTF",2023
"L010",54.225,16,4.98863586711811,1,5.46177008382212,2,-0.239630602556999,2,21.9525,1,1.41357028449347,100,99.5093508925003,35,100.781749768918,24,NA,14,200.196388995299,100,0.711143597833032,0.30379108821311,67,0.97005646026766,86,0.815391006197534,104,0.247701065944568,89,0.776974508043737,89,3.52761394715309,96,2.04224339981031,100,0.418768424642916,104,0.0584556644926365,104,4.17075810406875,100,0.26458921887789,92,1.29274956727516,93,1.46029641003125,103,0.16477134285725,100,0.418460489422116,97,0.387509493415454,97,54.0948259034917,16,1.03842434235028,16,1.03804469611839,16,3.668125,16,4.82041666666666,17,0.211249999999999,4,54.1730362539043,16,9.75,77,2275.2292,93,3.3102,40,0.3435,36,38.875,91,2.77678571428571,95,2.8006,92,0.661,94,"DTF",2023
