GEN,MGIDI
L001,2.469609941
L010,3.527731686
L100,2.069522496
L011,1.286826339
L012,3.203347028
L013,1.489022385
L014,1.111342257
L015,2.635008771
L016,2.125584033
L017,1.583085925
L018,2.369442993
L019,4.305742127
L002,3.040764935
L020,3.285905897
L021,2.356036726
L022,2.550727506
L023,1.895922572
L024,2.871373957
L025,3.024459206
L026,2.419302857
L027,2.013440479
L028,2.412098398
L029,1.954964647
L003,0.683816163
L030,3.263007664
L031,1.978066105
L032,4.365232919
L033,3.239650518
L034,5.237776824
L035,1.62272469
L036,3.653641345
L037,2.296798178
L038,2.700764486
L039,3.393039827
L004,3.617751152
L040,1.863176876
L041,2.005482154
L042,2.375304435
L043,1.106058037
L044,2.406158346
L045,1.592503149
L046,1.607964822
L047,2.581547334
L048,1.736720584
L049,2.206955233
L005,2.059311176
L050,0.78561694
L051,2.580535812
L052,2.300494218
L053,2.163999329
L054,2.096979216
L055,2.808807335
L056,3.400970334
L057,3.322368951
L058,4.525101491
L059,2.45577005
L006,1.03773022
L060,3.09503916
L061,2.757400213
L062,2.194224852
L063,2.326429394
L064,3.41977162
L065,1.93011333
L066,3.098644998
L067,2.712271403
L068,1.111352297
L069,1.504719905
L007,1.944273622
L070,3.207251952
L071,3.343957036
L072,2.630498155
L073,4.062714664
L074,5.233440528
L075,3.207071037
L076,2.015056564
L077,1.071156494
L078,3.606622794
L079,5.211333603
L008,1.527456017
L080,2.642911633
L081,2.351093293
L082,4.593415129
L083,1.926913105
L084,3.901163543
L085,2.367904563
L086,4.509400398
L087,3.235899693
L088,2.930357934
L089,4.307611262
L009,4.004600239
L090,2.559736488
L091,2.44930701
L092,2.165333315
L093,1.263606761
L094,1.146872348
L095,2.61819916
L096,2.431022574
L097,1.792133325
L098,1.596410225
L099,3.310447902
