"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",13.8951684397163,18,15.0934078564809,19,15.6929629221792,48,-0.0017973590195324,48,13.1954286206051,24,0.00608183455982157,20,99.4405237290959,10,100.125943791557,3,NA,1,0.904319663795655,20,0.967134324665586,-0.00284616136615175,25,0.999726730404457,10,0.00997472603393639,20,0.0444215738443683,30,0.201178662180825,30,0.233621319307015,22,0.137258853979399,20,0.0757356737121945,17,0.00191196409088,17,0.0188399929957379,20,0.0444503935999856,30,0.260180141317572,28,0.154851284627133,22,0.0409680175736119,33,0.0598011933586283,34,0.400531004837271,103,13.5900238730963,23,1.0038065754367,24,1.00373238805991,24,0.0547150722580604,14,0.0410523880107473,11,0.095703125,23,13.7695022454575,18,6.8333,67,367,10,5,6,0.4271,4,11,6.5,0.4,47,0.5309,56,0.2187,87
"CL2",13.71875,87,16.4451440982051,85,15.8335181084272,68,0.00594758989178294,68,15.26953125,86,0.0314072543440546,76,96.7760719397669,86,98.407730726019,81,NA,2,4.4810481810115,76,1.03802338103489,0.0318331064550034,81,0.99522156614438,79,0.037273087769725,65,0.126786206051597,81,0.574284969239562,81,0.503846423033916,72,0.305540783591563,76,0.12640237222995,53,0.0053258532351196,53,0.0933551704377462,76,0.126884572743367,81,0.577326564189106,78,0.250833105749795,58,0.0855090665728016,75,0.134608634787012,76,0.479703655198573,104,13.3892030885414,100,0.990954206277283,102,0.990887660225109,100,0.1641796875,87,0.0724218750000001,79,0.439453125,89,13.5677656823605,87,1.6667,17.5,1337.6667,66,76.7343,83,2.5175,94,30.5,83,0.394822006472492,44,0.4574,38,0.0241,14
"CL3",13.8125,47.5,15.1166039969627,22,15.1629713379044,17,-0.0316386282162555,17,13.0789930555556,20,0.00829023329618069,36,98.8179177704959,42,99.579520876382,8,NA,3,1.21621351609541,36,0.962776110961411,-0.00175135337218831,15,0.999556882903336,15,0.0125672515100347,24,0.0554087697565902,40,0.250951003196614,40,0.273958198739477,36,0.159178458295527,36,0.0825246566782886,22,0.00227010631995647,22,0.0253377815853409,36,0.0554343182970564,39,0.302160054442134,42,0.174233696681089,32,0.0484854278134824,42,0.0718336013652432,42,0.365055054861093,102,13.5188987036416,57,0.998568147490722,63,0.998488404285261,63,0.0819314236111112,37,0.0675752314814816,68,0.125,31,13.6873306569747,43,7.75,70,522.0833,19,23.6771,32,1.2262,39,12,8.5,0.181132075471698,9,0.3347,19,0.1311,62
"Extra",13.84375,35,14.4163520917214,5,14.6584735603605,5,-0.0610297602752774,5,11.94921875,5,0.0307219130182747,75,98.0445456932138,64,98.6675331170941,67,NA,4,4.38425689838584,75,0.920383678393344,-0.00367955830962992,32,0.999837720306595,6,0.0631201005644276,80,0.0702121519592884,54,0.317915740711178,54,0.521845748269993,74,0.302222906780803,75,0.218244142078374,85,0.0158768351838419,85,0.0913386853830378,75,0.0715551230843469,54,0.526435972200493,70,0.41561295363098,85,0.0827547875613615,73,0.111916395584925,68,0.131588544477767,81,13.5998333348136,21,1.00452933381314,22,1.00447097667557,22,0.0733593750000001,27,0.0743750000000001,83,0.0703125,15,13.7294672958443,28,15.1667,100.5,1618,75,67.3618,77,1.9899,80,31,84,0.556053811659193,75,0.6305,74,0.2745,92
"L001",13.8125,47.5,15.8351216169243,58,15.8836928755887,70,0.00869570575825253,70,14.351875,59,0.00862559173033477,37,98.8748179360593,38,99.0031000470253,49,NA,5,1.26357644571999,37,1.00786713792678,0.00807668830765855,58,0.998226600441427,57,0.0117364094505173,23,0.0617638581131587,51,0.279748341762661,51,0.272887549530535,35,0.162248295170807,37,0.0750430518281115,16,0.00187715320922554,16,0.0263245092858332,37,0.0617678861296353,49,0.309314425332674,44,0.158176253332195,26,0.0491508873939165,43,0.0747615831330536,44,0.0413251273576682,28,13.5282597895789,50,1.00041992936036,48,1.00039763593076,48,0.1040625,54,0.0570833333333334,43,0.244999999999999,63.5,13.6732415792826,50,1.0833,12.5,534.0625,20,25.9988,37,1.1888,33,14.375,14,0.238589211618257,15,0.3896,22,0.0211,12
"L002",13.8,55.5,15.765380552735,53,15.7278543963055,53,0.000131703582938238,53,14.2,50,0.00803709798083754,35,98.911707375352,33,98.6732553676866,66,NA,6,1.18046302079109,35,1.00254427549324,0.0076017249000128,56,0.998274529438412,56,0.0175191474045168,40,0.0457406825075051,32,0.207184607550378,32,0.296153576966147,41,0.156821489598251,35,0.122397391584456,49,0.00499370715555952,49,0.0245929795998144,35,0.0470034400945092,35,0.237170643383472,24,0.18960955555276,35,0.0407005845547346,32,0.0584838230768696,31,0.060353247232749,42,13.525731145094,52,0.999918340575638,53,0.999904119267835,53,0.0925,49,0.0633333333333334,58.5,0.18,45,13.6642322739233,54,4.3333,46,918.75,48,41.1756,63,1.6,61,23.75,51.5,0.429864253393665,54,0.4884,43,0.0806,47
"L003",13.7375,79,15.0489928734563,17,14.6088136750718,3,-0.0639773562962918,3,12.821875,14,0.0140288873337568,47,98.101271044279,63,98.5003464943217,77,NA,7,2.02668804017258,47,0.95306220225263,0.000925952152190199,12,0.999130381751581,28,0.0227256865374191,50,0.074154118948881,55,0.335880549205261,55,0.354917072242803,51,0.205481550275434,47,0.123361670192161,50,0.00507270055753319,50,0.0422226675035956,47,0.0747359572646086,56,0.359408744198482,50,0.244807172827147,54,0.0618697366360346,53,0.0916095915632347,55,0.0679271622660192,47,13.4970580853951,67,0.997154827094455,74,0.997123527639305,73,0.1096875,64,0.0958333333333335,98,0.15125,37.5,13.6140082621358,73,11.25,86.5,1032.0625,52,63.7879,74,2.4848,93,26.875,70,0.349025974025974,33,0.3864,21,0.1562,70
"L004",13.7375,79,16.0980946432704,73,15.6272294860351,40,-0.00544327666107482,40,14.671875,73,0.0160434120686222,54,97.9265561491487,67,97.8223501980867,90,NA,8,2.31120091811217,54,1.01843797253573,0.0170285650030812,69,0.997045001938687,68,0.0312298233407347,56,0.048268911073096,38,0.218508447111242,38,0.353154251729983,50,0.219431126158841,54,0.144703939042301,63,0.00697974332478598,63,0.0481500191273372,54,0.04844840073523,38,0.411575287583941,58,0.254974348488162,60,0.0535146902942065,48,0.0722637136727797,43,0.0365639274132975,24,13.4612449824161,79,0.995631075855188,80,0.995588898700933,80,0.1209375,73,0.0675000000000002,67,0.28125,71,13.5952256777579,79,2.25,23,1140.4167,55,78.1462,87,2.2831,88,23.5,50,0.323024054982818,26,0.4537,36,0.0324,20
"L005",13.8625,27,15.405316407035,37.5,15.7920885622438,62.5,0.00367188542546366,62.5,13.681875,37.5,0.00682547364900941,25,99.4072575999153,14.5,99.1611177256406,42.5,NA,9,1.00934438438827,25,0.9843021751922,0.00412716642689197,34.5,0.998717093598038,41.5,0.0138169245626439,31,0.0296470273375694,19,0.134189584264619,18,0.246845748270018,28,0.145010372070721,25,0.0962024347407755,31,0.00308496948335106,31,0.0210280080080889,25,0.029721866674136,18,0.273553528003509,32,0.158572026642196,27,0.032396615963745,20,0.0430527209612365,20,0.0307451622468628,18,13.5785102250822,27,1.00359221975501,27,1.00357508931671,27,0.0771875000000001,29.5,0.0525,33.5,0.15125,37.5,13.7311794041497,26.5,2.9167,28,586.8958,22.5,16.6822,17.5,0.7752,15.5,17.625,27.5,0.457792207792208,63.5,0.518,50.5,0.072,40
"L006",13.9125,10.5,15.710344235265,47,16.4573360136528,93,0.0395118163653782,93,14.331875,56,0.0998428113542788,94,97.0872314969468,77,96.1196985307877,99,NA,10,14.146254540302,94,0.997643212457483,0.14266853307693,100,0.979441957292507,98,0.165305673629568,101,0.167300042152987,90,0.757660454019564,90,0.854917072242803,94,0.542875341359588,94,0.319732660964133,101,0.0340763248290683,101,0.29471363625629,94,0.167759679772798,90,1.01304760107682,94,0.667360157952212,102,0.163130465178423,94,0.234057511409909,93,0.146031906236028,86,13.611992370199,17,1.00624265472924,15,1.00604155648656,15,0.0615624999999999,19,0.0483333333333333,19.5,0.10125,25.5,13.7769567618176,15,4,42.5,1632.75,76,77.2555,84,1.781,70,30,80,1.27659574468085,96,0.9587,90,0.1096,54
