"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",50.9810505319149,84,7.50063210200047,66,7.06688025391647,39,-0.0158419664250032,39,43.8666575400979,58,0.0641081116474158,19,96.5747398128587,79,96.8237808498776,84,NA,1,9.61080827637077,19,1.01850306278221,0.0680277493857681,30,0.995764234415426,32,0.0405214312628148,23,0.0485198785101016,17,0.152174497249742,17,0.731517258520904,19,0.447465275105136,19,0.094127313256534,29,0.00295331703363123,29,0.200225172424915,19,0.052795546639456,18,0.304961700109714,15,0.325617788752062,25,0.0353877042318471,23,0.0884495174988939,23,0.239797801716705,76,50.7546719855558,84,0.975317384615971,84,0.975295210930658,84,16.2758034003493,84,16.4026707175926,84,15.8952014486193,80,50.8683566607007,84,1.6667,19.5,478.9167,23,4.0909,44,0.8182,63,13.25,16,0.159638554216867,8,0.2283,10,0.0201,11
"CL2",53.140625,28,7.51809749411733,67,7.83613783254461,89,0.0739067014822865,89,47.8840060763889,76,0.0872592335271919,27,100.874962302079,21,101.039245862691,21,NA,2,12.8804590280637,27,1.06539693894247,0.0192514933912926,13,0.998156871708067,16,0.0518437085748815,31,0.0525751919670451,23,0.164812655271024,23,0.819448340188723,26,0.518018239464694,27,0.102807394177859,31,0.00352312009921388,31,0.268342896418101,27,0.056125892513833,21,0.446996472381053,37,0.325111081552636,23,0.0314560318717128,17,0.0739845617936428,16,0.136496430225857,41,52.89979183606,29,1.01651859903739,28,1.01650180387879,28,6.21424262152777,26,6.07030671296295,24,6.64605034722223,35,53.0230805687828,28,5.5,54.5,516.3333,25,1.3806,28,0.2323,26,14,19,0.518518518518518,64,0.7156,70,0.2,75
"CL3",53.6770833333333,18,6.48499151171118,21,6.92665184088317,24,-0.0332507133299084,24,36.3511284722222,20,0.0726783140006503,22,101.499485075638,14,101.868921141014,13,NA,3,10.8211845472409,22,0.92896289907534,-0.0184006139771909,12,0.999643693273438,5,0.0413264414044775,24,0.0563630832946039,26,0.176736826699014,26,0.737973299271944,20,0.474806639311377,22,0.0901617585295762,24,0.0027097142337152,24,0.225441344734164,22,0.0588273283988289,22,0.392585003302654,31,0.33625154309322,31,0.038230555354935,25,0.0960196686106608,27,0.218502059784736,69,53.4913562630955,18,1.02731507382587,19,1.02727833709237,19,4.63363281249999,19,5.18794270833332,19,2.970703125,19,53.5889744423228,19,4.3333,44,524.9167,26,0.7551,16,0.1516,15,16.25,29,0.8125,78,1.0307,78,0.2251,80
"Extra",51.078125,81,7.69054931925657,75,7.27944918070967,59,0.00989960576001572,59,46.2919921875,73,0.0350128191699331,10,96.7646091575925,77,97.7826136097999,69,NA,4,5.50165773883815,10,1.04831843860041,-0.0167221297977192,11,0.999647690255234,4,0.0191469171776888,12,0.0512296646695022,22,0.160702724965399,22,0.564110034061225,8,0.338552609736102,10,0.0600847923114413,12,0.00120339408903634,12,0.114617869559126,10,0.0526125556130441,16,0.216650397748435,6,0.230773384098339,14,0.0289777612778504,14,0.0759094535213623,18,0.0435612404383247,4,50.8484603428006,80,0.977214981932678,80,0.977194552576064,80,15.65580078125,80,15.483125,83,16.173828125,81,50.959315315332,80,0.6667,5,324.9167,14,0.2609,4,0.1739,19.5,11.75,10.5,0.144171779141104,5,0.1904,7,0.0081,4.5
"L001",55.625,3,6.49869612940944,23,7.57057231160938,73,0.04395999288377,73,39.2025,31,0.522039135359669,79,103.838095014082,3,103.718568165025,4,NA,5,74.2847590099417,79,0.947121057592799,0.690051815273703,89,0.963526381988505,89,0.214467742403551,75,0.222053033523232,82,0.696597418565259,82,2.46783830612743,83,1.24402537998244,79,0.181203312081548,73,0.0109448801031076,73,1.54759914604046,79,0.223849192753809,83,0.752760659514568,62,0.697844375536836,76,0.100283270372195,80,0.272800800584502,80,0.258415527720866,81,55.418384717277,3,1.06433051227038,3,1.06419042774816,3,0.658125,2,0.857083333333332,2,0.0612500000000005,3,55.5347155767348,3,14.9167,101,2148.5625,91,0.0073,1,0.0147,1,39.625,93,13.2083333333333,103,14.5973,104,5.4242,104
"L002",52.4375,38,7.06991083837341,39,7.13387238393636,43,-0.00764675903751459,43,41.231875,41,0.480136194350932,77,98.2202795605904,54,97.6706552728037,72,NA,6,68.3667744182466,77,0.972682204516249,0.671565347116006,87,0.966218269875427,88,0.336572022033651,88,0.0646786617837329,29,0.202758104916961,29,2.07761394715309,75,1.19344367289795,77,0.285340552236667,99,0.0271397435835753,99,1.42430780038015,77,0.0938645567597735,38,0.745577526672347,61,0.762693624703447,83,0.0632207068007913,49,0.142055042073338,43,0.133949046321605,39,52.2279632594906,39,1.00338372837977,38,1.00329302916988,38,9.09218749999999,40,9.58791666666666,44,7.60499999999999,41,52.3352534333887,38,13.5,96,1802.2292,84,15.7634,82,0.9165,68,34.625,87.5,0.732804232804233,75,0.7885,76,0.2895,82
"L003",51.0625,82,7.96478182601051,85,7.53340930645647,71,0.0396856972584946,71,49.621875,80,0.126675404395384,35,96.1939066709909,83,97.4496202179339,77,NA,7,18.447235159912,35,1.0846556046756,0.0163963989324871,10,0.998336496204306,14,0.0551202365785862,32,0.0972750212061757,44,0.30507369970689,44,1.01117232140294,33,0.619933382844346,35,0.0896897325089143,23,0.00268141603917353,23,0.384317399164835,35,0.0972769465076139,42,0.540494977060017,46,0.332310883598461,29,0.0509029494622256,38,0.13737395364531,42,0.122902838372704,36,50.8154865417989,81,0.976745692096796,81,0.976698475652759,81,15.7196875,81,15.1579166666667,81,17.405,88,50.9348961805166,81,2.3333,24,569,27,10.4181,71,1.2865,87,15.5,26,0.18452380952381,13,0.247,15,0.0279,15
"L004",50.85,87,7.54292832316463,70,7.06233843578536,37,-0.0164003799263884,37,44.135,59,0.0375208862751533,12,96.46012004322,80,96.618098036883,85,NA,8,5.85587398539241,12,1.02261830028405,0.0253509901721444,17,0.997723907105619,17,0.023390799559985,14,0.0408526456832518,9,0.128120420088794,9,0.600698340188665,10,0.349281225799038,12,0.0697653498499387,16,0.00162240134656145,16,0.121997374695679,12,0.0433560492147286,9,0.257851401824791,10,0.254543869720211,15,0.0286166523433122,13,0.0720521579869903,15,0.069161027389842,15,50.6298942127754,87,0.972915686978431,87,0.972900778273409,87,16.886875,87,17.1008333333333,86,16.245,82.5,50.7367949143826,87,5.9167,59,275.75,10,18.0968,88,1.8065,91,9.25,4,0.107246376811594,3,0.1607,4,0.0661,37
"L005",52.2,48.5,8.11975841092825,87,8.10317057717523,98,0.103012531177062,98,53.895,93,0.334063790173053,62,97.8893218829631,60,99.360607841026,38,NA,9,47.7368564128193,62,1.12814982892715,0.126624058152911,45,0.994377929383931,39,0.135829957064514,56,0.168802520072247,70,0.529465007662658,70,1.53286003406122,53,0.997255153876747,62,0.13791967957338,47,0.00634061267120795,47,0.994517841933735,62,0.168904655060098,69,0.787052921975502,66,0.563575166685558,56,0.0862578661548944,70,0.234186392929162,70,0.210981974762241,67,51.931699629762,51,0.99829825211294,51,0.998221893821192,51,10.100625,50,9.21708333333332,40,12.75125,70.5,52.0640367399801,51,6.6667,63,1105.5625,52,12.7422,73,0.7733,58,23.875,50.5,0.536516853932584,66,0.5907,62,0.1368,59
"L006",54.7375,8,6.26335626186741,13,7.01624203052508,32,-0.02208830735006,32,35.261875,18,0.44349783731595,75,102.241146311526,10,102.495005503069,9,NA,10,63.1923110708454,75,0.903073404219477,0.435578360623621,76,0.973883688805748,81,0.173352323887193,65,0.210654325796486,78,0.660837148046885,78,2.21783830612749,79,1.14739116287455,75,0.156509608830728,63,0.00816508588544917,63,1.31650648064262,75,0.211597039076965,78,0.705252087684175,58,0.616016550944088,65,0.0927875982358969,75,0.254670776643658,77,0.242953980047168,77,54.5491490406475,8,1.04754242193994,8,1.0474105095172,8,2.0284375,9,2.52083333333333,10,0.551249999999997,8,54.6548023844038,8,12.8333,92,1834.9167,86,0.4293,9,0.1152,6,36.75,89,4.59375,100,3.9049,98,1.3509,100
