"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",NA,43,NA,43,7.32505920678349,60,0.0432204554817175,60,NA,43,0.261049448029234,29,96.7675710858057,83,NA,1,96.238115644291,91,38.0229501840982,29,-1.60349025843908,2595.81555521632,64,0.997103635690624,38,0.0973506563398164,30,0.0920968765863981,31,0.293977062044464,31,1.60940667534339,31,0.900224930606214,28,0.111483293180207,32,0.00414284155276798,32,0.810404925684963,28,0.101037407487221,29,0.411879161605568,26,0.51161699500899,34,0.0520528176224522,33,0.1596614079307,30,0.339756379838418,95,85.655718387203,86,0.982040224305154,85,0.982019775692372,85,16.7367521649649,86,13.1328125,74,18.5387219974473,84,28.181559019712,86,6.3333,95,460.3333,79,10.6,17,0.9333,24.5,13.25,10,0.175496688741722,6,0.1961,3,0.0451,7
"CL2",91.71875,11,6.82934803558899,12,6.80678417255352,45,-0.0205178625149134,45,117.705295138889,12,0.46874583417207,48,99.5823921560682,25,NA,2,102.363127190084,8,67.3560705655264,48,4.0377096618868,-1281.45933271491,12,0.992839459716682,67,0.121597522394738,39,0.141099130623115,50,0.450486381205328,50,1.89345645611201,46,1.10148195739712,43,0.11163025274441,33,0.0041537711092603,33,1.21326250247139,43,0.141691432567622,46,0.602351060931114,51,0.556172991853766,42,0.0657892311671442,48,0.209111219931301,49,0.0646194645129152,7,91.3642522052934,12,1.01682184706864,19,1.01669905871644,19,2.07615017361111,12,2.53125,17,2.19223090277778,17,91.5567530240128,11,2.1667,44.5,97.6667,14,47.4717,65,1.4195,57,13.5,12,0.75,81,1.0266,91,0.4327,96
"CL3",90.765625,24,7.77748244110141,23,7.75923556053614,74,0.0932360501886306,74,149.500325520833,24,0.33755779068159,36,99.07353107939,33,NA,3,99.2699766434682,46,48.8282822695089,36,4.10550247710816,-1310.94185632852,24,0.986166882001727,81,0.11493467666779,37,0.0982288061242281,34,0.313590290626299,34,1.85979238082634,43,0.978085027086976,33,0.12071215792921,42,0.0048571416906422,42,0.95665032021173,33,0.107270181754821,32,0.467685074632595,34,0.572498667899852,46,0.0579556285038126,38,0.177010489880254,39,0.352450854771739,99,90.3481412405606,25,1.00593528531002,41,1.00588822305971,41,4.86526692708333,33,3.50021701388888,26,6.98042534722222,42,90.5566224102207,24,2.3333,50.5,87,12,52.3543,71,1.6054,62,16.5,26.5,0.532258064516129,64,0.7163,65,0.237,70
"Extra",88.8125,41,9.67997285379382,42,9.67659889363886,104,0.285043655610644,104,221.7265625,42,3.19173347711668,102,95.488244619236,97,NA,4,96.3543011520042,90,451.925709984457,102,4.24436841928384,-1370.1436716624,40,0.997346068638797,36,0.946344383429862,102,0.428697781200307,102,1.36848687148262,102,5.9398768772207,103,3.14111616291939,102,0.305252329271312,100,0.0310596615085204,100,9.86661074895346,102,0.430745293248275,102,1.6333659825068,100,1.56114143709319,103,0.189402108706455,102,0.607893871051339,102,0.229452559736526,70,88.1590398843118,50,0.98242042661319,83,0.982334002179909,83,14.5865234375,79,9.298828125,60,23.9611328125,93,88.4993463387865,41,0.8333,18.5,424.9167,73,37.1158,55,2.1921,81,33.25,103,0.431818181818182,53,0.606,56,0.1657,53.5
"L001",NA,44,NA,44,5.69172541662594,11,-0.17591394232079,11,NA,44,0.72707653757442,65,99.9959389562154,16,NA,5,101.99011352012,15,103.840314522997,65,-1.7689667406031,2754.41921152952,97,0.977662426016853,94,0.242918712024751,64,0.170817280853742,61,0.545272619440804,61,2.34686998354293,59,1.4766808540932,63,0.169691558235986,68,0.00959840831218563,68,2.18058634484543,63,0.1796159153725,61,0.71230007578253,61,0.840307525902358,75,0.0897495275844232,71,0.278930202020421,69,0.253638345558924,77,88.9462951928793,42,1.01933316124025,14,1.01929868723818,14,3.30541666666667,19,5.44499999999999,39.5,2.23562500000001,19,29.0094761064176,48,0.4167,11,796.2292,98,21.5294,36,0.9741,30,19.125,39,0.627049180327869,69,0.741,68,0.0852,22
"L002",NA,45,NA,45,6.0583669139391,21,-0.121690679112907,21,NA,45,0.258012465748963,28,97.8129945363321,61,NA,6,98.9759249606405,48,37.5940348405655,28,-1.68998636932205,2596.07733493002,65,0.995575687980331,50,0.0777755066151199,24,0.122825785949647,43,0.392030799970712,43,1.58345737642651,28,0.893946050340042,26,0.0893850206184897,21,0.00266322730365594,21,0.799139540918562,26,0.124956452225048,40,0.428045411681662,29,0.438213805363359,28,0.0516853453129632,32,0.165635890040855,33,0.156302442271758,47,86.2792669565755,76,0.988867642263659,71,0.98886053135524,71,13.44375,75,15.96125,85.5,12.185,66,28.3294498823001,77,1.3333,25.5,483.5833,82,11.2177,18,0.9388,26,15,19,0.235294117647059,16,0.2373,9,0.0181,2
"L003",90.7375,25,6.78210371437128,11,6.76638492832465,43,-0.0256884223222311,43,113.611875,11,0.832023967669156,68,98.5074360607757,45,NA,7,100.195888957308,27,118.662120804062,68,3.99109696999504,-1252.74219685895,8,0.998276515236389,28,0.214623279355601,60,0.230753607320483,77,0.736499632319529,77,2.5351231227792,67,1.55479681507662,68,0.139044235508436,53,0.00644443314270851,53,2.41739313617241,68,0.231323121759472,77,0.756692161880356,66,0.632829415290814,55,0.0833938040750657,68,0.274637415967029,68,0.25628180730662,79,90.489069168453,22,1.00727886282686,37,1.00723978849287,37,4.73625000000001,31,8.82000000000001,58,4.0625,23,90.5810595384735,23,2.1667,44.5,176.6667,26,54.5412,73,1.753,72,22,54.5,0.624113475177305,68,0.728,66,0.33,87
"L004",89.3375,37,7.90000198537175,25,7.89296959614374,81,0.108079036591858,81,149.431875,23,1.23377991029621,79,97.4891419113846,71,NA,8,98.9510497153362,49,175.402421624306,79,4.05490104577327,-1277.03232680647,11,0.985500256981707,84,0.429326734458426,87,0.213086477742211,76,0.680622337369366,76,3.0890119573602,78,1.97274859553475,84,0.219132031997895,88,0.0160062824825089,88,3.89173702118434,84,0.21555845571306,75,1.1551402351314,93,0.986171975038935,82,0.105156057878493,79,0.322731573484448,79,0.249962763331491,74,88.7736376691483,43,0.988398666643617,73,0.988381828902127,73,10.79625,63,18.605,96,11.29,58,89.1289778905368,37,5.3333,86,198,33,45.2727,64,2.5455,88,25,82.5,0.416666666666667,50,0.5682,54,0.2527,72
"L005",91.15,17,7.61182599688696,20,7.59101748564677,71,0.0741981604129976,71,144.415,20,0.575918302890688,53,99.1279194721581,31,NA,9,101.111359209414,20,82.4921207630401,53,4.09930840984247,-1309.30688942966,23,0.977826744192797,93,0.165609923920378,52,0.148284559199768,53,0.473540192084124,53,2.08598804263977,53,1.25608153844695,51,0.132762235068822,51,0.00587527035348969,51,1.57774083122726,51,0.148693919187196,50,0.724055878963116,63,0.609218002770298,51,0.0701290735256992,52,0.220402190390194,54,0.172313419315058,49,90.8935936469747,16,1.01206170818568,24,1.01203295191558,24,3.62531250000001,21,1.445,10,5.52812500000002,32,90.9495290326732,17,4.8333,75,177.5833,27,62.1382,77,1.6423,63,20.75,48.5,0.633587786259542,70,0.8506,79,0.1964,61
"L006",91.9875,7,6.86704832220163,13,6.84251873559819,48,-0.0159698327420951,48,119.706875,13,0.323026119065439,33,100.098109767889,12,NA,10,102.025903065913,14,46.7759631089491,33,4.05667164491974,-1293.0754485026,18,0.999038844910483,22,0.0768353248138278,23,0.138088962548801,48,0.440748970220872,48,1.73512312277915,36,0.931437912988396,30,0.0828341093271796,17,0.00228716322267571,17,0.867576585752179,30,0.138181362631635,44,0.459816979482863,33,0.375304176558519,19,0.0504622386122458,30,0.166632315195553,34,0.137131986115027,41,91.5863439030619,8,1.01939586605546,13,1.01932570282443,13,1.61875,9,2.64499999999999,18,1.66500000000001,12,91.8239625180977,6,0.5,12.5,43.3333,6,32.7057,51,1.1438,41,15.5,21.5,1.03333333333333,92,1.57,99,0.6667,99
