"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",24.636524822695,54,3.48692532259711,72,3.47442703506867,74,0.185948968414698,74,2.21393793536385,71,0.121614365999423,52,97.5252306237068,58,97.2226532869658,71,96.7944386515245,60,17.4449611855239,52,1.18979754587253,0.148031146782082,78,0.857666479096598,59,0.0939863320843473,53,0.0897273086830616,45,0.248477693595301,45,1.20438055603414,59,0.60285710692087,52,0.162649192961997,65,0.00881825332372968,65,0.363436691365002,52,0.0931390866033061,47,0.655571656081525,63,0.509386433962859,66,0.0710350192892731,55,0.149908047394917,53,0.20999530371325,82,24.6145920007165,54,0.998548339819601,54,0.998416481175622,54,3.29540702558406,55,2.41628042052576,54,4.17453363064236,55,24.6252370914699,54,10,80,1288,58,14.9505,71,1.0693,68,31,80.5,0.574074074074074,66,0.5703,52,0.1835,75
"CL2",24.7955729166667,47,4.28003211750648,90,4.40014731550953,91,0.391117010588226,91,3.37880871310764,93,0.165388279450604,60,97.8119980935753,53,99.5122235198712,38,98.3224681686539,47,23.6271846544668,60,1.57600729258029,0.0140716001674371,25,0.986031026856036,13,0.112289940639943,64,0.122916488639169,62,0.340307038425226,62,1.20033950580734,58,0.701593196685042,60,0.166711284637243,66,0.00926421747513323,66,0.492233013634736,60,0.124760147533517,62,0.724289238333275,69,0.577530855688616,77,0.0895101115574052,75,0.194577900402286,73,0.171092381626093,65,24.7623630728209,50,1.00478043183269,47,1.00460435297609,47,2.99968063346354,51,1.52377998003472,29,4.47558128689236,58,24.778558308133,47,1.5,17,1363,60,20.5,79,1.0333,66,29,70.5,0.58,67,0.7105,67,0.0333,19
"CL3",25.1702604166667,27,2.36346719485261,29,2.61348256964419,38,-0.0613782070274127,38,1.06168536241319,29,0.405329067735837,94,97.8044963482913,54,96.6815639881276,76,101.753547263381,20,57.5142067538204,94,0.449107744825598,0.386042749794681,93,0.254825567503424,99,0.266945501757654,95,0.210701591429591,94,0.583130903508441,94,1.78549382752607,90,1.09462899683168,94,0.259008933552459,97,0.0223618758866607,97,1.19821264070472,94,0.214157121673554,96,0.677394444137708,66,0.770666704631139,96,0.120363652942632,88,0.265851046333568,89,0.286438032911052,96,25.1586221256047,27,1.02051813483867,27,1.02007701703754,27,2.0547848500434,27,2.29219361501736,50,1.81737608506944,14,25.1649925182093,27,4,44.5,1706.25,88,33.4221,96,1.1419,69,31.25,82.5,1.35869565217391,90,1.0923,85,0.1221,58
"Extra",24.7853125,48,3.32101989106567,67,3.40736184393476,70,0.169019088671874,70,2.032605078125,67,0.404150947483461,93,96.2226088757016,69,98.2107192208666,60,95.3183102817605,70,57.3478199243412,93,0.812322386374946,0.564222608638995,99,0.435453292198862,95,0.224539067345733,90,0.22768170394934,97,0.630205196173049,97,1.86335032132039,92,1.09304448602231,93,0.206350181362729,81,0.0141934657828104,81,1.19474624842378,93,0.227723896095488,97,0.9251042746225,82,0.683868602381981,88,0.132143801686339,95,0.301924099234195,96,0.263895855909707,92,24.7654501933796,48,1.00471884980983,48,1.00435346754449,49,2.96536430859375,49,2.656383578125,61,3.2743450390625,41,24.7748994814043,48,13.6667,96,1668.6667,84,30.6786,93,1.25,73.5,25.5,61.5,0.443478260869565,48,0.722,71,0.2789,89
"L001",25.46525,16,3.68498517785759,77,4.31214944536675,89,0.373570184457626,89,2.64173125,82,0.0856926072973691,36,101.388517626059,14,101.899566214633,14,101.456333020713,26,12.3717035719043,36,1.38866121051941,0.0180347750190582,29,0.979133063639521,22,0.0650476472211917,41,0.0780142655399819,33,0.216035381809931,33,0.804805943933586,33,0.507684768744024,36,0.133659832783809,44,0.00595498363326524,44,0.257743824414673,36,0.0805017387061752,35,0.555557022581715,48,0.427380549873022,50,0.0608084187007848,43,0.129035154385227,43,0.117565597714812,40,25.43502181558,17,1.0318274501763,16,1.03175970388151,16,1.58927240625,17,0.730053249999998,13,2.44849156249999,25,25.4522843084829,16,2.6667,32,835,37,4.0838,29,0.3832,22,17.5,28.5,0.853658536585366,80,1.164,86,0.124,59
"L002",23.874125,87,3.40178959630098,68,2.90945788942081,53,0.0318067285174863,53,1.9787506875,64,0.026713774668276,15,95.5284591898786,73,95.8765476710704,86,95.4267855343488,69,4.04207767136377,15,1.20621381882101,0.00405774201013759,5,0.986268723983858,10,0.0222970258610875,18,0.0410910629916402,15,0.113805972971389,15,0.45405594393359,15,0.290189509608369,15,0.0799555253409428,21,0.00213096201084872,21,0.0842099514867456,15,0.0429382375776453,13,0.325320072641905,25,0.239962092301366,18,0.032292723897442,14,0.0673323079328764,15,0.0646012049572957,15,23.8602760250317,87,0.967873329328843,87,0.967838516710897,87,5.4483973125,87,4.0587543125,88,6.83804031249999,88,23.8637506224994,87,2.3333,26,382,14,2.5062,19,0.642,42,12.5,9.5,0.148809523809524,3,0.1997,6,0.0275,17
"L003",25.283375,23,2.53756295671985,35,2.8678015819396,49,0.0192807770054248,49,1.2348806875,37,0.0242174747978246,14,101.386190984573,15,101.333898675668,17,101.687956278667,23,3.68952332042908,14,0.931664844426721,0.0257730755230431,32,0.942827319595836,37,0.0159831849216213,14,0.0552945488264094,22,0.153040284621029,22,0.434531265253974,14,0.277245503436227,14,0.0603163204265019,13,0.00121268616993082,13,0.076865069175607,14,0.0557874628299768,20,0.200213354412058,10,0.204698777872485,13,0.0338731918439295,18,0.0753784510996493,18,0.0691992036246608,18,25.2663848320252,23,1.02472915089489,23,1.02470297764029,23,1.788305125,22,1.303765,23,2.27284525,20,25.277240538115,23,5.3333,50.5,450.9167,18,0.6584,9,0.1739,11,15.25,18.5,0.622448979591837,72,0.7506,72,0.2177,80
"L004",23.244,101,7.2905880857197,104,5.47546933993974,103,0.581025279969662,103,8.6152545,104,1.65100130154999,104,85.5243920524536,104,96.8914758695647,74,80.543625338799,104,233.441454544813,104,1.89856437196143,1.88064460602673,103,0.561203386401314,88,0.891739378693149,104,0.475842865014844,104,1.31695375140079,104,3.75727467867961,104,2.20530352476712,104,0.407299808126944,103,0.055297711233415,103,4.86336363635027,104,0.476182406691524,104,1.4661000371105,102,1.27784255083433,103,0.246976626041707,103,0.567764783589354,103,0.530348162018781,103,23.174847044578,101,0.942181769730328,101,0.940379508945699,101,8.40692328124999,102,3.8536015625,85,12.960245,103,23.1967144842115,101,13.1667,93.5,2363.3333,100,18.8182,78,1.9636,93,31.5,84,0.353932584269663,39,0.4614,42,0.1443,65
"L005",24.53225,58,1.69203340454629,14,1.65157675027393,10,-0.460019901836618,10,0.516908750000001,14,0.344042245026342,86,95.5795107424546,72,95.1170289172586,90,97.8665654314335,52,48.8586216388567,86,0.313253720108392,0.183115468975395,84,0.254633964336268,100,0.25200124795412,92,0.158966323053873,80,0.440193304124989,80,1.57936882752606,84,1.00890433184198,86,0.260516678985217,98,0.0226229800098288,98,1.01788795080952,86,0.163367429746606,80,1.10388030235482,93,0.84688561327089,98,0.122476081268884,90,0.261071648105056,88,0.241277509267622,88,24.528206386002,58,0.994802534658407,58,0.994472518832188,58,3.44213690625,57,3.6378233125,81,3.2464505,40,24.5296399623046,58,7.1667,60.5,1672.6667,85,43.5163,100,1.4851,84,29.5,74,0.489626556016597,56,0.6016,57,0.1217,57
"L006",25.149375,28,2.84672700211339,51,3.13519167018118,62,0.096710770260423,62,1.5376846875,52,0.310967709883806,84,98.2515826283916,46,96.8059539715818,75,100.192953603621,35,44.1874795987269,84,0.730036310222769,0.401880035939025,94,0.464899815674797,94,0.223765642611738,89,0.170893955318844,81,0.472968284791745,81,1.48953126525398,81,0.959464690147661,84,0.248407733624239,95,0.0205688007081103,95,0.920572491640147,84,0.175629135626826,84,0.615796757229085,59,0.735043035415686,92,0.108566150923499,85,0.236156455945582,85,0.218811219421891,85,25.1316157448703,28,1.01943429380407,28,1.01913971353808,28,2.1235209375,30,2.0592918125,45,2.18775006249999,18,25.1417352071154,28,7.6667,64,1592.9167,76,20.6479,80,0.9014,61,29.75,75,1.00847457627119,86,1.0166,83,0.2255,83
