"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",NA,43,NA,43,9.34976412770363,54,0.0450388851608394,54,NA,43,0.224093349655493,13,96.4398562776098,37,NA,1,96.3630233165873,53,33.4196649308946,13,-1.21043083248813,458.516550950605,79,0.986918492164453,29,0.0539686488948027,12,0.098782315977691,31,0.299516670471715,31,1.20775862907056,10,0.83461778447398,13,0.0648242079576386,10,0.00140072597911172,10,0.696586846160255,13,0.0987935480889139,23,0.328679844088755,14,0.324903494860416,10,0.0367865661666602,16,0.131102547070576,19,0.239239932310974,63,35.7372445208436,70,0.991724670265653,58,0.991621707381231,58,12.7997177398228,63,6.28646701388889,41,16.0563431027897,64,14.6397167959571,70,6.5,89,334.25,36,7.625,7,0.6667,10,10.5,4.5,0.205882352941176,11,0.2228,8,0.0638,21
"CL2",38.203125,23,6.63488684071349,4,6.84548267303892,22,-0.225754273367893,22,19.2746310763889,3,2.07792514377609,86,93.9382602222545,67,NA,2,103.741200497321,9,295.237755239001,86,3.09766287015002,-231.517001533017,3,0.895379750272105,83,0.47452022515145,81,0.25626198862031,87,0.776865829769991,87,3.99790056764434,82,2.39089906758741,82,0.199583403786792,77,0.0132778450223739,77,5.71639835139035,82,0.259594704830038,84,0.985719694209612,90,1.12416836218913,83,0.115977352981406,87,0.402295286513785,87,0.0575778787775027,3,38.0487309111515,22,1.01344262722893,36,1.01189352830967,38,8.26922960069444,33,4.63855034722222,30,6.19140625,22,38.139638533304,22,4.8333,71,624.6667,62,72.2556,87,1.8697,68,11.5,7,0.442307692307692,51,0.4584,43,0.1956,70
"CL3",37.171875,37,11.4057195965296,30,11.514084873788,85,0.225896428464435,85,53.9256727430556,29,0.706407873495658,49,94.8373348222458,58,NA,3,92.3468040078913,78,101.537316144015,49,3.45284807579383,-272.624007963753,22,0.972366353229702,47,0.188943210268464,47,0.158085363220837,56,0.479380722688955,56,2.53323527177805,50,1.50192050704248,49,0.127778696630696,47,0.00544246510421317,47,2.25576520947473,49,0.167864571758447,53,0.545444501896011,47,0.6114230331654,46,0.0619778760581904,46,0.215330985125625,48,0.31737153629225,79,36.8425695481595,43,0.983548708636889,68,0.98332513590204,68,13.3067296006944,65,7.76836805555554,53,18.7292751736111,75,36.9919401011883,36,1.3333,19,203,19,30.0269,42,1.7921,65,24,52,0.440366972477064,50,0.5825,57,0.1648,60
"Extra",37.515625,31,14.0320484545104,41,14.2695829414782,103,0.412260135835835,103,83.1357421875,40,2.48709005361097,92,93.0978435879786,69,NA,4,94.910937470177,63,353.024430197185,92,3.73063119147173,-308.133693800696,39,0.996210106222045,10,0.607406061421328,91,0.323973410028998,99,0.982293044323771,99,5.35853273668215,100,2.78234070566416,94,0.219111513233408,88,0.0160032850771446,88,7.74141980239572,94,0.324862889707232,99,1.10263381403407,95,1.18016151229077,90,0.12916052946345,97,0.456172662186618,97,0.22994327895955,57,36.9691862080741,39,0.988549715579795,62,0.988099680945904,62,12.16443359375,56,4.766328125,31,20.383203125,80,37.240320642882,32,2.5,35,612.25,61,44.3264,59,1.8071,67,36.25,100.5,0.683962264150943,75,0.7878,75,0.1547,54
"L001",NA,44,NA,44,6.29999400666492,12,-0.297882151830201,12,NA,44,0.79631452123643,51,91.5434489731917,81,NA,5,91.2469561700987,84,114.234901163399,51,-1.306924315695,417.18669058561,53,0.892550759674608,84,0.249261394235518,56,0.0763793231469321,21,0.231527731768948,21,2.63603017910147,53,1.55870844543748,51,0.160746731117925,59,0.00861317052169949,59,2.42957201787813,51,0.124912030461603,41,0.546395011531522,48,0.739464371786575,58,0.063178462353783,47,0.206586508311297,45,0.155181160353044,32,34.8078265554574,86,0.965012023779968,82,0.964760088822138,82,18.9045833333333,85,17.70125,100,19.50625,76,14.3231039783859,86,1,14.5,707.5625,66,42.0309,56,2.1893,79,14.625,11,0.212727272727273,13,0.2935,15,0.0261,10
"L002",NA,45,NA,45,4.41213224171944,3,-0.607265382899081,3,NA,45,1.29479309785226,64,90.8662235303454,84,NA,6,95.1770150245234,60,184.635413983912,64,-1.37763581971804,411.494222031021,47,0.979195291920915,38,0.355437158059292,65,0.17395355246541,59,0.527498895278718,59,3.28159686623237,63,1.97654039706515,63,0.182802674145962,70,0.0111389392249716,70,3.90671194123046,63,0.200175784199762,65,0.698136019698039,58,0.863879004971221,65,0.0823509735641201,62,0.28068075692754,61,0.307319812021824,77,34.9061343326319,83,0.967301598563261,80,0.966939896982566,80,18.17875,83,22.11125,103,16.2125,65,14.3513758859041,84,3.8333,59,1232.9167,89,43.8636,58,1.8788,71,24.5,57,0.392,41,0.425,35,0.0928,35
"L003",39.7125,6,8.31504997602076,12,8.84781809507285,47,-0.00289005390265311,47,32.711875,15,1.53279259487176,70,99.0643074693561,13,NA,7,103.700721836513,10,218.248266024512,70,3.37790357226688,-270.374106240179,21,0.914431802827615,81,0.357503350752336,67,0.250110632266859,83,0.758340998672172,83,3.17065002900666,59,2.13823826310347,72,0.167724194182153,63,0.00937713510468418,63,4.57206286979974,72,0.250430819401959,79,0.847953926820295,72,0.882690652041234,67,0.0976741962377101,74,0.345952740935387,75,0.32051158292111,82,39.4438865646603,6,1.05137905421929,9,1.0508958437484,8,2.9625,6,5.44499999999999,36,2.2025,6,39.6107839101329,7,2.8333,43.5,856.6667,75,34.1946,45,1.1946,37,32,93,3.65714285714286,100,2.1952,99,0.8778,101
"L004",38.5125,20,10.3647809295228,27,10.7626707486622,80,0.167277684678839,80,47.801875,28,1.4058929871169,66,97.8914272489764,21,NA,8,101.642660789287,19,200.326136806213,66,3.46947474356454,-278.576464869121,27,0.943500835683346,67,0.427654306028281,73,0.156385708362592,54,0.473924787276302,54,3.31846863411809,66,2.1105321264606,70,0.203881996880368,83,0.0138559562173088,83,4.45434585682229,70,0.185612699459736,58,0.839952835859635,71,1.0150718532771,77,0.089578060930554,68,0.295199768895198,67,0.231159890976317,58,37.965725178472,25,1.01209426868705,38,1.01190562336989,37,7.19249999999999,28,10.125,65.5,8.32249999999999,30,38.3628584180076,20,4.6667,67.5,175.5833,14,25.8474,35,1.3274,44,24.25,54.5,0.801652892561983,79,1.0044,88,0.4494,95
"L005",39,12,9.578561971463,23,10.046399902846,66,0.107458498600544,66,41.865,25,0.126668065404061,7,100.48576568149,7,NA,9,101.471776968527,21,19.6602170935365,7,3.45897281734401,-279.717519611213,29,0.979606816161788,36,0.0399761799969337,7,0.0113802750903672,2,0.0344971240231582,2,1.13153136588191,7,0.611195396506292,6,0.0654614507502414,12,0.00142840051144209,12,0.373559812710483,6,0.0443678727887249,4,0.202634509788241,4,0.239880267762831,4,0.0186558984011243,2,0.0589139368667659,2,0.0884318061994818,9,38.6572658305899,13,1.03072633545993,20,1.03056236373878,19,4.98656249999999,17,2.41999999999999,12.5,6.51312499999999,25,38.8653502591327,12,2.3333,32.5,96.0625,3,40.7754,55,1.2899,42,16.875,21,0.876623376623377,85,1.1745,94,0.3902,91
"L006",37.3583333333333,33,9.55103417997141,22,9.68027202066625,56,0.0752126983319794,56,38.1941666666667,18,0.0787801144527395,5,96.6567781229505,36,NA,10,97.3927815965147,41,12.8969649437945,5,3.31485288433612,-257.035068715463,14,0.988735774643585,26,0.0214715300258824,3,0.0375995159140071,8,0.113944669613154,8,0.84780250608921,3,0.4767939409328,3,0.0453060793193782,4,0.000684213607764595,4,0.227332462110231,3,0.04287126306106,3,0.193792093375579,3,0.228032740463084,3,0.0203842948395748,4,0.0674485026415252,4,0.0614215448092507,4,37.2215776544452,37,0.992798819017683,57,0.992768642077367,57,11.7050347222222,51,8,57,13.965625,52,37.2311784231259,33,1.6667,23,51.5833,1,34.1086,44,1.5596,56,16.25,16.5,0.314009661835749,28,0.4755,44,0.1782,65
