"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",1102.59553413121,17,44.4574661323603,29,47.4034881890059,40,-0.0256690283418272,40,720847.050148459,59,2418.23395037128,19,104.369972200734,14,102.964658915084,28,122.470088285278,8,355474.936693952,19,1.04593309802285,2283.17644920323,54,0.991638834664239,50,7.14831346508307,19,1.14217117301894,28,4.48376186528235,28,137.541847500228,17,86.0565386695908,19,0.0869296041915523,17,0.00251891869496665,17,7405.72784779077,19,1.14381998420721,28,7.71698387799957,28,4.34951342136925,24,0.0470859661799964,29,1.59918762374629,28,2.00247642529852,43,948.56947166513,16,1.16864850530922,16,1.16504814789856,14,23337.6971925032,15,33853.7224736111,24,12821.6719113953,15,1021.99353050318,16,8,75,387,14,2.3293,14,0.284,10,13,12,0.666666666666667,72,0.7657,70,0.3596,90
"CL2",811.154166666667,85,66.0585356789723,101,61.7040470731072,101,0.203337670121305,101,861362.471883681,80,5042.07611023602,39,49.9172333957068,99,84.7947428856973,71,55.4521904538812,98,726042.18327168,39,1.14754949071742,-280.141255624174,13,0.998954579532049,13,11.1875859044008,31,2.11583243251789,52,8.30829099502956,52,220.028643603597,40,122.987311614503,39,0.0952014028932126,21,0.00302110237094526,21,15125.8788181628,39,2.11721626058067,52,8.47762810854489,34,4.58732946729879,25,0.0630325731746839,42,2.30376291741305,45,2.32944566558678,50,563.218193932997,98,0.785480357301038,94,0.759145859543725,95,124002.147880078,84,126052.550136155,72,121951.745624002,99,671.434753038977,95,2.1667,31.5,761.6667,35,43.7848,95,2.6835,99,23,45,0.256983240223464,21,0.2804,15,0.0254,22
"CL3",1076.71614583333,26,48.3486405325184,50,51.0272672568461,60,0.0383149917834082,60,813003.171912977,73,3065.30313470011,27,109.190450555361,9,108.974686293522,15,108.765404047171,24,446861.015342422,27,1.11499510248633,-395.918081553933,19,0.999177208245083,10,6.55753867769555,16,1.68671574558053,43,6.62328978735288,43,172.289060270237,30,96.4862917014509,27,0.0687557424039952,9,0.00157578403784152,9,9309.60448629748,27,1.68694857378413,43,6.64929653564895,18,3.0380248187406,9,0.0470339306432425,28,1.75224854362429,33,1.99604725660673,42,897.266524363183,29,1.12194235144549,28,1.12171376771935,28,27116.1901095703,19,30891.8128523004,20,23340.5673668403,33,981.338646506746,28,1.6667,25,376.9167,13,1.9365,11,0.3077,11.5,16.25,21,0.541666666666667,63,0.5558,52,0.0551,38
"Extra",1107.1890625,16,49.7403080223442,57,53.131560580597,72,0.0734155151741452,72,909875.077216797,87,7813.91520790859,56,109.356065042882,8,109.591783143229,12,107.076562751636,29,1117511.15121992,56,1.17843110963908,508.76057221177,23,0.997276230906681,24,17.6353768991604,45,2.61291176205263,70,10.2602212368068,70,260.184893603557,54,152.582706481048,56,0.123165626977143,41,0.00505659055622424,41,23281.4823170817,56,2.61562038561695,70,10.3831950024109,50,5.59871639544026,42,0.0758025816186694,52,2.7767726823463,56,2.59417926940467,58,919.175703495382,27,1.15020688790861,22,1.14971228817851,20,21437.4471603516,14,19988.6334953125,10,22886.2608253906,32,1003.37529468474,23,4.8333,48,1055.3333,50,5.7468,28,0.4557,22,25.5,65,1.04081632653061,86,1.0821,83,0.1859,70
"L001",911.28875,67,45.3361481606281,34,44.5272878539475,27,-0.0800371428861962,27,512061.95541875,24,3807.1840784925,33,89.4526791090244,41,86.768717102143,63,94.0952977506962,45,551637.43171165,33,0.883041259653726,546.696452910383,24,0.995012007143917,36,8.20781541299953,21,1.85433037834473,47,7.28139699898878,47,177.434584237355,31,107.202828759285,33,0.0775091706261781,12,0.00200255717705266,12,11492.4464939927,33,1.85449292041732,47,7.54945871444234,27,3.7307802444564,16,0.055343396059351,36,2.03535196454659,40,1.86058131583688,38,767.979945806182,58,0.956888236443535,63,0.956197907197311,61,85042.38891875,69,125352.58135625,71,44732.19648125,58,838.837691493687,59,5.1667,51,576.6667,27,7.9524,36,0.7143,39,17.5,28.5,0.284552845528455,25,0.3301,24,0.082,43
"L002",1004.085,44,36.4194310804581,5,37.2969572460854,6,-0.233942823788483,6,401170.07315,13,17351.2401013971,86,83.5707873896955,51,80.3766394614198,78,106.073187115297,30,2464474.88233118,86,0.767691326638926,7309.7115977207,81,0.959916771610455,91,39.2932233011171,79,3.81147728447905,90,14.9663538321107,90,370.597084237355,84,226.590438269652,86,0.182521441917043,70,0.0111046922531589,70,51343.2267152329,86,3.8143070368682,90,16.1679439628768,76,9.43855250670744,84,0.122678307238024,89,4.41357297082476,90,3.95631885258286,90,892.427676572036,31,1.08830766244812,37,1.07557935990693,37,60922.506571875,53,105154.28828125,65,16690.7248625,22,952.025674166249,37,10.3333,87,1496.9167,71,33.4436,82,1.1595,62,23.75,51.5,0.678571428571429,73,0.8222,74,0.2536,86
"L003",1236.41625,2,38.7723397672085,8,43.43479756356,20,-0.101614025744307,20,689437.15246875,55,2692.68446009272,25,104.036833311375,17,120.031816701345,4,119.622584042291,12,394235.793297698,25,1.02127997951343,3228.29328409467,63,0.988516204835323,63,14.2212362423683,37,0.606383026508897,13,2.38035548347293,13,162.564364156223,26,90.6269589785623,25,0.162804896257933,56,0.00883514474851876,56,8213.24569370201,25,0.667824499663555,13,5.50927713684806,13,5.4567775450098,41,0.036427294785791,17,1.10447345878958,16,1.10975573728669,19,1097.07679984613,2,1.33560179317619,2,1.31958012814824,2,4051.35689375001,3,7807.47548125002,5,295.23830625,1,1166.59448027021,2,2.3333,33,538.9167,23,0.1861,2,0.0695,2,17.25,25.5,3.83333333333333,100,4.7305,103,0.549,102
"L004",1073.7275,28,31.6746367349467,2,33.3894446793749,2,-0.330071237036098,2,347002.571275,10,37735.8906908465,103,80.9717838239928,55,69.9117452965581,94,133.134334101951,2,5343414.76557949,103,0.680346006577107,21547.6666456715,100,0.871597199993909,103,84.0766884321666,101,5.5351763370393,104,21.7341409529452,104,575.162084237356,102,333.648229351772,103,0.257001034741884,93,0.0220165106194664,93,111321.140949573,103,5.53524596132709,104,25.1460502844891,100,12.6788363136873,98,0.180111213850265,103,6.51789794291254,103,5.8398376635128,103,981.092142336289,9,1.18620982020476,13,1.15697691001131,17,51036.306603125,43,97773.82135625,59,4298.79185,6,1032.63083435776,13,15.1667,100.5,2168.3333,95,54.8339,101,1.4377,76,25.5,65,2.31818181818182,98,1.5075,95,0.567,103
"L005",1074.09875,27,49.7893947842515,58,52.492726956576,67,0.0629086400118184,67,857992.26286875,78,7423.95843251395,52,99.1606730126847,24,104.585316583424,24,91.7353654047702,48,1062437.25586424,52,1.13960779522313,3969.03522758379,67,0.989045543495436,58,25.9031195315318,62,1.77248630603414,46,6.95818065249695,46,257.501143603563,53,148.775365894934,52,0.188982370224999,79,0.0119047787519528,79,22134.1094971716,52,1.79082826438075,46,12.2912332403041,62,8.73893819300739,75,0.0801552692895304,56,2.63952807291963,52,2.43999597061652,52,883.836975981757,34,1.11316967496415,31,1.1108693671722,31,27677.35579375,22,27234.59498125,16,28120.11660625,41,970.252016365223,31,6.5,65.5,1418,69,9.7007,41,0.5986,33,26.5,68.5,0.815384615384615,77,1.0353,82,0.2063,76
"L006",1229.05125,3,41.5520897816794,17,46.4290602190619,32,-0.0437098430137808,32,782432.68056875,69,3496.85584705995,31,109.753494107443,7,120.822196964975,3,120.782683184432,9,507809.536872416,31,1.090630593469,1875.75585604169,51,0.993338365956322,45,11.5005232896528,32,1.49110855484766,37,5.855079937917,38,157.394364156224,24,102.856041881402,31,0.127055443072348,45,0.00538102853810357,45,10579.3653515087,31,1.50403274864882,37,6.71191322966303,21,5.39891331680008,38,0.0539523426181274,35,1.85771247295364,35,1.78207565517259,35,1074.99944836702,3,1.31475046497147,3,1.30513642112366,3,3593.92796875,2,5902.02531250001,4,1285.830625,2,1149.52128427484,3,3.6667,42,474.9167,19,0.206,3,0.0744,3,15.75,19.5,4.5,103,4.4407,102,0.8627,104
