"GEN","Y","Y_R","CV","CV_R","ACV","ACV_R","POLAR","POLAR_R","Var","Var_R","Shukla","Shukla_R","Wi_g","Wi_g_R","Wi_f","Wi_f_R","Wi_u","Wi_u_R","Ecoval","Ecoval_R","bij","Sij","Sij_R","R2","R2_R","ASTAB","ASTAB_R","ASI","ASI_R","ASV","ASV_R","AVAMGE","AVAMGE_R","DA","DA_R","DZ","DZ_R","EV","EV_R","FA","FA_R","MASI","MASI_R","MASV","MASV_R","SIPC","SIPC_R","ZA","ZA_R","WAAS","WAAS_R","WAASB","WAASB_R","HMGV","HMGV_R","RPGV","RPGV_R","HMRPGV","HMRPGV_R","Pi_a","Pi_a_R","Pi_f","Pi_f_R","Pi_u","Pi_u_R","Gai","Gai_R","S1","S1_R","S2","S2_R","S3","S3_R","S6","S6_R","N1","N1_R","N2","N2_R","N3","N3_R","N4","N4_R"
"CL1",2.625,72.5,10.1843262195345,31,9.31770478983037,26,-0.297223220009167,26,0.214409722222222,25,0.00899293378133353,5,79.9871033553658,53,76.3496001305534,62,84.924431311417,55,1.50524712072887,5,0.989173197724853,0.00558629711745473,12,0.853843460645898,26,0.00722268692922578,4,0.0342793660908635,12,0.122141596689956,12,0.285290148448068,5,0.177085614930145,5,0.0415762990383361,5,0.000576196213908383,5,0.0313593150151876,5,0.0343159374748778,12,0.196816571000169,8,0.13001828131342,7,0.0228661408326825,9,0.0493038642168393,11,0.0539218324929559,12,2.60926487175528,72,0.854592454504323,74,0.853830542528715,72,1.89440538194444,72,2.05015625,70,1.73865451388889,75,2.6151898521671,71,1.1667,24.5,151,5,0.6336,6,0.229,13,8.5,5,0.118881118881119,4,0.1473,5,0.0161,23
"CL2",3.46354166666667,33,17.0794235963918,67,18.7775723780179,75,0.311437775866494,75,1.0498046875,86,0.154209520659751,65,92.5686193643065,33,101.857648774261,28,100.631326936157,37,22.0142973906348,65,2.07981744939312,0.110152297336756,65,0.770938931492935,39,0.0844017369156555,51,0.169085995506903,85,0.602826452123985,85,1.14463562753041,66,0.677223150548073,65,0.126673401716483,37,0.00534871690080845,37,0.458631195638258,65,0.169228534164097,85,0.616913781027976,57,0.392071141695096,46,0.0830088412268416,67,0.190236343041962,70,0.203540248198817,79,3.39359409899742,32,1.12204425048282,32,1.11431235088801,32,0.621108940972222,32,0.354279513888889,25,0.887938368055555,44,3.42608213985901,32,2.1667,38.5,1162.9167,50,3.2263,23,0.4088,28,26.25,59,0.719178082191781,74,0.8091,73,0.0594,46
"CL3",2.390625,85,24.6934938629398,96,21.2343796172076,92,0.418238040949014,92,1.04546440972222,83,0.201871951860295,77,53.7684960232712,88,41.8883357381301,96,70.6656286940855,78,28.7456992124956,77,1.69345615404613,0.244365072385154,85,0.513235525947281,61,0.153879437898743,80,0.117602833124355,56,0.41864943942769,55,1.21117577597841,71,0.773866095389685,77,0.199806028483546,83,0.0133074830061225,83,0.598868733593678,77,0.117751871943369,55,0.938740203099025,93,0.512776459370761,68,0.0790127263429852,62,0.16187468057596,58,0.170887793162304,66,2.31462228429594,85,0.775288724575656,85,0.759715959654198,85,2.49723741319444,85,2.59889756944444,81,2.39557725694444,91,2.34285989429852,85,2,37,1355,68,45.0222,99,2.4444,95,25,51.5,0.274725274725275,22,0.3864,32,0.0242,30
"Extra",2.625,72.5,11.3356006802267,36,10.3710131114183,30,-0.204198746787249,30,0.265625,28,0.0199256560417762,14,77.1756392985311,59,79.1615717958633,59,74.790170031013,69,3.04928389535775,14,1.04007554411885,0.0215307321447657,25,0.761971753191546,41,0.0178691726199878,14,0.0415259890977931,15,0.147969899008269,15,0.474523448043185,14,0.252045130522196,14,0.0744528686719375,14,0.00184774321782693,14,0.063526747819951,14,0.0428069516446274,14,0.248177993912379,15,0.227992434174969,17,0.0328578681271674,16,0.0678580914989641,16,0.0557296209211037,13,2.6095362658409,71,0.855998383758832,73,0.854424732731211,71,1.857578125,70,1.862265625,67,1.852890625,77,2.61230687293706,72,5.0833,68,326.8958,13,13.4839,61,1.2903,72,14.875,16,0.197019867549669,13,0.2116,9,0.0687,51
"L001",2.2875,90,26.6137610095867,99,22.2265127751171,95,0.457901545557625,95,1.111875,87,0.419668553931929,100,42.369514234807,100,19.1482648168865,103,66.8902537204668,86,59.5052808589198,100,0.158425716982102,0.543507098455289,104,0.0042235092258166,100,0.268583728991518,99,0.244273915483933,98,0.8707188672006,98,1.86029014844803,100,1.11341517468889,100,0.251735229745703,96,0.0211235419650405,96,1.2396933512275,100,0.245307822860813,99,1.10048991189267,100,0.867720403228863,101,0.153223466896933,101,0.334676371355722,101,0.310620424340898,101,2.20202260227513,94,0.750736260507691,90,0.716259487298617,95,2.8246875,95,3.743125,100,1.90625,79,2.22110449553817,94,4.4167,59,1878.75,92,40.4318,95,2.5,96,28.75,69.5,0.348484848484849,35,0.4523,39,0.0532,41
"L002",3.2625,38,6.04992045074177,7,6.39299357164176,9,-0.624432577940016,9,0.116875,8,0.0991243216191184,43,89.0691122751855,37,93.9858322849576,44,103.227611758428,33,14.234572356896,43,0.0198374472360911,0.0483182910547207,40,0.000629981789044336,104,0.0710415438583399,45,0.117553452289373,55,0.419100551072681,56,0.984531039136299,46,0.5445673427306,43,0.141352495629825,52,0.00666017600692656,52,0.296553590768667,43,0.119352030947809,57,0.464573539747155,32,0.413771105455702,49,0.0684522994337534,47,0.149366393107092,49,0.138374623275438,49,3.2528654477633,37,1.06542206066985,38,1.0595437844494,37,0.9121875,37,1.293125,53,0.53125,30,3.2580598635267,37,5.5833,71,1141.1667,49,9.6245,51,0.7115,45,26.75,61,0.601123595505618,68,0.7007,69,0.1337,73
"L003",2.025,100.5,20.8053080819169,84,16.0271269114278,61,0.173870238424781,61,0.5325,50,0.0690216241073688,30,50.2778377642652,94,45.7818438193497,94,57.6474343831577,96,9.98314523139,30,1.36722240132265,0.0812931460359181,56,0.656805481989104,52,0.0570846679716267,35,0.0656562154815196,24,0.233740357007859,24,0.760572705802969,30,0.456050646661777,30,0.127694583873942,39,0.00543530225024638,39,0.207982192320625,30,0.0668022041922157,22,0.52610212802548,40,0.363833706427344,40,0.0502658602442156,26,0.100612103405897,25,0.102971987410527,29,1.99142570319823,101,0.66074468669448,101,0.653857952371404,101,3.270625,100,3.353125,96,3.188125,102,1.9956184349336,101,3.1667,44,720.2292,27,9.5702,50,2.0351,89,20,30,0.205655526992288,14,0.2377,13,0.0332,34
"L004",2.1875,97,24.431495230208,94,19.8083850347309,83,0.35785702503322,83,0.856875,72,0.219083901942475,83,47.300517830375,98,29.4934841423261,100,68.9082437091425,82,31.1765561625639,83,1.05414585257134,0.314399128886675,92,0.242639770628953,78,0.154207419542332,81,0.149933551426528,77,0.534181228317386,77,1.26029014844804,75,0.805922816850401,83,0.195372457248029,81,0.012723465683711,81,0.649511586720086,83,0.150297671452894,75,0.90379147903801,88,0.614298109558295,88,0.103559272106156,81,0.220886851361087,82,0.210859552634769,82,2.13299055471246,98,0.71457461768829,97,0.697773138228465,98,2.9678125,99,3.403125,97,2.5325,93,2.14261758456672,98,0.5,16.5,1382.5625,70,23.116,79,2.016,88,23.125,40,0.252732240437158,19,0.3603,26,0.0056,8
"L005",2.475,82.5,16.8619313475406,66,14.8370615225885,53,0.106854681613322,53,0.5225,49,0.0309136806375801,18,68.3926522051109,72,75.0564477148735,64,69.7334284111411,81,4.60113106134954,18,1.64013606476818,-0.000488696751418541,1,0.963277712409321,6,0.0234278433719682,16,0.0529730868568515,21,0.188668165113679,21,0.500759109311736,16,0.309607650279267,18,0.0763916328344637,17,0.0019452271890385,17,0.0958568971114488,18,0.0529833315664289,19,0.36436130891591,25,0.208433925239034,14,0.0357127199380815,19,0.0758133971484532,20,0.0683172781513771,17,2.43794125286057,83,0.804594876335292,83,0.800942510710171,82,2.20125,81,2.08,72,2.3225,89,2.44910692027516,83,2.5833,41,416.7292,16,11.0813,56,1.3202,73,12.625,13,0.158805031446541,8,0.222,11,0.0324,33
"L006",2.325,87,25.4151941236356,97,21.4555066598541,93,0.427236435810378,93,1.0475,85,0.272938104442192,90,48.5955673967664,95,33.290305068683,99,56.13345716518,99,38.7824266079081,90,1.14011338325927,0.392064646925099,99,0.232177486759748,81,0.222032133719593,96,0.145509783271866,72,0.5183850064887,72,1.66057270580297,93,0.898869968904339,90,0.257167687110549,98,0.0220450730979298,98,0.807967220998087,90,0.149012003614918,73,0.941637104649849,94,0.795057796595945,97,0.115215810353786,90,0.237150987165658,88,0.223886006081909,89,2.25843624818503,90,0.758621870605146,87,0.738994873944443,92,2.664375,92,3.00625,90,2.3225,88,2.27324470910996,89,11.4167,97,2162.2292,99,41.6808,97,2.6441,97,39.875,99,0.466374269005848,51,0.4859,46,0.1378,75
