Lentil,Lentil_SNP,PredictedMean,Trait,ENV
L001,6933-14_ACT,14.67128148,DTE,Clavet_2024
L002,6935-3_ACT,14.67047655,DTE,Clavet_2024
L003,6991-1_ACT,14.65302538,DTE,Clavet_2024
L004,6996-1_ACT,14.7227772,DTE,Clavet_2024
L005,7005-2_ACT,14.66717103,DTE,Clavet_2024
L006,7024-8_ACT,14.82643776,DTE,Clavet_2024
L007,7043-8_ACT,14.65334527,DTE,Clavet_2024
L008,7049-6_ACT,14.66060769,DTE,Clavet_2024
L009,7060-11_ACT,14.67798754,DTE,Clavet_2024
L010,7060-25_ACT,14.72142001,DTE,Clavet_2024
L011,7094-3_ACT,14.65891741,DTE,Clavet_2024
L012,7105-2_ACT,14.82847862,DTE,Clavet_2024
L013,7148-7_ACT,14.67562464,DTE,Clavet_2024
L014,7208-15_ACT,14.66099176,DTE,Clavet_2024
L015,7250-4_ACT,14.74268897,DTE,Clavet_2024
L016,7276-11_ACT,14.64207286,DTE,Clavet_2024
L017,7278-7_ACT,14.67212506,DTE,Clavet_2024
L018,7301-6_ACT,14.67599384,DTE,Clavet_2024
L019,7333-2-4_ACT,14.65804481,DTE,Clavet_2024
L020,7463-7_ACT,14.71218386,DTE,Clavet_2024
L021,7737-2_ACT,14.74926902,DTE,Clavet_2024
L022,7757-1_ACT,14.64601441,DTE,Clavet_2024
L023,7788-3_ACT,14.67446368,DTE,Clavet_2024
L024,7789-1_ACT,14.67508719,DTE,Clavet_2024
L025,8064-1-5_ACT,14.7186209,DTE,Clavet_2024
L026,8086-1-10-bk_ACT,14.64498379,DTE,Clavet_2024
L027,8579-1-17_ACT,14.73229507,DTE,Clavet_2024
L028,8619-1-10_ACT,14.65462469,DTE,Clavet_2024
L029,8622-1-1-bk_ACT,14.67379333,DTE,Clavet_2024
L030,8666-1-3-bk_ACT,14.66766153,DTE,Clavet_2024
L031,8996-23_ACT,14.6750433,DTE,Clavet_2024
L032,9041-6_ACT,14.66514885,DTE,Clavet_2024
L033,9059-1-2_ACT,14.70419292,DTE,Clavet_2024
L034,9115-5_ACT,14.66423953,DTE,Clavet_2024
L035,9159-3-1_ACT,14.6652709,DTE,Clavet_2024
L036,9184-1_ACT,14.66751052,DTE,Clavet_2024
L037,9225-2-8_ACT,14.6573982,DTE,Clavet_2024
L038,9320-3-MY_ACT,14.66925257,DTE,Clavet_2024
L039,9370-2_ACT,14.66567392,DTE,Clavet_2024
L040,9378-1-3_ACT,14.66127125,DTE,Clavet_2024
L041,9430-3_ACT,14.66855891,DTE,Clavet_2024
L042,9747-1-LG_ACT,14.64401396,DTE,Clavet_2024
L043,9885-1-1_ACT,14.66303205,DTE,Clavet_2024
L044,10121-1_ACT,14.66455462,DTE,Clavet_2024
L045,10121T-3-60_ACT,14.66474414,DTE,Clavet_2024
L046,10137T-1-58_ACT,14.64847177,DTE,Clavet_2024
L047,10222-3-1_ACT,14.64823805,DTE,Clavet_2024
L048,10236-2-SG_ACT,14.66090239,DTE,Clavet_2024
L049,10250-1-3_ACT,14.65924939,DTE,Clavet_2024
L050,11801S-1-54-gr_ACT,14.667001,DTE,Clavet_2024
L051,12166T-2-57_ACT,14.73395706,DTE,Clavet_2024
L052,12176T-2-50_ACT,14.6748184,DTE,Clavet_2024
L053,12356T-1-60_ACT,14.67088892,DTE,Clavet_2024
L054,12240T-2-49-bk_ACT,14.64689224,DTE,Clavet_2024
L055,IBC_768_ACT,14.67528941,DTE,Clavet_2024
L056,IBC_1006-7_ACT,14.65526938,DTE,Clavet_2024
L057,IBC_1113_ACT,14.74887182,DTE,Clavet_2024
L058,IBC_1266-1_ACT,14.81147599,DTE,Clavet_2024
L059,IBC_1268_ACT,14.67801882,DTE,Clavet_2024
L060,IBC_1273-2_ACT,14.74441043,DTE,Clavet_2024
L061,IBC_1305_ACT,14.70746802,DTE,Clavet_2024
L062,IBC_1307_ACT,14.6687828,DTE,Clavet_2024
L063,IBC_1310_ACT,14.67322842,DTE,Clavet_2024
L064,IBC_1311_ACT,14.70475322,DTE,Clavet_2024
L065,IBC_1314_ACT,14.67725372,DTE,Clavet_2024
L066,IBC_1317_ACT,14.66198833,DTE,Clavet_2024
L067,IBC_1319_ACT,14.67479222,DTE,Clavet_2024
L068,IBC_1320_ACT,14.71458062,DTE,Clavet_2024
L069,IBC_1321_ACT,14.66669773,DTE,Clavet_2024
L070,IBC_1323_ACT,14.65500427,DTE,Clavet_2024
L071,IBC_1324_ACT,14.66657723,DTE,Clavet_2024
L072,IBC_1344_ACT,14.69215418,DTE,Clavet_2024
L073,2462_ACT,14.67131934,DTE,Clavet_2024
L074,2464_ACT,14.6631522,DTE,Clavet_2024
L075,2471-6_ACT,14.74310288,DTE,Clavet_2024
L076,3110_ACT,14.65580169,DTE,Clavet_2024
L077,3114_ACT,14.67473153,DTE,Clavet_2024
