plot,Unique ID,Lentil,Rep,Col,Row,Block,BlockRow,BlockCol,Name,Name_SNPset,ENV,DTE,DTF,DTM,lodging,yield,PRT,DS
1001,2024_1001_L050,L050,1,1,2,1,1,1,11801S-1-H14/H2_54_gr,11801S-1-54-gr_ACT,Hunter_2024,15,44,79,2,563.0,26.56,
1002,2024_1002_L031,L031,1,2,2,1,1,2,8996-H2-23,8996-23_ACT,Hunter_2024,15,45,79,2,794.3,25.79,
1003,2024_1003_L016,L016,1,3,2,1,1,3,7276-11,7276-11_ACT,Hunter_2024,15,47,80,3,596.9,25.07,
1004,2024_1004_L007,L007,1,4,2,1,1,4,7043-8,7043-8_ACT,Hunter_2024,15,50,84,2,674.0,24.90,
1005,2024_1005_L071,L071,1,5,2,1,1,5,IBC 1324,IBC_1324_ACT,Hunter_2024,15,50,87,2,370.4,25.89,
1006,2024_1006_L055,L055,1,6,2,2,1,1,IBC 768,IBC_768_ACT,Hunter_2024,15,47,86,4,536.0,24.87,
1007,2024_1007_L062,L062,1,7,2,2,1,2,IBC 1307,IBC_1307_ACT,Hunter_2024,15,47,85,3,639.6,25.91,
1008,2024_1008_L027,L027,1,8,2,2,1,3,8579-1-H2-17,8579-1-17_ACT,Hunter_2024,15,46,78,2,649.0,26.64,
1009,2024_1009_L003,L003,1,9,2,2,1,4,6991-1,6991-1_ACT,Hunter_2024,15,47,85,2,954.2,26.86,
1010,2024_1010_L024,L024,1,10,2,2,1,5,7789-1,7789-1_ACT,Hunter_2024,15,47,86,4,513.0,24.37,
1011,2024_1011_L039,L039,1,11,2,3,1,1,9370-H2-2,9370-2_ACT,Hunter_2024,15,46,84,2,856.3,28.81,
1012,2024_1012_L010,L010,1,12,2,3,1,2,7060-25,7060-25_ACT,Hunter_2024,13,52,85,2,479.2,27.49,
1013,2024_1013_L079,L079,1,13,2,3,1,3,IBC 145,IBC_145_ACT,Hunter_2024,15,48,87,4,494.4,24.97,
1014,2024_1014_L052,L052,1,14,2,3,1,4,12176T-2-H14/H2_50,12176T-2-50_ACT,Hunter_2024,15,48,85,4,818.4,24.85,
1015,2024_1015_L100,L100,1,15,2,3,1,5,IBC 1269,IBC_1269_ACT,Hunter_2024,15,47,86,5,591.3,24.28,
1016,2024_1016_L060,L060,1,16,2,4,1,1,IBC 1273-2,IBC_1273-2_ACT,Hunter_2024,15,44,78,3,628.0,25.74,
1017,2024_1017_L069,L069,1,17,2,4,1,2,IBC 1321,IBC_1321_ACT,Hunter_2024,15,47,81,2,566.9,26.20,
1018,2024_1018_L035,L035,1,18,2,4,1,3,9159-3-H2-1,9159-3-1_ACT,Hunter_2024,15,46,78,2,514.4,25.40,
1019,2024_1019_L047,L047,1,19,2,4,1,4,10222-3-H2-1,10222-3-1_ACT,Hunter_2024,15,46,84,4,455.1,25.00,
1020,2024_1020_L022,L022,1,20,2,4,1,5,7757-1,7757-1_ACT,Hunter_2024,15,50,86,4,472.3,24.44,
1021,2024_1021_L014,L014,1,21,2,5,1,1,7208-15,7208-15_ACT,Hunter_2024,15,50,85,2,791.4,26.71,
1022,2024_1022_CL3,CL3,1,22,2,5,1,2,CDC SB-4,IBC_929_ACT,Hunter_2024,15,50,84,3,883.2,25.66,
1023,2024_1023_L074,L074,1,23,2,5,1,3,2464,2464_ACT,Hunter_2024,15,44,84,4,695.6,27.94,
1024,2024_1024_L065,L065,1,24,2,5,1,4,IBC 1314,IBC_1314_ACT,Hunter_2024,15,49,86,3,678.1,24.60,
1025,2024_1025_CL2,CL2,1,25,2,5,1,5,CDC Grimm,IBC_1199_ACT,Hunter_2024,15,49,84,4,361.7,25.60,
1026,2024_1026_L004,L004,1,26,2,6,1,1,6996-1,6996-1_ACT,Hunter_2024,15,47,79,2,842.7,24.77,
1027,2024_1027_L007,L007,1,27,2,6,1,2,7043-8,7043-8_ACT,Hunter_2024,15,50,79,2,678.3,25.20,
1028,2024_1028_L015,L015,1,28,2,6,1,3,7250-4,7250-4_ACT,Hunter_2024,15,47,78,2,567.8,25.60,
1029,2024_1029_L039,L039,1,29,2,6,1,4,9370-H2-2,9370-2_ACT,Hunter_2024,15,45,78,2,518.9,26.60,
1030,2024_1030_L040,L040,1,30,2,6,1,5,9378-1-H2-3,9378-1-3_ACT,Hunter_2024,15,49,78,3,446.2,24.92,
1031,2024_1031_L030,L030,1,30,3,6,2,5,8666-1-H2-3-bk,8666-1-3-bk_ACT,Hunter_2024,15,50,85,2,518.8,24.73,
1032,2024_1032_CL1,CL1,1,29,3,6,2,4,CDC Nimble,IBC_975_ACT,Hunter_2024,15,47,79,4,593.2,25.31,
1033,2024_1033_L068,L068,1,28,3,6,2,3,IBC 1320,IBC_1320_ACT,Hunter_2024,15,51,86,2,562.5,25.91,
1034,2024_1034_L094,L094,1,27,3,6,2,2,IBC 929,IBC_929_ACT,Hunter_2024,15,51,84,4,727.5,25.72,
1035,2024_1035_L030,L030,1,26,3,6,2,1,8666-1-H2-3-bk,8666-1-3-bk_ACT,Hunter_2024,15,49,81,2,491.9,25.69,
1036,2024_1036_L051,L051,1,25,3,5,2,5,12166T-2-H14/H2_57,12166T-2-57_ACT,Hunter_2024,15,47,79,5,488.0,25.48,
1037,2024_1037_L029,L029,1,24,3,5,2,4,8622-1-H2-1-bk,8622-1-1-bk_ACT,Hunter_2024,15,50,78,4,743.1,24.78,
1038,2024_1038_L097,L097,1,23,3,5,2,3,IBC 1235,IBC_1235_ACT,Hunter_2024,15,47,86,3,997.8,26.11,
1039,2024_1039_L028,L028,1,22,3,5,2,2,8619-1-H2-10,8619-1-10_ACT,Hunter_2024,15,48,86,4,790.9,26.78,
1040,2024_1040_L052,L052,1,21,3,5,2,1,12176T-2-H14/H2_50,12176T-2-50_ACT,Hunter_2024,15,47,86,4,1081.4,25.56,
1041,2024_1041_L023,L023,1,20,3,4,2,5,7788-3,7788-3_ACT,Hunter_2024,15,46,79,5,424.5,24.47,
1042,2024_1042_L096,L096,1,19,3,4,2,4,IBC 1199,IBC_1199_ACT,Hunter_2024,15,47,79,5,358.3,25.84,
1043,2024_1043_CL2,CL2,1,18,3,4,2,3,CDC Grimm,IBC_1199_ACT,Hunter_2024,15,47,79,5,301.7,25.25,
1044,2024_1044_L029,L029,1,17,3,4,2,2,8622-1-H2-1-bk,8622-1-1-bk_ACT,Hunter_2024,15,48,78,3,551.9,24.69,
1045,2024_1045_L071,L071,1,16,3,4,2,1,IBC 1324,IBC_1324_ACT,Hunter_2024,15,50,86,3,346.9,25.66,
1046,2024_1046_L097,L097,1,15,3,3,2,5,IBC 1235,IBC_1235_ACT,Hunter_2024,15,47,84,3,814.4,25.79,
1047,2024_1047_L045,L045,1,14,3,3,2,4,10121T-3-H2/H5_60,10121T-3-60_ACT,Hunter_2024,15,47,89,4,910.8,26.36,
1048,2024_1048_L050,L050,1,13,3,3,2,3,11801S-1-H14/H2_54_gr,11801S-1-54-gr_ACT,Hunter_2024,15,45,85,3,944.1,26.73,
1049,2024_1049_L080,L080,1,12,3,3,2,2,IBC 187,IBC_187_ACT,Hunter_2024,15,46,86,4,606.4,24.31,
1050,2024_1050_L086,L086,1,11,3,3,2,1,IBC 586,IBC_586_ACT,Hunter_2024,15,47,88,4,414.2,26.05,
1051,2024_1051_L015,L015,1,10,3,2,2,5,7250-4,7250-4_ACT,Hunter_2024,15,44,81,2,918.3,25.67,
1052,2024_1052_L054,L054,1,9,3,2,2,4,12240T-2-H14/H2_49_bk,12240T-2-49-bk_ACT,Hunter_2024,15,47,80,2,693.5,25.79,
1053,2024_1053_L019,L019,1,8,3,2,2,3,2/4/7333,7333-2-4_ACT,Hunter_2024,15,49,79,5,350.2,26.55,
1054,2024_1054_L042,L042,1,7,3,2,2,2,9747-H2-1-LG,9747-1-LG_ACT,Hunter_2024,15,50,85,4,652.7,24.25,
1055,2024_1055_L015,L015,1,6,3,2,2,1,7250-4,7250-4_ACT,Hunter_2024,15,45,79,2,704.5,25.48,
1056,2024_1056_CL1,CL1,1,5,3,1,2,5,CDC Nimble,IBC_975_ACT,Hunter_2024,15,45,78,3,612.1,25.02,
1057,2024_1057_L076,L076,1,4,3,1,2,4,3110,3110_ACT,Hunter_2024,15,44,78,4,348.4,24.55,
1058,2024_1058_L045,L045,1,3,3,1,2,3,10121T-3-H2/H5_60,10121T-3-60_ACT,Hunter_2024,15,46,84,4,614.5,26.28,
1059,2024_1059_L012,L012,1,2,3,1,2,2,7105-2,7105-2_ACT,Hunter_2024,15,50,84,1,590.2,24.68,
1060,2024_1060_L021,L021,1,1,3,1,2,1,7737-2,7737-2_ACT,Hunter_2024,15,50,78,1,437.6,25.13,
