Genotype,dev_year,cot_color,Hunter2024_DTE,Hunter2024_DTF,Hunter2024_VegP,Hunter2024_DTM,Hunter2024_RepP,Hunter2024_lodging,Hunter2024_YLD,Hunter2024_PRT,Clavet2024_DTE,Clavet2024_DTF,Clavet2024_VegP,Clavet2024_DTM,Clavet2024_RepP,Clavet2024_lodging,Clavet2024_YLD,Clavet2024_PRT,Clavet2025_DTE,Clavet2025_DTF,Clavet2025_VegP,Clavet2025_lodging,Clavet2025_YLD,Clavet2025_PRT,Clavet2025_DS,Hunter2025_DTE,Hunter2025_DTF,Hunter2025_VegP,Hunter2025_DTM,Hunter2025_RepP,Hunter2025_lodging,Hunter2025_YLD,Hunter2025_PRT,Hunter2025_DS
L001,2023,yellow,12.79817,51.33825966,37.29227725,83.15624723,31.85019353,3.181794616,459.4958853,26.53423431,14.76380032,56.07335015,41.27106822,89.44733861,33.6629923,1.492794578,532.8283339,25.74941172,11.0556785,59.17115904,48.15200521,2.479521763,1126.902837,24.15754321,1.521575468,16.00172094,56.48372436,40.56174059,94.82219064,38.27832317,2.494789603,1326.865555,25.59244675,1.161713436
L002,2025,red,12.67582455,47.77835572,33.97504302,81.28530501,33.36172314,3.62653976,598.7291843,24.85685082,14.75414836,52.89504302,38.10772328,86.62370701,33.93387545,2.983322575,681.6169104,24.21623797,11.09450959,55.27911368,44.2284519,2.974437518,1176.586939,22.79448667,1.410671058,16.03420552,55.03655351,39.02766349,92.476592,37.49329987,3.487283038,1289.817504,23.42060317,1.224719369
L003,2023,red,12.67339525,45.80509645,32.06776328,82.06083601,36.21475662,3.099244962,739.0814143,25.80386346,14.73376377,52.11188521,37.38189515,87.84552411,35.89569082,1.851411617,772.8791127,25.42593523,11.18407557,54.35170365,43.16542605,1.49333772,1424.421915,24.27303902,1.295638612,15.96135062,53.0502858,37.28181859,93.80316358,40.31797035,1.944549182,1677.759404,25.21379996,1.185450557
L004,2026,red,12.80344736,46.00327738,32.00513733,81.23519604,35.20520135,3.277263922,727.9993941,24.81976562,14.8094662,51.84610438,36.92219891,86.95220556,35.20687507,1.728126532,782.0509598,24.35505199,11.05864836,54.30018502,43.27783357,1.889643759,1353.461623,22.66921999,1.571683442,15.99359374,52.46330238,36.56612938,91.78035035,39.09351958,2.278557495,1229.276544,21.27825033,1.251719218
L005,2023,red,12.8670276,46.64223964,32.5795323,82.37043646,35.69203004,3.337411492,566.465406,25.14502491,14.74803313,53.43697643,38.67802449,88.23998438,34.91924506,2.556306417,552.3955496,24.19152032,11.18225605,55.19016334,44.00913209,1.965645424,1335.675479,24.27537961,1.391126412,16.0173454,54.54206445,38.57423672,95.836528,40.88499951,2.367157855,1521.384492,24.20249762,1.213803823
L006,2023,yellow,12.60143445,50.53259552,36.82444765,82.97926845,32.67542966,3.407259237,721.9463651,25.76275363,14.92722747,55.4357229,40.17713532,89.29627646,34.05245475,1.745663291,746.9153364,24.72707613,11.36043837,58.29084207,46.90113676,1.95780789,1429.099168,24.25391754,1.205295456,16.02449545,55.60294391,39.59774744,96.03570398,40.14951401,2.133390469,1799.297036,25.84104666,1.131941714
L007,2023,red,12.69117109,50.04260257,36.26708103,80.98956678,31.01104137,2.904574775,633.5320843,24.84129688,14.73383128,54.41969197,39.67935033,87.15371642,33.04384228,1.539826119,684.2489583,23.76255695,11.293793,56.57488486,45.24873308,1.811031248,1399.263999,22.88022371,1.284347425,16.06099153,54.64397791,38.54484451,94.23154869,39.40796901,1.893440732,1727.908559,24.03654173,1.200503689
L008,2023,red,12.8141164,46.47065736,32.47460654,83.12047613,36.47536521,3.54661984,604.1629009,24.4405683,14.76198013,53.1886441,38.40280874,89.15653433,36.07264714,2.601546362,607.433943,23.76939819,11.34588876,54.73108904,43.36357599,2.657290686,1186.705531,22.80855315,1.36877133,16.03413381,54.02425975,37.98783568,94.85551122,40.40671615,3.177057447,1522.425441,24.02271438,1.166016226
L009,2023,red,12.63718023,46.79571789,33.09783489,79.87020603,32.99032536,2.953470443,484.2495458,27.2312119,14.7636376,53.1000082,38.27685737,85.84806689,32.98033532,1.967942909,560.2152977,27.22864847,11.18693666,54.47561066,43.28314918,1.923780239,1061.201284,26.80474324,1.452237677,15.99449742,53.0605578,37.18748553,92.51324231,39.07334052,2.162114844,1101.485468,27.00303951,1.193121753
L010,2023,yellow,12.62428324,50.91187805,37.17682803,81.77268569,31.06308685,3.136899289,301.7698993,26.84663853,14.82415849,54.47881212,39.49573262,87.88116595,33.54486337,1.975005717,425.9714763,25.84658754,11.58711087,56.37138517,44.7208119,2.215131064,959.7303463,25.67141661,1.48412609,16.0470919,55.96451168,39.90386235,94.03593726,38.12257132,2.737050831,1137.682853,26.74219751,1.150294007
L011,2026,yellow,12.791652,50.8368956,36.89011737,86.12085172,35.28676647,3.713049029,567.4434861,26.63324956,14.74318271,54.45544023,39.68608102,90.38862732,36.06463798,1.995630124,654.7126816,25.60774271,10.90876479,57.56098045,46.73406145,2.247223664,1325.200635,24.30965795,1.328081788,16.03265801,55.20970345,39.18525603,97.74105398,42.00843059,2.485420285,1570.225404,24.87867819,1.217684618
L012,2023,green,12.57648216,51.42967799,37.75172604,83.9478217,32.80516249,2.441737733,512.0062176,25.20737456,14.93842943,57.00716069,41.70347714,89.22821747,32.56014162,1.746246254,515.8975748,24.52185872,11.43972812,58.40710849,46.91666182,3.355314007,997.0687353,22.57866453,1.189841518,16.04970449,56.49200642,40.41237499,96.00398691,39.31897387,2.871761542,1594.977801,24.09548849,1.137076483
L013,2024,red,12.81275542,46.91639379,32.93680672,82.56117051,35.49525104,3.489991907,776.8194455,23.72800394,14.76644219,53.52958143,38.70175244,88.60561562,35.23675251,2.986400158,768.9851531,23.22914437,11.15020445,55.55444353,44.39713413,1.516135881,1517.362303,22.53127514,1.262920346,15.97128704,54.30627299,38.47598202,95.06372901,40.36946806,2.560248394,1776.403354,22.4002108,1.181824996
L014,2025,red,12.86626449,48.3030211,34.11788557,81.39490851,33.05844168,3.269115384,626.1298497,25.06369554,14.74354491,54.37404483,39.62029352,86.57062611,32.5088083,2.521991948,714.3104154,24.65140211,11.43362831,56.56924265,45.12069729,2.05288194,1252.03441,23.55718044,1.435436773,15.98030752,54.15178121,38.26924076,93.00168588,38.67552184,2.468134574,1511.770468,23.80055406,1.170227972
L015,2024,red,12.75176389,45.58498413,31.69525878,79.64636383,34.0468809,2.990581509,584.6037109,25.73353392,14.82460647,52.41726617,37.4588267,86.23867472,33.99902767,2.39552571,592.559416,25.36750944,11.32226252,52.42820476,41.08892504,2.21589285,1186.032338,24.39717421,1.796431894,16.00193682,51.67249099,35.76536201,91.56361087,39.4850873,2.674800401,1267.837589,24.46415563,1.201558788
L016,2025,red,12.80486435,46.71741343,32.72737627,80.87392633,34.13666601,3.799141964,521.451783,25.0445532,14.725664,52.72879445,37.99515624,86.16004289,33.65952062,3.711034833,541.6834433,24.58599727,11.12791033,55.0080745,43.89560976,2.485615405,1260.702514,23.5863047,1.603089103,16.0192679,53.69112656,37.71108402,92.91956292,39.01360144,3.001692934,1578.899259,24.14724416,1.214899301
L017,2024,red,12.8813214,46.32971246,32.19567461,81.35047946,34.9966889,3.372347544,677.0729948,25.367178,14.75875264,52.65262278,37.8596241,87.50904485,35.03503622,3.024885776,665.9261411,24.87645762,11.00931354,55.45165032,44.47261595,2.011767079,1352.95682,24.29783366,1.75495475,16.01781323,53.70299655,37.72027333,94.53683,40.46711255,2.614477437,1715.180844,25.17094031,1.179463638
