"Row","Col","Value","Trait","ENV"
1,1,-0.272638899863116,"DTE","Clavet_2024"
2,1,-0.254991148585025,"DTE","Clavet_2024"
3,1,-0.237395561837075,"DTE","Clavet_2024"
4,1,-0.219810320578893,"DTE","Clavet_2024"
5,1,-0.202193605770104,"DTE","Clavet_2024"
6,1,-0.184503598370337,"DTE","Clavet_2024"
7,1,-0.16669847933922,"DTE","Clavet_2024"
8,1,-0.148736429636379,"DTE","Clavet_2024"
9,1,-0.130575630221443,"DTE","Clavet_2024"
10,1,-0.112174262054039,"DTE","Clavet_2024"
11,1,-0.0934915531287409,"DTE","Clavet_2024"
12,1,-0.074510813243935,"DTE","Clavet_2024"
13,1,-0.0552394340018186,"DTE","Clavet_2024"
14,1,-0.0356858540395317,"DTE","Clavet_2024"
15,1,-0.0158585119942205,"DTE","Clavet_2024"
16,1,0.00423415349696891,"DTE","Clavet_2024"
17,1,0.0245837037968979,"DTE","Clavet_2024"
18,1,0.045181700268423,"DTE","Clavet_2024"
19,1,0.0660197042743961,"DTE","Clavet_2024"
20,1,0.0870892771776744,"DTE","Clavet_2024"
21,1,0.108379974437062,"DTE","Clavet_2024"
22,1,0.129873327895136,"DTE","Clavet_2024"
23,1,0.151548863490427,"DTE","Clavet_2024"
24,1,0.17338610716146,"DTE","Clavet_2024"
25,1,0.195364584846754,"DTE","Clavet_2024"
26,1,0.217463822484844,"DTE","Clavet_2024"
27,1,0.239663346014253,"DTE","Clavet_2024"
28,1,0.26194268137351,"DTE","Clavet_2024"
29,1,0.284281354501122,"DTE","Clavet_2024"
30,1,0.306661017691313,"DTE","Clavet_2024"
31,1,0.329112229418556,"DTE","Clavet_2024"
32,1,0.35171445433772,"DTE","Clavet_2024"
33,1,0.374549283459252,"DTE","Clavet_2024"
34,1,0.397698307793678,"DTE","Clavet_2024"
35,1,0.421243118351473,"DTE","Clavet_2024"
36,1,0.445265306143141,"DTE","Clavet_2024"
37,1,0.469846462179156,"DTE","Clavet_2024"
38,1,0.495068177470037,"DTE","Clavet_2024"
39,1,0.52101204302626,"DTE","Clavet_2024"
40,1,0.547747586880038,"DTE","Clavet_2024"
41,1,0.575296085150457,"DTE","Clavet_2024"
42,1,0.603666750978326,"DTE","Clavet_2024"
43,1,0.632868797504485,"DTE","Clavet_2024"
44,1,0.6629114378697,"DTE","Clavet_2024"
45,1,0.693803885214819,"DTE","Clavet_2024"
46,1,0.725555352680626,"DTE","Clavet_2024"
47,1,0.758175053407951,"DTE","Clavet_2024"
48,1,0.791672200537581,"DTE","Clavet_2024"
49,1,0.826054013289863,"DTE","Clavet_2024"
